scenario,period,semantic_family,n_hits,n_articles,pct
full_corpus_all_periods,1970-1989,body_sexuality_gender,256,1758,14.562
full_corpus_all_periods,1970-1989,culture_race_social_ethics,53,1719,3.0832
full_corpus_all_periods,1970-1989,dream_fantasy_unconscious,430,1758,24.4596
full_corpus_all_periods,1970-1989,drive_conflict_defense,864,1758,49.1468
full_corpus_all_periods,1970-1989,ego_self_narcissism,533,1758,30.3185
full_corpus_all_periods,1970-1989,empirical_research_measurement,164,1758,9.3288
full_corpus_all_periods,1970-1989,history_theory_schools,94,1758,5.347
full_corpus_all_periods,1970-1989,kleinian_bionian,53,1758,3.0148
full_corpus_all_periods,1970-1989,language_narrative_symbolization,269,1719,15.6486
full_corpus_all_periods,1970-1989,object_relations,482,1758,27.4175
full_corpus_all_periods,1970-1989,psychosis_borderline_primitive_states,171,1758,9.727
full_corpus_all_periods,1970-1989,relational_intersubjective_field,245,1758,13.9363
full_corpus_all_periods,1970-1989,technique_interpretation_process,372,1758,21.1604
full_corpus_all_periods,1970-1989,transference_countertransference,391,1758,22.2412
full_corpus_all_periods,1970-1989,trauma_dissociation_affect_regulation,246,1758,13.9932
full_corpus_all_periods,1970-1989,winnicottian_environment_holding,47,1719,2.7341
full_corpus_all_periods,1990-2009,attachment_development_infant,671,3927,17.0868
full_corpus_all_periods,1990-2009,body_sexuality_gender,574,3927,14.6168
full_corpus_all_periods,1990-2009,culture_race_social_ethics,259,3927,6.5954
full_corpus_all_periods,1990-2009,dream_fantasy_unconscious,723,3927,18.411
full_corpus_all_periods,1990-2009,drive_conflict_defense,1247,3927,31.7545
full_corpus_all_periods,1990-2009,ego_self_narcissism,631,3927,16.0682
full_corpus_all_periods,1990-2009,empirical_research_measurement,435,3927,11.0772
full_corpus_all_periods,1990-2009,history_theory_schools,120,3927,3.0558
full_corpus_all_periods,1990-2009,kleinian_bionian,233,3927,5.9333
full_corpus_all_periods,1990-2009,language_narrative_symbolization,566,3927,14.413
full_corpus_all_periods,1990-2009,object_relations,716,3927,18.2327
full_corpus_all_periods,1990-2009,psychosis_borderline_primitive_states,224,3927,5.7041
full_corpus_all_periods,1990-2009,relational_intersubjective_field,961,3927,24.4716
full_corpus_all_periods,1990-2009,technique_interpretation_process,873,3927,22.2307
full_corpus_all_periods,1990-2009,transference_countertransference,912,3927,23.2238
full_corpus_all_periods,1990-2009,trauma_dissociation_affect_regulation,612,3927,15.5844
full_corpus_all_periods,1990-2009,winnicottian_environment_holding,81,3927,2.0626
full_corpus_all_periods,2010-2025,attachment_development_infant,720,4050,17.7778
full_corpus_all_periods,2010-2025,body_sexuality_gender,592,4050,14.6173
full_corpus_all_periods,2010-2025,culture_race_social_ethics,674,4050,16.642
full_corpus_all_periods,2010-2025,dream_fantasy_unconscious,515,4050,12.716
full_corpus_all_periods,2010-2025,drive_conflict_defense,976,4050,24.0988
full_corpus_all_periods,2010-2025,ego_self_narcissism,610,4050,15.0617
full_corpus_all_periods,2010-2025,empirical_research_measurement,524,4050,12.9383
full_corpus_all_periods,2010-2025,history_theory_schools,132,4050,3.2593
full_corpus_all_periods,2010-2025,kleinian_bionian,303,4050,7.4815
full_corpus_all_periods,2010-2025,language_narrative_symbolization,639,4050,15.7778
full_corpus_all_periods,2010-2025,object_relations,605,4050,14.9383
full_corpus_all_periods,2010-2025,psychosis_borderline_primitive_states,208,4050,5.1358
full_corpus_all_periods,2010-2025,relational_intersubjective_field,1241,4050,30.642
full_corpus_all_periods,2010-2025,technique_interpretation_process,632,4050,15.6049
full_corpus_all_periods,2010-2025,transference_countertransference,641,4050,15.8272
full_corpus_all_periods,2010-2025,trauma_dissociation_affect_regulation,861,4050,21.2593
full_corpus_all_periods,2010-2025,winnicottian_environment_holding,72,4050,1.7778
excluding_psychoanalytic_dialogues_all_periods,1920-1945,attachment_development_infant,171,686,24.9271
excluding_psychoanalytic_dialogues_all_periods,1920-1945,body_sexuality_gender,182,686,26.5306
excluding_psychoanalytic_dialogues_all_periods,1920-1945,culture_race_social_ethics,32,686,4.6647
excluding_psychoanalytic_dialogues_all_periods,1920-1945,dream_fantasy_unconscious,159,686,23.1778
excluding_psychoanalytic_dialogues_all_periods,1920-1945,drive_conflict_defense,298,686,43.4402
excluding_psychoanalytic_dialogues_all_periods,1920-1945,ego_self_narcissism,76,686,11.0787
excluding_psychoanalytic_dialogues_all_periods,1920-1945,empirical_research_measurement,52,686,7.5802
excluding_psychoanalytic_dialogues_all_periods,1920-1945,history_theory_schools,73,686,10.6414
excluding_psychoanalytic_dialogues_all_periods,1920-1945,kleinian_bionian,30,686,4.3732
excluding_psychoanalytic_dialogues_all_periods,1920-1945,language_narrative_symbolization,110,686,16.035
excluding_psychoanalytic_dialogues_all_periods,1920-1945,object_relations,99,686,14.4315
excluding_psychoanalytic_dialogues_all_periods,1920-1945,psychosis_borderline_primitive_states,27,686,3.9359
excluding_psychoanalytic_dialogues_all_periods,1920-1945,relational_intersubjective_field,39,686,5.6851
excluding_psychoanalytic_dialogues_all_periods,1920-1945,technique_interpretation_process,124,686,18.0758
excluding_psychoanalytic_dialogues_all_periods,1920-1945,transference_countertransference,40,686,5.8309
excluding_psychoanalytic_dialogues_all_periods,1920-1945,trauma_dissociation_affect_regulation,59,686,8.6006
excluding_psychoanalytic_dialogues_all_periods,1920-1945,winnicottian_environment_holding,24,686,3.4985
excluding_psychoanalytic_dialogues_all_periods,1946-1969,attachment_development_infant,465,1743,26.6781
excluding_psychoanalytic_dialogues_all_periods,1946-1969,body_sexuality_gender,289,1743,16.5806
excluding_psychoanalytic_dialogues_all_periods,1946-1969,culture_race_social_ethics,77,1743,4.4177
excluding_psychoanalytic_dialogues_all_periods,1946-1969,dream_fantasy_unconscious,482,1743,27.6535
excluding_psychoanalytic_dialogues_all_periods,1946-1969,drive_conflict_defense,883,1743,50.6598
excluding_psychoanalytic_dialogues_all_periods,1946-1969,ego_self_narcissism,503,1743,28.8583
excluding_psychoanalytic_dialogues_all_periods,1946-1969,empirical_research_measurement,158,1743,9.0648
excluding_psychoanalytic_dialogues_all_periods,1946-1969,history_theory_schools,187,1743,10.7286
excluding_psychoanalytic_dialogues_all_periods,1946-1969,kleinian_bionian,74,1743,4.2456
excluding_psychoanalytic_dialogues_all_periods,1946-1969,language_narrative_symbolization,311,1743,17.8428
excluding_psychoanalytic_dialogues_all_periods,1946-1969,object_relations,456,1743,26.1618
excluding_psychoanalytic_dialogues_all_periods,1946-1969,psychosis_borderline_primitive_states,163,1743,9.3517
excluding_psychoanalytic_dialogues_all_periods,1946-1969,relational_intersubjective_field,249,1743,14.2857
excluding_psychoanalytic_dialogues_all_periods,1946-1969,technique_interpretation_process,426,1743,24.4406
excluding_psychoanalytic_dialogues_all_periods,1946-1969,transference_countertransference,314,1743,18.0149
excluding_psychoanalytic_dialogues_all_periods,1946-1969,trauma_dissociation_affect_regulation,253,1743,14.5152
excluding_psychoanalytic_dialogues_all_periods,1946-1969,winnicottian_environment_holding,84,1743,4.8193
excluding_psychoanalytic_dialogues_all_periods,1970-1989,attachment_development_infant,418,1758,23.777
excluding_psychoanalytic_dialogues_all_periods,1970-1989,body_sexuality_gender,256,1758,14.562
excluding_psychoanalytic_dialogues_all_periods,1970-1989,culture_race_social_ethics,53,1719,3.0832
excluding_psychoanalytic_dialogues_all_periods,1970-1989,dream_fantasy_unconscious,430,1758,24.4596
excluding_psychoanalytic_dialogues_all_periods,1970-1989,drive_conflict_defense,864,1758,49.1468
excluding_psychoanalytic_dialogues_all_periods,1970-1989,ego_self_narcissism,533,1758,30.3185
excluding_psychoanalytic_dialogues_all_periods,1970-1989,empirical_research_measurement,164,1758,9.3288
excluding_psychoanalytic_dialogues_all_periods,1970-1989,history_theory_schools,94,1758,5.347
excluding_psychoanalytic_dialogues_all_periods,1970-1989,kleinian_bionian,53,1758,3.0148
excluding_psychoanalytic_dialogues_all_periods,1970-1989,language_narrative_symbolization,269,1719,15.6486
excluding_psychoanalytic_dialogues_all_periods,1970-1989,object_relations,482,1758,27.4175
excluding_psychoanalytic_dialogues_all_periods,1970-1989,psychosis_borderline_primitive_states,171,1758,9.727
excluding_psychoanalytic_dialogues_all_periods,1970-1989,relational_intersubjective_field,245,1758,13.9363
excluding_psychoanalytic_dialogues_all_periods,1970-1989,technique_interpretation_process,372,1758,21.1604
excluding_psychoanalytic_dialogues_all_periods,1970-1989,transference_countertransference,391,1758,22.2412
excluding_psychoanalytic_dialogues_all_periods,1970-1989,trauma_dissociation_affect_regulation,246,1758,13.9932
excluding_psychoanalytic_dialogues_all_periods,1970-1989,winnicottian_environment_holding,47,1719,2.7341
excluding_psychoanalytic_dialogues_all_periods,1990-2009,attachment_development_infant,598,3392,17.6297
excluding_psychoanalytic_dialogues_all_periods,1990-2009,body_sexuality_gender,475,3392,14.0035
excluding_psychoanalytic_dialogues_all_periods,1990-2009,culture_race_social_ethics,196,3392,5.7783
excluding_psychoanalytic_dialogues_all_periods,1990-2009,dream_fantasy_unconscious,644,3392,18.9858
excluding_psychoanalytic_dialogues_all_periods,1990-2009,drive_conflict_defense,1133,3392,33.4021
excluding_psychoanalytic_dialogues_all_periods,1990-2009,ego_self_narcissism,530,3392,15.625
excluding_psychoanalytic_dialogues_all_periods,1990-2009,empirical_research_measurement,417,3392,12.2936
excluding_psychoanalytic_dialogues_all_periods,1990-2009,history_theory_schools,116,3392,3.4198
excluding_psychoanalytic_dialogues_all_periods,1990-2009,kleinian_bionian,207,3392,6.1026
excluding_psychoanalytic_dialogues_all_periods,1990-2009,language_narrative_symbolization,491,3392,14.4752
excluding_psychoanalytic_dialogues_all_periods,1990-2009,object_relations,647,3392,19.0743
excluding_psychoanalytic_dialogues_all_periods,1990-2009,psychosis_borderline_primitive_states,218,3392,6.4269
excluding_psychoanalytic_dialogues_all_periods,1990-2009,relational_intersubjective_field,684,3392,20.1651
excluding_psychoanalytic_dialogues_all_periods,1990-2009,technique_interpretation_process,748,3392,22.0519
excluding_psychoanalytic_dialogues_all_periods,1990-2009,transference_countertransference,761,3392,22.4351
excluding_psychoanalytic_dialogues_all_periods,1990-2009,trauma_dissociation_affect_regulation,510,3392,15.0354
excluding_psychoanalytic_dialogues_all_periods,1990-2009,winnicottian_environment_holding,68,3392,2.0047
excluding_psychoanalytic_dialogues_all_periods,2010-2025,attachment_development_infant,530,3007,17.6255
excluding_psychoanalytic_dialogues_all_periods,2010-2025,body_sexuality_gender,378,3007,12.5707
excluding_psychoanalytic_dialogues_all_periods,2010-2025,culture_race_social_ethics,404,3007,13.4353
excluding_psychoanalytic_dialogues_all_periods,2010-2025,dream_fantasy_unconscious,406,3007,13.5018
excluding_psychoanalytic_dialogues_all_periods,2010-2025,drive_conflict_defense,795,3007,26.4383
excluding_psychoanalytic_dialogues_all_periods,2010-2025,ego_self_narcissism,415,3007,13.8011
excluding_psychoanalytic_dialogues_all_periods,2010-2025,empirical_research_measurement,466,3007,15.4972
excluding_psychoanalytic_dialogues_all_periods,2010-2025,history_theory_schools,122,3007,4.0572
excluding_psychoanalytic_dialogues_all_periods,2010-2025,kleinian_bionian,243,3007,8.0811
excluding_psychoanalytic_dialogues_all_periods,2010-2025,language_narrative_symbolization,473,3007,15.73
excluding_psychoanalytic_dialogues_all_periods,2010-2025,object_relations,468,3007,15.5637
excluding_psychoanalytic_dialogues_all_periods,2010-2025,psychosis_borderline_primitive_states,186,3007,6.1856
excluding_psychoanalytic_dialogues_all_periods,2010-2025,relational_intersubjective_field,678,3007,22.5474
excluding_psychoanalytic_dialogues_all_periods,2010-2025,technique_interpretation_process,508,3007,16.8939
excluding_psychoanalytic_dialogues_all_periods,2010-2025,transference_countertransference,479,3007,15.9295
excluding_psychoanalytic_dialogues_all_periods,2010-2025,trauma_dissociation_affect_regulation,501,3007,16.6611
excluding_psychoanalytic_dialogues_all_periods,2010-2025,winnicottian_environment_holding,54,3007,1.7958
full_corpus_post_1990,1990-2009,attachment_development_infant,671,3927,17.0868
full_corpus_post_1990,1990-2009,body_sexuality_gender,574,3927,14.6168
full_corpus_post_1990,1990-2009,culture_race_social_ethics,259,3927,6.5954
full_corpus_post_1990,1990-2009,dream_fantasy_unconscious,723,3927,18.411
full_corpus_post_1990,1990-2009,drive_conflict_defense,1247,3927,31.7545
full_corpus_post_1990,1990-2009,ego_self_narcissism,631,3927,16.0682
full_corpus_post_1990,1990-2009,empirical_research_measurement,435,3927,11.0772
full_corpus_post_1990,1990-2009,history_theory_schools,120,3927,3.0558
full_corpus_post_1990,1990-2009,kleinian_bionian,233,3927,5.9333
full_corpus_post_1990,1990-2009,language_narrative_symbolization,566,3927,14.413
full_corpus_post_1990,1990-2009,object_relations,716,3927,18.2327
full_corpus_post_1990,1990-2009,psychosis_borderline_primitive_states,224,3927,5.7041
full_corpus_post_1990,1990-2009,relational_intersubjective_field,961,3927,24.4716
full_corpus_post_1990,1990-2009,technique_interpretation_process,873,3927,22.2307
full_corpus_post_1990,1990-2009,transference_countertransference,912,3927,23.2238
full_corpus_post_1990,1990-2009,trauma_dissociation_affect_regulation,612,3927,15.5844
full_corpus_post_1990,1990-2009,winnicottian_environment_holding,81,3927,2.0626
full_corpus_post_1990,2010-2025,attachment_development_infant,720,4050,17.7778
full_corpus_post_1990,2010-2025,body_sexuality_gender,592,4050,14.6173
full_corpus_post_1990,2010-2025,culture_race_social_ethics,674,4050,16.642
full_corpus_post_1990,2010-2025,dream_fantasy_unconscious,515,4050,12.716
full_corpus_post_1990,2010-2025,drive_conflict_defense,976,4050,24.0988
full_corpus_post_1990,2010-2025,ego_self_narcissism,610,4050,15.0617
full_corpus_post_1990,2010-2025,empirical_research_measurement,524,4050,12.9383
full_corpus_post_1990,2010-2025,history_theory_schools,132,4050,3.2593
full_corpus_post_1990,2010-2025,kleinian_bionian,303,4050,7.4815
full_corpus_post_1990,2010-2025,language_narrative_symbolization,639,4050,15.7778
full_corpus_post_1990,2010-2025,object_relations,605,4050,14.9383
full_corpus_post_1990,2010-2025,psychosis_borderline_primitive_states,208,4050,5.1358
full_corpus_post_1990,2010-2025,relational_intersubjective_field,1241,4050,30.642
full_corpus_post_1990,2010-2025,technique_interpretation_process,632,4050,15.6049
full_corpus_post_1990,2010-2025,transference_countertransference,641,4050,15.8272
full_corpus_post_1990,2010-2025,trauma_dissociation_affect_regulation,861,4050,21.2593
full_corpus_post_1990,2010-2025,winnicottian_environment_holding,72,4050,1.7778
excluding_psychoanalytic_dialogues_post_1990,1990-2009,attachment_development_infant,598,3392,17.6297
excluding_psychoanalytic_dialogues_post_1990,1990-2009,body_sexuality_gender,475,3392,14.0035
excluding_psychoanalytic_dialogues_post_1990,1990-2009,culture_race_social_ethics,196,3392,5.7783
excluding_psychoanalytic_dialogues_post_1990,1990-2009,dream_fantasy_unconscious,644,3392,18.9858
excluding_psychoanalytic_dialogues_post_1990,1990-2009,drive_conflict_defense,1133,3392,33.4021
excluding_psychoanalytic_dialogues_post_1990,1990-2009,ego_self_narcissism,530,3392,15.625
excluding_psychoanalytic_dialogues_post_1990,1990-2009,empirical_research_measurement,417,3392,12.2936
excluding_psychoanalytic_dialogues_post_1990,1990-2009,history_theory_schools,116,3392,3.4198
excluding_psychoanalytic_dialogues_post_1990,1990-2009,kleinian_bionian,207,3392,6.1026
excluding_psychoanalytic_dialogues_post_1990,1990-2009,language_narrative_symbolization,491,3392,14.4752
excluding_psychoanalytic_dialogues_post_1990,1990-2009,object_relations,647,3392,19.0743
excluding_psychoanalytic_dialogues_post_1990,1990-2009,psychosis_borderline_primitive_states,218,3392,6.4269
excluding_psychoanalytic_dialogues_post_1990,1990-2009,relational_intersubjective_field,684,3392,20.1651
excluding_psychoanalytic_dialogues_post_1990,1990-2009,technique_interpretation_process,748,3392,22.0519
excluding_psychoanalytic_dialogues_post_1990,1990-2009,transference_countertransference,761,3392,22.4351
excluding_psychoanalytic_dialogues_post_1990,1990-2009,trauma_dissociation_affect_regulation,510,3392,15.0354
excluding_psychoanalytic_dialogues_post_1990,1990-2009,winnicottian_environment_holding,68,3392,2.0047
excluding_psychoanalytic_dialogues_post_1990,2010-2025,attachment_development_infant,530,3007,17.6255
excluding_psychoanalytic_dialogues_post_1990,2010-2025,body_sexuality_gender,378,3007,12.5707
excluding_psychoanalytic_dialogues_post_1990,2010-2025,culture_race_social_ethics,404,3007,13.4353
excluding_psychoanalytic_dialogues_post_1990,2010-2025,dream_fantasy_unconscious,406,3007,13.5018
excluding_psychoanalytic_dialogues_post_1990,2010-2025,drive_conflict_defense,795,3007,26.4383
excluding_psychoanalytic_dialogues_post_1990,2010-2025,ego_self_narcissism,415,3007,13.8011
excluding_psychoanalytic_dialogues_post_1990,2010-2025,empirical_research_measurement,466,3007,15.4972
excluding_psychoanalytic_dialogues_post_1990,2010-2025,history_theory_schools,122,3007,4.0572
excluding_psychoanalytic_dialogues_post_1990,2010-2025,kleinian_bionian,243,3007,8.0811
excluding_psychoanalytic_dialogues_post_1990,2010-2025,language_narrative_symbolization,473,3007,15.73
excluding_psychoanalytic_dialogues_post_1990,2010-2025,object_relations,468,3007,15.5637
excluding_psychoanalytic_dialogues_post_1990,2010-2025,psychosis_borderline_primitive_states,186,3007,6.1856
excluding_psychoanalytic_dialogues_post_1990,2010-2025,relational_intersubjective_field,678,3007,22.5474
excluding_psychoanalytic_dialogues_post_1990,2010-2025,technique_interpretation_process,508,3007,16.8939
excluding_psychoanalytic_dialogues_post_1990,2010-2025,transference_countertransference,479,3007,15.9295
excluding_psychoanalytic_dialogues_post_1990,2010-2025,trauma_dissociation_affect_regulation,501,3007,16.6611
excluding_psychoanalytic_dialogues_post_1990,2010-2025,winnicottian_environment_holding,54,3007,1.7958
