journal_key,year,n_articles,n_with_abstract,abstract_coverage_pct
clinical_psychology_psychotherapy,2025,186,184,98.92
cognitive_behaviour_therapy,2005,32,0,0.0
cognitive_behaviour_therapy,2006,29,0,0.0
cognitive_behaviour_therapy,2007,26,0,0.0
cognitive_behaviour_therapy,2008,24,0,0.0
cognitive_behaviour_therapy,2009,39,0,0.0
cognitive_behaviour_therapy,2010,37,0,0.0
cognitive_behaviour_therapy,2011,35,0,0.0
cognitive_behaviour_therapy,2012,33,0,0.0
cognitive_behaviour_therapy,2013,38,0,0.0
cognitive_behaviour_therapy,2014,34,0,0.0
cognitive_behaviour_therapy,2015,47,0,0.0
cognitive_behaviour_therapy,2016,42,0,0.0
cognitive_behaviour_therapy,2017,31,0,0.0
cognitive_behaviour_therapy,2018,34,0,0.0
cognitive_behaviour_therapy,2019,35,0,0.0
cognitive_behaviour_therapy,2020,34,0,0.0
cognitive_behaviour_therapy,2021,36,0,0.0
cognitive_behaviour_therapy,2022,30,0,0.0
cognitive_behaviour_therapy,2023,38,0,0.0
cognitive_behaviour_therapy,2024,41,0,0.0
cognitive_behaviour_therapy,2025,91,0,0.0
counselling_psychotherapy_research,2005,52,13,25.0
counselling_psychotherapy_research,2006,49,26,53.06
counselling_psychotherapy_research,2007,45,31,68.89
counselling_psychotherapy_research,2008,42,32,76.19
counselling_psychotherapy_research,2009,46,34,73.91
counselling_psychotherapy_research,2010,44,33,75.0
counselling_psychotherapy_research,2011,51,34,66.67
counselling_psychotherapy_research,2012,43,33,76.74
counselling_psychotherapy_research,2013,46,32,69.57
counselling_psychotherapy_research,2014,46,35,76.09
counselling_psychotherapy_research,2015,41,24,58.54
counselling_psychotherapy_research,2016,47,30,63.83
counselling_psychotherapy_research,2017,50,33,66.0
counselling_psychotherapy_research,2018,45,38,84.44
counselling_psychotherapy_research,2019,61,54,88.52
counselling_psychotherapy_research,2020,76,72,94.74
counselling_psychotherapy_research,2021,100,95,95.0
counselling_psychotherapy_research,2022,105,101,96.19
counselling_psychotherapy_research,2023,105,100,95.24
counselling_psychotherapy_research,2024,150,146,97.33
counselling_psychotherapy_research,2025,190,186,97.89
journal_consulting_clinical_psychology,2005,131,0,0.0
journal_consulting_clinical_psychology,2006,121,0,0.0
journal_consulting_clinical_psychology,2007,107,0,0.0
journal_consulting_clinical_psychology,2008,112,0,0.0
journal_consulting_clinical_psychology,2009,115,0,0.0
journal_consulting_clinical_psychology,2010,105,0,0.0
journal_consulting_clinical_psychology,2011,91,0,0.0
journal_consulting_clinical_psychology,2012,116,0,0.0
journal_consulting_clinical_psychology,2013,112,0,0.0
journal_consulting_clinical_psychology,2014,132,0,0.0
journal_consulting_clinical_psychology,2015,120,0,0.0
journal_consulting_clinical_psychology,2016,125,0,0.0
journal_consulting_clinical_psychology,2017,140,0,0.0
journal_consulting_clinical_psychology,2018,129,0,0.0
journal_consulting_clinical_psychology,2019,143,0,0.0
journal_consulting_clinical_psychology,2020,142,0,0.0
journal_consulting_clinical_psychology,2021,144,0,0.0
journal_consulting_clinical_psychology,2022,129,0,0.0
journal_consulting_clinical_psychology,2023,107,0,0.0
journal_consulting_clinical_psychology,2024,125,0,0.0
journal_consulting_clinical_psychology,2025,112,0,0.0
journal_psychotherapy_integration,2005,27,0,0.0
journal_psychotherapy_integration,2006,22,0,0.0
journal_psychotherapy_integration,2007,22,0,0.0
journal_psychotherapy_integration,2008,32,0,0.0
journal_psychotherapy_integration,2009,22,0,0.0
journal_psychotherapy_integration,2010,25,0,0.0
journal_psychotherapy_integration,2011,21,0,0.0
journal_psychotherapy_integration,2012,31,0,0.0
journal_psychotherapy_integration,2013,36,0,0.0
journal_psychotherapy_integration,2014,34,0,0.0
journal_psychotherapy_integration,2015,34,0,0.0
journal_psychotherapy_integration,2016,42,0,0.0
journal_psychotherapy_integration,2017,49,0,0.0
journal_psychotherapy_integration,2018,42,0,0.0
journal_psychotherapy_integration,2019,39,0,0.0
journal_psychotherapy_integration,2020,50,0,0.0
journal_psychotherapy_integration,2021,29,0,0.0
journal_psychotherapy_integration,2022,36,0,0.0
journal_psychotherapy_integration,2023,35,0,0.0
journal_psychotherapy_integration,2024,41,0,0.0
journal_psychotherapy_integration,2025,42,0,0.0
psychology_psychotherapy_tprp,2005,43,35,81.4
psychology_psychotherapy_tprp,2006,58,42,72.41
psychology_psychotherapy_tprp,2007,43,43,100.0
psychology_psychotherapy_tprp,2008,31,30,96.77
psychology_psychotherapy_tprp,2009,32,32,100.0
psychology_psychotherapy_tprp,2010,30,29,96.67
psychology_psychotherapy_tprp,2011,33,31,93.94
psychology_psychotherapy_tprp,2012,33,31,93.94
psychology_psychotherapy_tprp,2013,29,28,96.55
psychology_psychotherapy_tprp,2014,29,28,96.55
psychology_psychotherapy_tprp,2015,32,31,96.88
psychology_psychotherapy_tprp,2016,32,31,96.88
psychology_psychotherapy_tprp,2017,49,47,95.92
psychology_psychotherapy_tprp,2018,34,29,85.29
psychology_psychotherapy_tprp,2019,37,31,83.78
psychology_psychotherapy_tprp,2020,48,43,89.58
psychology_psychotherapy_tprp,2021,93,84,90.32
psychology_psychotherapy_tprp,2022,67,60,89.55
psychology_psychotherapy_tprp,2023,65,60,92.31
psychology_psychotherapy_tprp,2024,58,49,84.48
psychology_psychotherapy_tprp,2025,73,67,91.78
psychotherapy,2005,57,0,0.0
psychotherapy,2006,56,0,0.0
psychotherapy,2007,63,0,0.0
psychotherapy,2008,49,0,0.0
psychotherapy,2009,57,0,0.0
psychotherapy,2010,64,0,0.0
psychotherapy,2011,59,0,0.0
psychotherapy,2012,78,0,0.0
psychotherapy,2013,96,0,0.0
psychotherapy,2014,76,0,0.0
psychotherapy,2015,61,0,0.0
psychotherapy,2016,62,0,0.0
psychotherapy,2017,52,0,0.0
psychotherapy,2018,63,0,0.0
psychotherapy,2019,71,0,0.0
psychotherapy,2020,69,0,0.0
psychotherapy,2021,71,0,0.0
psychotherapy,2022,89,0,0.0
psychotherapy,2023,74,0,0.0
psychotherapy,2024,46,0,0.0
psychotherapy,2025,79,0,0.0
psychotherapy_research,2005,48,0,0.0
psychotherapy_research,2006,61,0,0.0
psychotherapy_research,2007,73,0,0.0
psychotherapy_research,2008,73,0,0.0
psychotherapy_research,2009,75,0,0.0
psychotherapy_research,2010,68,0,0.0
psychotherapy_research,2011,62,0,0.0
psychotherapy_research,2012,60,0,0.0
psychotherapy_research,2013,61,0,0.0
psychotherapy_research,2014,61,0,0.0
psychotherapy_research,2015,58,0,0.0
psychotherapy_research,2016,63,0,0.0
psychotherapy_research,2017,62,0,0.0
psychotherapy_research,2018,75,0,0.0
psychotherapy_research,2019,88,0,0.0
psychotherapy_research,2020,84,0,0.0
psychotherapy_research,2021,83,0,0.0
psychotherapy_research,2022,83,0,0.0
psychotherapy_research,2023,85,0,0.0
psychotherapy_research,2024,94,0,0.0
psychotherapy_research,2025,164,0,0.0
