year,issue_label,item_type,title,url,keyword,keyword_raw,keyword_norm,keyword_final,keyword_pl,keyword_norm_auto,keyword_concept_auto
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Konsekwencje-psychologiczne-anoreksji-poczucie-wlasnej-wartosci-strategie-radzenia,153646,0,1.html",eating disorders,eating disorders,eating disorders,eating disorders,eating disorders,eating disorders,eating disorders
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Terapia-poznawczo-behawioralna-pacjentow-z-zaburzeniami-osobowosci-w-ujeciu-Christine,153647,0,1.html",Cognitive-behavioral approach,Cognitive-behavioral approach,Cognitive-behavioral approach,Cognitive-behavioral approach,Cognitive-behavioral approach,cognitive-behavioral approach,cognitive-behavioral approach
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Terapia-poznawczo-behawioralna-pacjentow-z-zaburzeniami-osobowosci-w-ujeciu-Christine,153647,0,1.html",Personality disorders,Personality disorders,Personality disorders,Personality disorders,Personality disorders,personality disorders,zaburzenia_osobowosci
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Temat-smierci-i-odrodzenia-w-psychodramie-Czesc-II-Praktyka-kliniczna-,153648,0,1.html",death,death,death,death,death,death,death
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Temat-smierci-i-odrodzenia-w-psychodramie-Czesc-II-Praktyka-kliniczna-,153648,0,1.html",rebirth,rebirth,rebirth,rebirth,rebirth,rebirth,rebirth
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Temat-smierci-i-odrodzenia-w-psychodramie-Czesc-II-Praktyka-kliniczna-,153648,0,1.html",psychodrama,psychodrama,psychodrama,psychodrama,psychodrama,psychodrama,psychodrama
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Zastosowanie-hipnozy-w-kontroli-bolu-przeglad-pismiennictwa-dotyczacego-badan-klinicznych,153649,0,1.html",hypnosis,hypnosis,hypnosis,hypnosis,hypnosis,hypnosis,hypnosis
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Zastosowanie-hipnozy-w-kontroli-bolu-przeglad-pismiennictwa-dotyczacego-badan-klinicznych,153649,0,1.html",pain,pain,pain,pain,pain,pain,pain
2006,1/2006 vol. 136,UNKNOWN,Analiza przypadku pacjentki z zaburzeniami osobowości typu borderline hospitalizowanej na Oddziale Leczenia Zaburzeń Osobowości i Nerwic 53-63,"https://www.psychoterapiaptp.pl/Analiza-przypadku-pacjentki-z-zaburzeniami-osobowosci-typu-borderline-hospitalizowanej,153744,0,1.html",borderline,borderline,borderline,borderline,borderline,borderline,borderline
2006,1/2006 vol. 136,UNKNOWN,Analiza przypadku pacjentki z zaburzeniami osobowości typu borderline hospitalizowanej na Oddziale Leczenia Zaburzeń Osobowości i Nerwic 53-63,"https://www.psychoterapiaptp.pl/Analiza-przypadku-pacjentki-z-zaburzeniami-osobowosci-typu-borderline-hospitalizowanej,153744,0,1.html",personality,personality,personality,personality,personality,personality,zaburzenia_osobowosci
2006,1/2006 vol. 136,UNKNOWN,Analiza przypadku pacjentki z zaburzeniami osobowości typu borderline hospitalizowanej na Oddziale Leczenia Zaburzeń Osobowości i Nerwic 53-63,"https://www.psychoterapiaptp.pl/Analiza-przypadku-pacjentki-z-zaburzeniami-osobowosci-typu-borderline-hospitalizowanej,153744,0,1.html",disorder,disorder,disorder,disorder,disorder,disorder,disorder
2006,1/2006 vol. 136,UNKNOWN,Ciało w psychoterapii. Natura i funkcja integracji ciała i umysłu w pracy psychoterapeutycznej na podstawie studium przypadku w pierwszym roku psychoterapii,"https://www.psychoterapiaptp.pl/Cialo-w-psychoterapii-Natura-i-funkcja-integracji-ciala-i-umyslu-w-pracy-psychoterapeutycznej,209818,0,1.html",perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa
2006,1/2006 vol. 136,UNKNOWN,Ciało w psychoterapii. Natura i funkcja integracji ciała i umysłu w pracy psychoterapeutycznej na podstawie studium przypadku w pierwszym roku psychoterapii,"https://www.psychoterapiaptp.pl/Cialo-w-psychoterapii-Natura-i-funkcja-integracji-ciala-i-umyslu-w-pracy-psychoterapeutycznej,209818,0,1.html",integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu
2006,1/2006 vol. 136,UNKNOWN,Ciało w psychoterapii. Natura i funkcja integracji ciała i umysłu w pracy psychoterapeutycznej na podstawie studium przypadku w pierwszym roku psychoterapii,"https://www.psychoterapiaptp.pl/Cialo-w-psychoterapii-Natura-i-funkcja-integracji-ciala-i-umyslu-w-pracy-psychoterapeutycznej,209818,0,1.html",kryzys relacyjny,kryzys relacyjny,kryzys relacyjny,kryzys relacyjny,kryzys relacyjny,kryzys relacyjny,kryzys relacyjny
2006,1/2006 vol. 136,UNKNOWN,Śnienie małżeństwa. „Sen nocy letniej” jako mapa terapeuty par,"https://www.psychoterapiaptp.pl/Snienie-malzenstwa-Sen-nocy-letniej-jako-mapa-terapeuty-par,200642,0,1.html",Szekspir,Szekspir,Szekspir,Szekspir,Szekspir,szekspir,szekspir
2006,1/2006 vol. 136,UNKNOWN,Śnienie małżeństwa. „Sen nocy letniej” jako mapa terapeuty par,"https://www.psychoterapiaptp.pl/Snienie-malzenstwa-Sen-nocy-letniej-jako-mapa-terapeuty-par,200642,0,1.html",terapia par,terapia par,terapia par,terapia par,terapia par,terapia par,terapia par
2006,1/2006 vol. 136,UNKNOWN,Śnienie małżeństwa. „Sen nocy letniej” jako mapa terapeuty par,"https://www.psychoterapiaptp.pl/Snienie-malzenstwa-Sen-nocy-letniej-jako-mapa-terapeuty-par,200642,0,1.html",psychoanalityczna terapia par,psychoanalityczna terapia par,psychoanalityczna terapia par,psychoanalityczna terapia par,psychoanalityczna terapia par,psychoanalityczna terapia par,psychoterapia_psychodynamiczna
2006,1/2006 vol. 136,UNKNOWN,Zagrożenia zawodowe terapeutów,"https://www.psychoterapiaptp.pl/Zagrozenia-zawodowe-terapeutow,206032,0,1.html",zagrożenia zawodowe terapeutów,zagrożenia zawodowe terapeutów,zagrożenia zawodowe terapeutów,zagrożenia zawodowe terapeutów,zagrożenia zawodowe terapeutów,zagrozenia zawodowe terapeutow,zagrozenia zawodowe terapeutow
2006,1/2006 vol. 136,UNKNOWN,Zagrożenia zawodowe terapeutów,"https://www.psychoterapiaptp.pl/Zagrozenia-zawodowe-terapeutow,206032,0,1.html",samotność terapeuty,samotność terapeuty,samotność terapeuty,samotność terapeuty,samotność terapeuty,samotnosc terapeuty,samotnosc terapeuty
2006,1/2006 vol. 136,UNKNOWN,Zagrożenia zawodowe terapeutów,"https://www.psychoterapiaptp.pl/Zagrozenia-zawodowe-terapeutow,206032,0,1.html",kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem
2006,1/2006 vol. 136,UNKNOWN,Czy korzysta tylko pacjent? Potencjalny wpływ pracy z osobami z traumą — na terapeutę,"https://www.psychoterapiaptp.pl/Czy-korzysta-tylko-pacjent-Potencjalny-wplyw-pracy-z-osobami-z-trauma-na-terapeute,200100,0,1.html",zastępczy wzrost potraumatyczny,zastępczy wzrost potraumatyczny,zastępczy wzrost potraumatyczny,zastępczy wzrost potraumatyczny,zastępczy wzrost potraumatyczny,zastepczy wzrost potraumatyczny,zastepczy wzrost potraumatyczny
2006,1/2006 vol. 136,UNKNOWN,Czy korzysta tylko pacjent? Potencjalny wpływ pracy z osobami z traumą — na terapeutę,"https://www.psychoterapiaptp.pl/Czy-korzysta-tylko-pacjent-Potencjalny-wplyw-pracy-z-osobami-z-trauma-na-terapeute,200100,0,1.html",zastępcza trauma,zastępcza trauma,zastępcza trauma,zastępcza trauma,zastępcza trauma,zastepcza trauma,zastepcza trauma
2007,1/2007 vol. 140,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Sposob-ujmowania-relacji-terapeutycznej-w-psychoterapii-poznawczej,153681,0,1.html",therapeutic relation,therapeutic relation,therapeutic relation,therapeutic relation,therapeutic relation,therapeutic relation,therapeutic relation
2007,1/2007 vol. 140,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Sposob-ujmowania-relacji-terapeutycznej-w-psychoterapii-poznawczej,153681,0,1.html",cognitive-behavioral therapy,cognitive-behavioral therapy,cognitive-behavioral therapy,cognitive-behavioral therapy,cognitive-behavioral therapy,cognitive-behavioral therapy,cognitive-behavioral therapy
2007,1/2007 vol. 140,UNKNOWN,Analiza przypadku pacjentki z zaburzeniami osobowości typu borderline hospitalizowanej na Oddziale Leczenia Zaburzeń Osobowości i Nerwic 53-63,"https://www.psychoterapiaptp.pl/Analiza-przypadku-pacjentki-z-zaburzeniami-osobowosci-typu-borderline-hospitalizowanej,153744,0,1.html",borderline,borderline,borderline,borderline,borderline,borderline,borderline
2007,1/2007 vol. 140,UNKNOWN,Analiza przypadku pacjentki z zaburzeniami osobowości typu borderline hospitalizowanej na Oddziale Leczenia Zaburzeń Osobowości i Nerwic 53-63,"https://www.psychoterapiaptp.pl/Analiza-przypadku-pacjentki-z-zaburzeniami-osobowosci-typu-borderline-hospitalizowanej,153744,0,1.html",personality,personality,personality,personality,personality,personality,zaburzenia_osobowosci
2007,1/2007 vol. 140,UNKNOWN,Analiza przypadku pacjentki z zaburzeniami osobowości typu borderline hospitalizowanej na Oddziale Leczenia Zaburzeń Osobowości i Nerwic 53-63,"https://www.psychoterapiaptp.pl/Analiza-przypadku-pacjentki-z-zaburzeniami-osobowosci-typu-borderline-hospitalizowanej,153744,0,1.html",disorder,disorder,disorder,disorder,disorder,disorder,disorder
2007,1/2007 vol. 140,UNKNOWN,Ciało w psychoterapii. Natura i funkcja integracji ciała i umysłu w pracy psychoterapeutycznej na podstawie studium przypadku w pierwszym roku psychoterapii,"https://www.psychoterapiaptp.pl/Cialo-w-psychoterapii-Natura-i-funkcja-integracji-ciala-i-umyslu-w-pracy-psychoterapeutycznej,209818,0,1.html",perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa
2007,1/2007 vol. 140,UNKNOWN,Ciało w psychoterapii. Natura i funkcja integracji ciała i umysłu w pracy psychoterapeutycznej na podstawie studium przypadku w pierwszym roku psychoterapii,"https://www.psychoterapiaptp.pl/Cialo-w-psychoterapii-Natura-i-funkcja-integracji-ciala-i-umyslu-w-pracy-psychoterapeutycznej,209818,0,1.html",integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu
2007,1/2007 vol. 140,UNKNOWN,Ciało w psychoterapii. Natura i funkcja integracji ciała i umysłu w pracy psychoterapeutycznej na podstawie studium przypadku w pierwszym roku psychoterapii,"https://www.psychoterapiaptp.pl/Cialo-w-psychoterapii-Natura-i-funkcja-integracji-ciala-i-umyslu-w-pracy-psychoterapeutycznej,209818,0,1.html",kryzys relacyjny,kryzys relacyjny,kryzys relacyjny,kryzys relacyjny,kryzys relacyjny,kryzys relacyjny,kryzys relacyjny
2007,1/2007 vol. 140,UNKNOWN,Śnienie małżeństwa. „Sen nocy letniej” jako mapa terapeuty par,"https://www.psychoterapiaptp.pl/Snienie-malzenstwa-Sen-nocy-letniej-jako-mapa-terapeuty-par,200642,0,1.html",Szekspir,Szekspir,Szekspir,Szekspir,Szekspir,szekspir,szekspir
2007,1/2007 vol. 140,UNKNOWN,Śnienie małżeństwa. „Sen nocy letniej” jako mapa terapeuty par,"https://www.psychoterapiaptp.pl/Snienie-malzenstwa-Sen-nocy-letniej-jako-mapa-terapeuty-par,200642,0,1.html",terapia par,terapia par,terapia par,terapia par,terapia par,terapia par,terapia par
2007,1/2007 vol. 140,UNKNOWN,Śnienie małżeństwa. „Sen nocy letniej” jako mapa terapeuty par,"https://www.psychoterapiaptp.pl/Snienie-malzenstwa-Sen-nocy-letniej-jako-mapa-terapeuty-par,200642,0,1.html",psychoanalityczna terapia par,psychoanalityczna terapia par,psychoanalityczna terapia par,psychoanalityczna terapia par,psychoanalityczna terapia par,psychoanalityczna terapia par,psychoterapia_psychodynamiczna
2007,1/2007 vol. 140,UNKNOWN,Zagrożenia zawodowe terapeutów,"https://www.psychoterapiaptp.pl/Zagrozenia-zawodowe-terapeutow,206032,0,1.html",zagrożenia zawodowe terapeutów,zagrożenia zawodowe terapeutów,zagrożenia zawodowe terapeutów,zagrożenia zawodowe terapeutów,zagrożenia zawodowe terapeutów,zagrozenia zawodowe terapeutow,zagrozenia zawodowe terapeutow
2007,1/2007 vol. 140,UNKNOWN,Zagrożenia zawodowe terapeutów,"https://www.psychoterapiaptp.pl/Zagrozenia-zawodowe-terapeutow,206032,0,1.html",samotność terapeuty,samotność terapeuty,samotność terapeuty,samotność terapeuty,samotność terapeuty,samotnosc terapeuty,samotnosc terapeuty
2007,1/2007 vol. 140,UNKNOWN,Zagrożenia zawodowe terapeutów,"https://www.psychoterapiaptp.pl/Zagrozenia-zawodowe-terapeutow,206032,0,1.html",kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem
2007,1/2007 vol. 140,UNKNOWN,Czy korzysta tylko pacjent? Potencjalny wpływ pracy z osobami z traumą — na terapeutę,"https://www.psychoterapiaptp.pl/Czy-korzysta-tylko-pacjent-Potencjalny-wplyw-pracy-z-osobami-z-trauma-na-terapeute,200100,0,1.html",zastępczy wzrost potraumatyczny,zastępczy wzrost potraumatyczny,zastępczy wzrost potraumatyczny,zastępczy wzrost potraumatyczny,zastępczy wzrost potraumatyczny,zastepczy wzrost potraumatyczny,zastepczy wzrost potraumatyczny
2007,1/2007 vol. 140,UNKNOWN,Czy korzysta tylko pacjent? Potencjalny wpływ pracy z osobami z traumą — na terapeutę,"https://www.psychoterapiaptp.pl/Czy-korzysta-tylko-pacjent-Potencjalny-wplyw-pracy-z-osobami-z-trauma-na-terapeute,200100,0,1.html",zastępcza trauma,zastępcza trauma,zastępcza trauma,zastępcza trauma,zastępcza trauma,zastepcza trauma,zastepcza trauma
2008,1/2008 vol. 144,UNKNOWN,Analiza przypadku pacjentki z zaburzeniami osobowości typu borderline hospitalizowanej na Oddziale Leczenia Zaburzeń Osobowości i Nerwic 53-63,"https://www.psychoterapiaptp.pl/Analiza-przypadku-pacjentki-z-zaburzeniami-osobowosci-typu-borderline-hospitalizowanej,153744,0,1.html",borderline,borderline,borderline,borderline,borderline,borderline,borderline
2008,1/2008 vol. 144,UNKNOWN,Analiza przypadku pacjentki z zaburzeniami osobowości typu borderline hospitalizowanej na Oddziale Leczenia Zaburzeń Osobowości i Nerwic 53-63,"https://www.psychoterapiaptp.pl/Analiza-przypadku-pacjentki-z-zaburzeniami-osobowosci-typu-borderline-hospitalizowanej,153744,0,1.html",personality,personality,personality,personality,personality,personality,zaburzenia_osobowosci
2008,1/2008 vol. 144,UNKNOWN,Analiza przypadku pacjentki z zaburzeniami osobowości typu borderline hospitalizowanej na Oddziale Leczenia Zaburzeń Osobowości i Nerwic 53-63,"https://www.psychoterapiaptp.pl/Analiza-przypadku-pacjentki-z-zaburzeniami-osobowosci-typu-borderline-hospitalizowanej,153744,0,1.html",disorder,disorder,disorder,disorder,disorder,disorder,disorder
2008,1/2008 vol. 144,UNKNOWN,Ciało w psychoterapii. Natura i funkcja integracji ciała i umysłu w pracy psychoterapeutycznej na podstawie studium przypadku w pierwszym roku psychoterapii,"https://www.psychoterapiaptp.pl/Cialo-w-psychoterapii-Natura-i-funkcja-integracji-ciala-i-umyslu-w-pracy-psychoterapeutycznej,209818,0,1.html",perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa,perspektywa rozwojowa
2008,1/2008 vol. 144,UNKNOWN,Ciało w psychoterapii. Natura i funkcja integracji ciała i umysłu w pracy psychoterapeutycznej na podstawie studium przypadku w pierwszym roku psychoterapii,"https://www.psychoterapiaptp.pl/Cialo-w-psychoterapii-Natura-i-funkcja-integracji-ciala-i-umyslu-w-pracy-psychoterapeutycznej,209818,0,1.html",integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu,integracja ciała i umysłu
2008,1/2008 vol. 144,UNKNOWN,Ciało w psychoterapii. Natura i funkcja integracji ciała i umysłu w pracy psychoterapeutycznej na podstawie studium przypadku w pierwszym roku psychoterapii,"https://www.psychoterapiaptp.pl/Cialo-w-psychoterapii-Natura-i-funkcja-integracji-ciala-i-umyslu-w-pracy-psychoterapeutycznej,209818,0,1.html",kryzys relacyjny,kryzys relacyjny,kryzys relacyjny,kryzys relacyjny,kryzys relacyjny,kryzys relacyjny,kryzys relacyjny
2008,1/2008 vol. 144,UNKNOWN,Śnienie małżeństwa. „Sen nocy letniej” jako mapa terapeuty par,"https://www.psychoterapiaptp.pl/Snienie-malzenstwa-Sen-nocy-letniej-jako-mapa-terapeuty-par,200642,0,1.html",Szekspir,Szekspir,Szekspir,Szekspir,Szekspir,szekspir,szekspir
2008,1/2008 vol. 144,UNKNOWN,Śnienie małżeństwa. „Sen nocy letniej” jako mapa terapeuty par,"https://www.psychoterapiaptp.pl/Snienie-malzenstwa-Sen-nocy-letniej-jako-mapa-terapeuty-par,200642,0,1.html",terapia par,terapia par,terapia par,terapia par,terapia par,terapia par,terapia par
2008,1/2008 vol. 144,UNKNOWN,Śnienie małżeństwa. „Sen nocy letniej” jako mapa terapeuty par,"https://www.psychoterapiaptp.pl/Snienie-malzenstwa-Sen-nocy-letniej-jako-mapa-terapeuty-par,200642,0,1.html",psychoanalityczna terapia par,psychoanalityczna terapia par,psychoanalityczna terapia par,psychoanalityczna terapia par,psychoanalityczna terapia par,psychoanalityczna terapia par,psychoterapia_psychodynamiczna
2008,1/2008 vol. 144,UNKNOWN,Zagrożenia zawodowe terapeutów,"https://www.psychoterapiaptp.pl/Zagrozenia-zawodowe-terapeutow,206032,0,1.html",zagrożenia zawodowe terapeutów,zagrożenia zawodowe terapeutów,zagrożenia zawodowe terapeutów,zagrożenia zawodowe terapeutów,zagrożenia zawodowe terapeutów,zagrozenia zawodowe terapeutow,zagrozenia zawodowe terapeutow
2008,1/2008 vol. 144,UNKNOWN,Zagrożenia zawodowe terapeutów,"https://www.psychoterapiaptp.pl/Zagrozenia-zawodowe-terapeutow,206032,0,1.html",samotność terapeuty,samotność terapeuty,samotność terapeuty,samotność terapeuty,samotność terapeuty,samotnosc terapeuty,samotnosc terapeuty
2008,1/2008 vol. 144,UNKNOWN,Zagrożenia zawodowe terapeutów,"https://www.psychoterapiaptp.pl/Zagrozenia-zawodowe-terapeutow,206032,0,1.html",kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem,kontakt seksualny z klientem
2008,1/2008 vol. 144,UNKNOWN,Czy korzysta tylko pacjent? Potencjalny wpływ pracy z osobami z traumą — na terapeutę,"https://www.psychoterapiaptp.pl/Czy-korzysta-tylko-pacjent-Potencjalny-wplyw-pracy-z-osobami-z-trauma-na-terapeute,200100,0,1.html",zastępczy wzrost potraumatyczny,zastępczy wzrost potraumatyczny,zastępczy wzrost potraumatyczny,zastępczy wzrost potraumatyczny,zastępczy wzrost potraumatyczny,zastepczy wzrost potraumatyczny,zastepczy wzrost potraumatyczny
2008,1/2008 vol. 144,UNKNOWN,Czy korzysta tylko pacjent? Potencjalny wpływ pracy z osobami z traumą — na terapeutę,"https://www.psychoterapiaptp.pl/Czy-korzysta-tylko-pacjent-Potencjalny-wplyw-pracy-z-osobami-z-trauma-na-terapeute,200100,0,1.html",zastępcza trauma,zastępcza trauma,zastępcza trauma,zastępcza trauma,zastępcza trauma,zastepcza trauma,zastepcza trauma
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Spostrzezenia-na-temat-zaleznosci-pomiedzy-psychoterapia-a-postepami-w-neurobiologii,153748,0,1.html",neurobiology,neurobiology,neurobiology,neurobiology,neurobiology,neurobiology,neurobiology
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Spostrzezenia-na-temat-zaleznosci-pomiedzy-psychoterapia-a-postepami-w-neurobiologii,153748,0,1.html",pharmacotherapy,pharmacotherapy,pharmacotherapy,pharmacotherapy,pharmacotherapy,pharmacotherapy,pharmacotherapy
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Spostrzezenia-na-temat-zaleznosci-pomiedzy-psychoterapia-a-postepami-w-neurobiologii,153748,0,1.html",versus psychotherapy,versus psychotherapy,versus psychotherapy,versus psychotherapy,versus psychotherapy,versus psychotherapy,versus psychotherapy
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Spojrzenie-na-depresje-z-perspektywy-psychoterapii-35-42,153749,0,1.html",depression,depression,depression,depression,depresja,depresja,depresja
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Spojrzenie-na-depresje-z-perspektywy-psychoterapii-35-42,153749,0,1.html",psychotherapy,psychotherapy,psychotherapy,psychotherapy,psychoterapia,psychoterapia,psychoterapia_ogolnie
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Korektywne-przezywanie-wartosci-opis-zjawiska-i-przeglad-badan-dotyczacych-zmian,153750,0,1.html",mechanisms of change,mechanisms of change,mechanisms of change,mechanisms of change,mechanisms of change,mechanisms of change,mechanisms of change
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Korektywne-przezywanie-wartosci-opis-zjawiska-i-przeglad-badan-dotyczacych-zmian,153750,0,1.html",in psychotherapy,in psychotherapy,in psychotherapy,in psychotherapy,in psychotherapy,in psychotherapy,in psychotherapy
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Korektywne-przezywanie-wartosci-opis-zjawiska-i-przeglad-badan-dotyczacych-zmian,153750,0,1.html",experience of values,experience of values,experience of values,experience of values,experience of values,experience of values,experience of values
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Korektywne-przezywanie-wartosci-opis-zjawiska-i-przeglad-badan-dotyczacych-zmian,153750,0,1.html",symptoms relief,symptoms relief,symptoms relief,symptoms relief,symptoms relief,symptoms relief,symptoms relief
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Korektywne-przezywanie-wartosci-opis-zjawiska-i-przeglad-badan-dotyczacych-zmian,153750,0,1.html",the subjective assessment of,the subjective assessment of,the subjective assessment of,the subjective assessment of,the subjective assessment of,the subjective assessment of,the subjective assessment of
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Korektywne-przezywanie-wartosci-opis-zjawiska-i-przeglad-badan-dotyczacych-zmian,153750,0,1.html",the psychotherapy outcome,the psychotherapy outcome,the psychotherapy outcome,the psychotherapy outcome,the psychotherapy outcome,the psychotherapy outcome,the psychotherapy outcome
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Dialog-w-milczeniu-rozumienie-i-terapia-pacjentki-mutystycznej-57-63,153751,0,1.html",understanding of the symptoms,understanding of the symptoms,understanding of the symptoms,understanding of the symptoms,understanding of the symptoms,understanding of the symptoms,understanding of the symptoms
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Dialog-w-milczeniu-rozumienie-i-terapia-pacjentki-mutystycznej-57-63,153751,0,1.html",psychodynamic psychotherapy,psychodynamic psychotherapy,psychodynamic psychotherapy,psychodynamic psychotherapy,psychodynamic psychotherapy,psychodynamic psychotherapy,psychoterapia_psychodynamiczna
2009,1/2009 vol. 148,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Wykorzystanie-genogramu-we-wspolczesnych-nurtach-terapii-rodzin-65-76,153752,0,1.html",genograms,genograms,genograms,genograms,genograms,genograms,genograms
