journal_key,year,n_articles,n_with_doi,n_with_abstract
counselling_psychotherapy_research,2025,190,190,186
journal_consulting_clinical_psychology,2005,131,131,0
journal_consulting_clinical_psychology,2006,121,121,0
journal_consulting_clinical_psychology,2007,107,107,0
journal_consulting_clinical_psychology,2008,112,112,0
journal_consulting_clinical_psychology,2009,115,115,0
journal_consulting_clinical_psychology,2010,105,105,0
journal_consulting_clinical_psychology,2011,91,91,0
journal_consulting_clinical_psychology,2012,116,116,0
journal_consulting_clinical_psychology,2013,112,112,0
journal_consulting_clinical_psychology,2014,132,132,0
journal_consulting_clinical_psychology,2015,120,120,0
journal_consulting_clinical_psychology,2016,125,125,0
journal_consulting_clinical_psychology,2017,140,140,0
journal_consulting_clinical_psychology,2018,129,129,0
journal_consulting_clinical_psychology,2019,143,143,0
journal_consulting_clinical_psychology,2020,142,142,0
journal_consulting_clinical_psychology,2021,144,144,0
journal_consulting_clinical_psychology,2022,129,129,0
journal_consulting_clinical_psychology,2023,107,107,0
journal_consulting_clinical_psychology,2024,125,125,0
journal_consulting_clinical_psychology,2025,112,112,0
journal_psychotherapy_integration,2005,27,27,0
journal_psychotherapy_integration,2006,22,22,0
journal_psychotherapy_integration,2007,22,22,0
journal_psychotherapy_integration,2008,32,32,0
journal_psychotherapy_integration,2009,22,22,0
journal_psychotherapy_integration,2010,25,25,0
journal_psychotherapy_integration,2011,21,21,0
journal_psychotherapy_integration,2012,31,31,0
journal_psychotherapy_integration,2013,36,36,0
journal_psychotherapy_integration,2014,34,34,0
journal_psychotherapy_integration,2015,34,34,0
journal_psychotherapy_integration,2016,42,42,0
journal_psychotherapy_integration,2017,49,49,0
journal_psychotherapy_integration,2018,42,42,0
journal_psychotherapy_integration,2019,39,39,0
journal_psychotherapy_integration,2020,50,50,0
journal_psychotherapy_integration,2021,29,29,0
journal_psychotherapy_integration,2022,36,36,0
journal_psychotherapy_integration,2023,35,35,0
journal_psychotherapy_integration,2024,41,41,0
journal_psychotherapy_integration,2025,42,42,0
psychology_psychotherapy_tprp,2005,43,43,35
psychology_psychotherapy_tprp,2006,58,58,42
psychology_psychotherapy_tprp,2007,43,43,43
psychology_psychotherapy_tprp,2008,31,31,30
psychology_psychotherapy_tprp,2009,32,32,32
psychology_psychotherapy_tprp,2010,30,30,29
psychology_psychotherapy_tprp,2011,33,33,31
psychology_psychotherapy_tprp,2012,33,33,31
psychology_psychotherapy_tprp,2013,29,29,28
psychology_psychotherapy_tprp,2014,29,29,28
psychology_psychotherapy_tprp,2015,32,32,31
psychology_psychotherapy_tprp,2016,32,32,31
psychology_psychotherapy_tprp,2017,49,49,47
psychology_psychotherapy_tprp,2018,34,34,29
psychology_psychotherapy_tprp,2019,37,37,31
psychology_psychotherapy_tprp,2020,48,48,43
psychology_psychotherapy_tprp,2021,93,93,84
psychology_psychotherapy_tprp,2022,67,67,60
psychology_psychotherapy_tprp,2023,65,65,60
psychology_psychotherapy_tprp,2024,58,58,49
psychology_psychotherapy_tprp,2025,73,73,67
psychotherapy,2005,57,57,0
psychotherapy,2006,56,56,0
psychotherapy,2007,63,63,0
psychotherapy,2008,49,49,0
psychotherapy,2009,57,57,0
psychotherapy,2010,64,64,0
psychotherapy,2011,59,59,0
psychotherapy,2012,78,78,0
psychotherapy,2013,96,96,0
psychotherapy,2014,76,76,0
psychotherapy,2015,61,61,0
psychotherapy,2016,62,62,0
psychotherapy,2017,52,52,0
psychotherapy,2018,63,63,0
psychotherapy,2019,71,71,0
psychotherapy,2020,69,69,0
psychotherapy,2021,71,71,0
psychotherapy,2022,89,89,0
psychotherapy,2023,74,74,0
psychotherapy,2024,46,46,0
psychotherapy,2025,79,79,0
psychotherapy_research,2005,48,48,0
psychotherapy_research,2006,61,61,0
psychotherapy_research,2007,73,73,0
psychotherapy_research,2008,73,73,0
psychotherapy_research,2009,75,75,0
psychotherapy_research,2010,68,68,0
psychotherapy_research,2011,62,62,0
psychotherapy_research,2012,60,60,0
psychotherapy_research,2013,61,61,0
psychotherapy_research,2014,61,61,0
psychotherapy_research,2015,58,58,0
psychotherapy_research,2016,63,63,0
psychotherapy_research,2017,62,62,0
psychotherapy_research,2018,75,75,0
psychotherapy_research,2019,88,88,0
psychotherapy_research,2020,84,84,0
psychotherapy_research,2021,83,83,0
psychotherapy_research,2022,83,83,0
psychotherapy_research,2023,85,85,0
psychotherapy_research,2024,94,94,0
psychotherapy_research,2025,164,164,0
