semantic_family,term,n_articles,pct_all_articles,n_term_hit_rows,rank_within_family
attachment_development_infant,early childhood,142,1.1674,142,9
attachment_development_infant,infants,139,1.1427,139,10
attachment_development_infant,very early,89,0.7317,89,11
attachment_development_infant,separation-individuation,84,0.6906,84,12
attachment_development_infant,mother-infant,83,0.6823,83,13
attachment_development_infant,early stages,59,0.485,59,14
attachment_development_infant,adult attachment,53,0.4357,53,15
attachment_development_infant,separation anxiety,49,0.4028,49,16
attachment_development_infant,attachment interview,32,0.2631,32,17
attachment_development_infant,child psychiatry,30,0.2466,30,18
attachment_development_infant,attachment style,25,0.2055,25,19
attachment_development_infant,early psychic,23,0.1891,23,20
attachment_development_infant,family romance,22,0.1809,22,21
attachment_development_infant,attachment styles,19,0.1562,19,22
attachment_development_infant,parent-infant relationship-contributions,14,0.1151,14,23
attachment_development_infant,parent-infant relationshipcontributions,14,0.1151,14,24
attachment_development_infant,attachment anxiety,12,0.0987,12,25
attachment_development_infant,child psychotherapists,9,0.074,9,26
transference_countertransference,transference,1764,14.5018,1764,1
transference_countertransference,countertransference,876,7.2016,876,2
transference_countertransference,enactment,365,3.0007,365,3
transference_countertransference,enactments,167,1.3729,167,4
transference_countertransference,transference countertransference,143,1.1756,143,5
transference_countertransference,transference-countertransference,143,1.1756,143,6
transference_countertransference,transference neurosis,132,1.0852,132,7
transference_countertransference,transference phenomena,48,0.3946,48,8
transference_countertransference,transference situation,42,0.3453,42,9
transference_countertransference,transference interpretation,37,0.3042,37,10
technique_interpretation_process,interpretation,1206,9.9145,1206,1
technique_interpretation_process,technique,1104,9.076,1104,2
technique_interpretation_process,setting,641,5.2696,641,3
technique_interpretation_process,technical,548,4.5051,548,4
technique_interpretation_process,interpretations,406,3.3377,406,5
technique_interpretation_process,termination,214,1.7593,214,6
technique_interpretation_process,therapeutic action,180,1.4798,180,7
technique_interpretation_process,psycho-analytic technique,29,0.2384,29,8
technique_interpretation_process,analyst's interpretations,23,0.1891,23,9
relational_intersubjective_field,relationship,2625,21.5801,2625,1
relational_intersubjective_field,relational,909,7.4729,909,2
relational_intersubjective_field,relationships,835,6.8645,835,3
relational_intersubjective_field,dialogue,738,6.0671,738,4
relational_intersubjective_field,interpersonal,496,4.0776,496,5
relational_intersubjective_field,recognition,441,3.6255,441,6
relational_intersubjective_field,intersubjective,328,2.6965,328,7
relational_intersubjective_field,mutual,322,2.6472,322,8
relational_intersubjective_field,intersubjectivity,172,1.414,172,9
relational_intersubjective_field,therapeutic relationship,139,1.1427,139,10
relational_intersubjective_field,two-person,78,0.6412,78,11
relational_intersubjective_field,relational studies,73,0.6001,73,12
relational_intersubjective_field,relational perspective,51,0.4193,51,13
relational_intersubjective_field,relational perspectives,49,0.4028,49,14
relational_intersubjective_field,mitchell relational,30,0.2466,30,15
relational_intersubjective_field,mutual influence,29,0.2384,29,16
relational_intersubjective_field,relational track,25,0.2055,25,17
relational_intersubjective_field,relational study,24,0.1973,24,18
relational_intersubjective_field,dynamic interpersonal,18,0.148,18,19
relational_intersubjective_field,relational theories,17,0.1398,17,20
trauma_dissociation_affect_regulation,emotional,1015,8.3443,1015,1
trauma_dissociation_affect_regulation,anxiety,976,8.0237,976,2
trauma_dissociation_affect_regulation,trauma,947,7.7853,947,3
trauma_dissociation_affect_regulation,affect,906,7.4482,906,4
trauma_dissociation_affect_regulation,feelings,794,6.5275,794,5
trauma_dissociation_affect_regulation,affective,439,3.609,439,6
trauma_dissociation_affect_regulation,dissociation,241,1.9813,241,7
trauma_dissociation_affect_regulation,regulation,215,1.7675,215,8
trauma_dissociation_affect_regulation,affect regulation,59,0.485,59,9
psychosis_borderline_primitive_states,primitive,523,4.2996,523,1
psychosis_borderline_primitive_states,psychotic,488,4.0118,488,2
psychosis_borderline_primitive_states,borderline,359,2.9513,359,3
psychosis_borderline_primitive_states,borderline personality,105,0.8632,105,4
psychosis_borderline_primitive_states,primitive mental,30,0.2466,30,5
psychosis_borderline_primitive_states,borderline psychopathology,7,0.0575,7,6
psychosis_borderline_primitive_states,psychotic wavelength,7,0.0575,7,7
psychosis_borderline_primitive_states,borderline schizophrenic,2,0.0164,2,8
body_sexuality_gender,sexual,988,8.1223,988,1
body_sexuality_gender,body,898,7.3824,898,2
body_sexuality_gender,sexuality,587,4.8257,587,3
body_sexuality_gender,female,523,4.2996,523,4
body_sexuality_gender,gender,452,3.7159,452,5
body_sexuality_gender,gender identity,77,0.633,77,6
body_sexuality_gender,sexual abuse,71,0.5837,71,7
body_sexuality_gender,infantile sexuality,68,0.559,68,8
body_sexuality_gender,female sexuality,64,0.5261,64,9
body_sexuality_gender,body image,60,0.4933,60,10
body_sexuality_gender,sexual intercourse,42,0.3453,42,11
body_sexuality_gender,opposite sex,31,0.2549,31,12
body_sexuality_gender,sexual life,31,0.2549,31,13
body_sexuality_gender,childhood sexual,30,0.2466,30,14
body_sexuality_gender,sexual boundary,28,0.2302,28,15
body_sexuality_gender,somatic symptoms,28,0.2302,28,16
body_sexuality_gender,sexual act,22,0.1809,22,17
body_sexuality_gender,female sexual,18,0.148,18,18
body_sexuality_gender,female psychology,17,0.1398,17,19
body_sexuality_gender,sex differences,11,0.0904,11,20
body_sexuality_gender,male female,3,0.0247,3,21
language_narrative_symbolization,meaning,1268,10.4242,1268,1
language_narrative_symbolization,language,767,6.3055,767,2
language_narrative_symbolization,words,692,5.6889,692,3
language_narrative_symbolization,representations,403,3.3131,403,4
language_narrative_symbolization,story,303,2.491,303,5
language_narrative_symbolization,english language,47,0.3864,47,6
language_narrative_symbolization,representational world,25,0.2055,25,7
culture_race_social_ethics,social,1191,9.7912,1191,1
culture_race_social_ethics,culture,568,4.6695,568,2
culture_race_social_ethics,cultural,540,4.4393,540,3
culture_race_social_ethics,political,405,3.3295,405,4
culture_race_social_ethics,war,354,2.9102,354,5
culture_race_social_ethics,violence,264,2.1703,264,6
culture_race_social_ethics,responsibility,203,1.6689,203,7
culture_race_social_ethics,race,186,1.5291,186,8
culture_race_social_ethics,racial,132,1.0852,132,9
culture_race_social_ethics,world war,115,0.9454,115,10
culture_race_social_ethics,racism,101,0.8303,101,11
culture_race_social_ethics,social psychology,31,0.2549,31,12
culture_race_social_ethics,social cognition,25,0.2055,25,13
culture_race_social_ethics,systemic racism,13,0.1069,13,14
empirical_research_measurement,evidence,653,5.3683,653,1
empirical_research_measurement,outcome,518,4.2585,518,2
empirical_research_measurement,measure,382,3.1404,382,3
empirical_research_measurement,assessment,300,2.4663,300,4
empirical_research_measurement,measures,217,1.784,217,5
empirical_research_measurement,scale,205,1.6853,205,6
empirical_research_measurement,outcomes,149,1.2249,149,7
empirical_research_measurement,effectiveness,145,1.192,145,8
empirical_research_measurement,evidence-based,68,0.559,68,9
empirical_research_measurement,pilot study,23,0.1891,23,10
empirical_research_measurement,psycho-analytic study,23,0.1891,23,11
empirical_research_measurement,empirical investigation,21,0.1726,21,12
empirical_research_measurement,statistical manual,20,0.1644,20,13
empirical_research_measurement,evidence base,17,0.1398,17,14
empirical_research_measurement,personality assessment,15,0.1233,15,15
history_theory_schools,freud,3099,25.4768,3099,1
history_theory_schools,freud's,1718,14.1236,1718,2
history_theory_schools,freudian,428,3.5186,428,3
history_theory_schools,sigmund freud,235,1.9319,235,4
history_theory_schools,anna freud,210,1.7264,210,5
history_theory_schools,kohut,176,1.4469,176,6
history_theory_schools,freud himself,82,0.6741,82,7
history_theory_schools,freud's writings,69,0.5672,69,8
history_theory_schools,heinz kohut,49,0.4028,49,9
history_theory_schools,freud's thinking,42,0.3453,42,10
history_theory_schools,michael balint,34,0.2795,34,11
history_theory_schools,freud sigmund,31,0.2549,31,12
history_theory_schools,balint michael,20,0.1644,20,13
history_theory_schools,freud pointed,17,0.1398,17,14
history_theory_schools,freud stated,14,0.1151,14,15
history_theory_schools,freud vienna,14,0.1151,14,16
history_theory_schools,untranslated freud,11,0.0904,11,17
history_theory_schools,ferenczi budapest,9,0.074,9,18
history_theory_schools,kernberg kohut,1,0.0082,1,19
