level,journal_key,period,semantic_family,pct,n_articles
period,,1970-1989,relational_intersubjective_field,13.9363,245
period,,1970-1989,trauma_dissociation_affect_regulation,13.9932,246
period,,1970-1989,psychosis_borderline_primitive_states,9.727,171
period,,1970-1989,body_sexuality_gender,14.562,256
period,,1970-1989,language_narrative_symbolization,15.3015,269
period,,1970-1989,culture_race_social_ethics,3.0148,53
period,,1970-1989,empirical_research_measurement,9.3288,164
period,,1970-1989,history_theory_schools,5.347,94
period,,1990-2009,drive_conflict_defense,31.7545,1247
period,,1990-2009,dream_fantasy_unconscious,18.411,723
period,,1990-2009,ego_self_narcissism,16.0682,631
period,,1990-2009,object_relations,18.2327,716
period,,1990-2009,kleinian_bionian,5.9333,233
period,,1990-2009,winnicottian_environment_holding,2.0626,81
period,,1990-2009,attachment_development_infant,17.0868,671
period,,1990-2009,transference_countertransference,23.2238,912
period,,1990-2009,technique_interpretation_process,22.2307,873
period,,1990-2009,relational_intersubjective_field,24.4716,961
period,,1990-2009,trauma_dissociation_affect_regulation,15.5844,612
period,,1990-2009,psychosis_borderline_primitive_states,5.7041,224
period,,1990-2009,body_sexuality_gender,14.6168,574
period,,1990-2009,language_narrative_symbolization,14.413,566
period,,1990-2009,culture_race_social_ethics,6.5954,259
period,,1990-2009,empirical_research_measurement,11.0772,435
period,,1990-2009,history_theory_schools,3.0558,120
period,,2010-2025,drive_conflict_defense,24.0988,976
period,,2010-2025,dream_fantasy_unconscious,12.716,515
period,,2010-2025,ego_self_narcissism,15.0617,610
period,,2010-2025,object_relations,14.9383,605
period,,2010-2025,kleinian_bionian,7.4815,303
period,,2010-2025,winnicottian_environment_holding,1.7778,72
period,,2010-2025,attachment_development_infant,17.7778,720
period,,2010-2025,transference_countertransference,15.8272,641
period,,2010-2025,technique_interpretation_process,15.6049,632
period,,2010-2025,relational_intersubjective_field,30.642,1241
period,,2010-2025,trauma_dissociation_affect_regulation,21.2593,861
period,,2010-2025,psychosis_borderline_primitive_states,5.1358,208
period,,2010-2025,body_sexuality_gender,14.6173,592
period,,2010-2025,language_narrative_symbolization,15.7778,639
period,,2010-2025,culture_race_social_ethics,16.642,674
period,,2010-2025,empirical_research_measurement,12.9383,524
period,,2010-2025,history_theory_schools,3.2593,132
journal,ijpa,,drive_conflict_defense,42.0431,2280
journal,ijpa,,dream_fantasy_unconscious,23.7876,1290
journal,ijpa,,ego_self_narcissism,20.8556,1131
journal,ijpa,,object_relations,24.1748,1311
journal,ijpa,,kleinian_bionian,8.5193,462
journal,ijpa,,winnicottian_environment_holding,3.4114,185
journal,ijpa,,attachment_development_infant,20.7819,1127
journal,ijpa,,transference_countertransference,20.4868,1111
journal,ijpa,,technique_interpretation_process,22.9762,1246
journal,ijpa,,relational_intersubjective_field,14.9548,811
journal,ijpa,,trauma_dissociation_affect_regulation,14.8626,806
journal,ijpa,,psychosis_borderline_primitive_states,8.2242,446
journal,ijpa,,body_sexuality_gender,16.3009,884
journal,ijpa,,language_narrative_symbolization,18.3109,993
journal,ijpa,,culture_race_social_ethics,7.0072,380
journal,ijpa,,empirical_research_measurement,7.9661,432
journal,ijpa,,history_theory_schools,7.4682,405
journal,japa,,drive_conflict_defense,37.9617,1110
journal,japa,,dream_fantasy_unconscious,21.3064,623
journal,japa,,ego_self_narcissism,19.8016,579
journal,japa,,object_relations,16.6211,486
journal,japa,,kleinian_bionian,1.9494,57
journal,japa,,winnicottian_environment_holding,1.9836,58
journal,japa,,attachment_development_infant,19.7674,578
journal,japa,,transference_countertransference,17.8865,523
journal,japa,,technique_interpretation_process,21.409,626
journal,japa,,relational_intersubjective_field,16.1423,472
journal,japa,,trauma_dissociation_affect_regulation,12.5171,366
journal,japa,,psychosis_borderline_primitive_states,4.5144,132
journal,japa,,body_sexuality_gender,14.2955,418
journal,japa,,language_narrative_symbolization,15.1163,442
journal,japa,,culture_race_social_ethics,6.0192,176
journal,japa,,empirical_research_measurement,11.4911,336
journal,japa,,history_theory_schools,4.8564,142
journal,psychoanalytic_dialogues,,drive_conflict_defense,18.6946,295
journal,psychoanalytic_dialogues,,dream_fantasy_unconscious,11.9138,188
journal,psychoanalytic_dialogues,,ego_self_narcissism,18.7579,296
journal,psychoanalytic_dialogues,,object_relations,13.0545,206
journal,psychoanalytic_dialogues,,kleinian_bionian,5.4499,86
journal,psychoanalytic_dialogues,,winnicottian_environment_holding,1.9645,31
journal,psychoanalytic_dialogues,,attachment_development_infant,16.6667,263
journal,psychoanalytic_dialogues,,transference_countertransference,19.8352,313
journal,psychoanalytic_dialogues,,technique_interpretation_process,15.7795,249
journal,psychoanalytic_dialogues,,relational_intersubjective_field,53.2319,840
journal,psychoanalytic_dialogues,,trauma_dissociation_affect_regulation,29.2776,462
journal,psychoanalytic_dialogues,,psychosis_borderline_primitive_states,1.7744,28
journal,psychoanalytic_dialogues,,body_sexuality_gender,19.8352,313
journal,psychoanalytic_dialogues,,language_narrative_symbolization,15.2725,241
journal,psychoanalytic_dialogues,,culture_race_social_ethics,21.1027,333
journal,psychoanalytic_dialogues,,empirical_research_measurement,4.8162,76
journal,psychoanalytic_dialogues,,history_theory_schools,0.8872,14
journal,psychoanalytic_psychology,,drive_conflict_defense,28.4149,389
journal,psychoanalytic_psychology,,dream_fantasy_unconscious,11.3221,155
journal,psychoanalytic_psychology,,ego_self_narcissism,19.5033,267
journal,psychoanalytic_psychology,,object_relations,16.1432,221
journal,psychoanalytic_psychology,,kleinian_bionian,1.4609,20
journal,psychoanalytic_psychology,,winnicottian_environment_holding,1.8262,25
journal,psychoanalytic_psychology,,attachment_development_infant,21.9138,300
journal,psychoanalytic_psychology,,transference_countertransference,16.2893,223
journal,psychoanalytic_psychology,,technique_interpretation_process,15.6318,214
journal,psychoanalytic_psychology,,relational_intersubjective_field,31.0446,425
journal,psychoanalytic_psychology,,trauma_dissociation_affect_regulation,20.0146,274
journal,psychoanalytic_psychology,,psychosis_borderline_primitive_states,5.5515,76
journal,psychoanalytic_psychology,,body_sexuality_gender,14.317,196
journal,psychoanalytic_psychology,,language_narrative_symbolization,11.6143,159
journal,psychoanalytic_psychology,,culture_race_social_ethics,8.4003,115
journal,psychoanalytic_psychology,,empirical_research_measurement,21.4025,293
journal,psychoanalytic_psychology,,history_theory_schools,2.0453,28
journal,psychoanalytic_psychotherapy,,drive_conflict_defense,22.2989,194
journal,psychoanalytic_psychotherapy,,dream_fantasy_unconscious,6.092,53
journal,psychoanalytic_psychotherapy,,ego_self_narcissism,9.1954,80
journal,psychoanalytic_psychotherapy,,object_relations,15.4023,134
journal,psychoanalytic_psychotherapy,,kleinian_bionian,7.8161,68
journal,psychoanalytic_psychotherapy,,winnicottian_environment_holding,1.0345,9
journal,psychoanalytic_psychotherapy,,attachment_development_infant,20.3448,177
journal,psychoanalytic_psychotherapy,,transference_countertransference,14.7126,128
journal,psychoanalytic_psychotherapy,,technique_interpretation_process,10.5747,92
journal,psychoanalytic_psychotherapy,,relational_intersubjective_field,21.4943,187
journal,psychoanalytic_psychotherapy,,trauma_dissociation_affect_regulation,14.1379,123
journal,psychoanalytic_psychotherapy,,psychosis_borderline_primitive_states,12.7586,111
journal,psychoanalytic_psychotherapy,,body_sexuality_gender,9.4253,82
journal,psychoanalytic_psychotherapy,,language_narrative_symbolization,6.8966,60
journal,psychoanalytic_psychotherapy,,culture_race_social_ethics,10.4598,91
journal,psychoanalytic_psychotherapy,,empirical_research_measurement,22.5287,196
journal,psychoanalytic_psychotherapy,,history_theory_schools,1.954,17
journal_period,ijpa,1920-1945,drive_conflict_defense,43.4402,298
journal_period,ijpa,1920-1945,dream_fantasy_unconscious,23.1778,159
journal_period,ijpa,1920-1945,ego_self_narcissism,11.0787,76
journal_period,ijpa,1920-1945,object_relations,14.4315,99
journal_period,ijpa,1920-1945,kleinian_bionian,4.3732,30
journal_period,ijpa,1920-1945,winnicottian_environment_holding,3.4985,24
journal_period,ijpa,1920-1945,attachment_development_infant,24.9271,171
journal_period,ijpa,1920-1945,transference_countertransference,5.8309,40
journal_period,ijpa,1920-1945,technique_interpretation_process,18.0758,124
journal_period,ijpa,1920-1945,relational_intersubjective_field,5.6851,39
journal_period,ijpa,1920-1945,trauma_dissociation_affect_regulation,8.6006,59
journal_period,ijpa,1920-1945,psychosis_borderline_primitive_states,3.9359,27
journal_period,ijpa,1920-1945,body_sexuality_gender,26.5306,182
journal_period,ijpa,1920-1945,language_narrative_symbolization,16.035,110
journal_period,ijpa,1920-1945,culture_race_social_ethics,4.6647,32
journal_period,ijpa,1920-1945,empirical_research_measurement,7.5802,52
journal_period,ijpa,1920-1945,history_theory_schools,10.6414,73
journal_period,ijpa,1946-1969,drive_conflict_defense,52.3651,631
journal_period,ijpa,1946-1969,dream_fantasy_unconscious,27.1369,327
journal_period,ijpa,1946-1969,ego_self_narcissism,28.5477,344
journal_period,ijpa,1946-1969,object_relations,28.5477,344
journal_period,ijpa,1946-1969,kleinian_bionian,5.9751,72
journal_period,ijpa,1946-1969,winnicottian_environment_holding,5.8921,71
journal_period,ijpa,1946-1969,attachment_development_infant,27.7178,334
journal_period,ijpa,1946-1969,transference_countertransference,18.6722,225
journal_period,ijpa,1946-1969,technique_interpretation_process,25.9751,313
journal_period,ijpa,1946-1969,relational_intersubjective_field,15.8506,191
journal_period,ijpa,1946-1969,trauma_dissociation_affect_regulation,15.9336,192
journal_period,ijpa,1946-1969,psychosis_borderline_primitive_states,10.6224,128
journal_period,ijpa,1946-1969,body_sexuality_gender,16.3485,197
journal_period,ijpa,1946-1969,language_narrative_symbolization,19.5851,236
journal_period,ijpa,1946-1969,culture_race_social_ethics,4.6473,56
journal_period,ijpa,1946-1969,empirical_research_measurement,10.1245,122
journal_period,ijpa,1946-1969,history_theory_schools,11.4523,138
journal_period,ijpa,1970-1989,drive_conflict_defense,51.9126,475
journal_period,ijpa,1970-1989,dream_fantasy_unconscious,27.2131,249
journal_period,ijpa,1970-1989,ego_self_narcissism,31.9126,292
journal_period,ijpa,1970-1989,object_relations,31.3661,287
journal_period,ijpa,1970-1989,kleinian_bionian,5.0273,46
journal_period,ijpa,1970-1989,winnicottian_environment_holding,3.388,31
journal_period,ijpa,1970-1989,attachment_development_infant,24.2623,222
journal_period,ijpa,1970-1989,transference_countertransference,24.4809,224
journal_period,ijpa,1970-1989,technique_interpretation_process,21.7486,199
journal_period,ijpa,1970-1989,relational_intersubjective_field,14.2077,130
journal_period,ijpa,1970-1989,trauma_dissociation_affect_regulation,16.5027,151
journal_period,ijpa,1970-1989,psychosis_borderline_primitive_states,12.5683,115
journal_period,ijpa,1970-1989,body_sexuality_gender,15.6284,143
journal_period,ijpa,1970-1989,language_narrative_symbolization,19.4536,178
journal_period,ijpa,1970-1989,culture_race_social_ethics,3.7158,34
journal_period,ijpa,1970-1989,empirical_research_measurement,8.5246,78
journal_period,ijpa,1970-1989,history_theory_schools,6.776,62
journal_period,ijpa,1990-2009,drive_conflict_defense,34.4556,481
journal_period,ijpa,1990-2009,dream_fantasy_unconscious,23.4957,328
journal_period,ijpa,1990-2009,ego_self_narcissism,16.3324,228
journal_period,ijpa,1990-2009,object_relations,23.4241,327
journal_period,ijpa,1990-2009,kleinian_bionian,10.6017,148
journal_period,ijpa,1990-2009,winnicottian_environment_holding,2.3639,33
journal_period,ijpa,1990-2009,attachment_development_infant,14.5415,203
journal_period,ijpa,1990-2009,transference_countertransference,26.7908,374
journal_period,ijpa,1990-2009,technique_interpretation_process,25.2149,352
journal_period,ijpa,1990-2009,relational_intersubjective_field,17.1203,239
journal_period,ijpa,1990-2009,trauma_dissociation_affect_regulation,15.7593,220
journal_period,ijpa,1990-2009,psychosis_borderline_primitive_states,6.8052,95
journal_period,ijpa,1990-2009,body_sexuality_gender,14.1117,197
journal_period,ijpa,1990-2009,language_narrative_symbolization,17.6218,246
journal_period,ijpa,1990-2009,culture_race_social_ethics,6.3754,89
journal_period,ijpa,1990-2009,empirical_research_measurement,7.8797,110
journal_period,ijpa,1990-2009,history_theory_schools,3.8682,54
journal_period,ijpa,2010-2025,drive_conflict_defense,32.3505,395
journal_period,ijpa,2010-2025,dream_fantasy_unconscious,18.5913,227
journal_period,ijpa,2010-2025,ego_self_narcissism,15.6429,191
journal_period,ijpa,2010-2025,object_relations,20.8026,254
journal_period,ijpa,2010-2025,kleinian_bionian,13.5954,166
journal_period,ijpa,2010-2025,winnicottian_environment_holding,2.1294,26
journal_period,ijpa,2010-2025,attachment_development_infant,16.1343,197
journal_period,ijpa,2010-2025,transference_countertransference,20.3112,248
journal_period,ijpa,2010-2025,technique_interpretation_process,21.1302,258
journal_period,ijpa,2010-2025,relational_intersubjective_field,17.3628,212
journal_period,ijpa,2010-2025,trauma_dissociation_affect_regulation,15.0696,184
journal_period,ijpa,2010-2025,psychosis_borderline_primitive_states,6.6339,81
journal_period,ijpa,2010-2025,body_sexuality_gender,13.5135,165
journal_period,ijpa,2010-2025,language_narrative_symbolization,18.2637,223
journal_period,ijpa,2010-2025,culture_race_social_ethics,13.8411,169
journal_period,ijpa,2010-2025,empirical_research_measurement,5.733,70
journal_period,ijpa,2010-2025,history_theory_schools,6.3882,78
journal_period,japa,1946-1969,drive_conflict_defense,46.8401,252
journal_period,japa,1946-1969,dream_fantasy_unconscious,28.8104,155
journal_period,japa,1946-1969,ego_self_narcissism,29.5539,159
journal_period,japa,1946-1969,object_relations,20.8178,112
journal_period,japa,1946-1969,kleinian_bionian,0.3717,2
journal_period,japa,1946-1969,winnicottian_environment_holding,2.4164,13
journal_period,japa,1946-1969,attachment_development_infant,24.3494,131
journal_period,japa,1946-1969,transference_countertransference,16.5428,89
journal_period,japa,1946-1969,technique_interpretation_process,21.0037,113
journal_period,japa,1946-1969,relational_intersubjective_field,10.7807,58
journal_period,japa,1946-1969,trauma_dissociation_affect_regulation,11.3383,61
journal_period,japa,1946-1969,psychosis_borderline_primitive_states,6.5056,35
journal_period,japa,1946-1969,body_sexuality_gender,17.1004,92
journal_period,japa,1946-1969,language_narrative_symbolization,13.9405,75
journal_period,japa,1946-1969,culture_race_social_ethics,3.9033,21
journal_period,japa,1946-1969,empirical_research_measurement,6.6914,36
journal_period,japa,1946-1969,history_theory_schools,9.1078,49
journal_period,japa,1970-1989,drive_conflict_defense,48.7518,332
journal_period,japa,1970-1989,dream_fantasy_unconscious,24.2291,165
journal_period,japa,1970-1989,ego_self_narcissism,30.5433,208
journal_period,japa,1970-1989,object_relations,22.467,153
journal_period,japa,1970-1989,kleinian_bionian,0.7342,5
journal_period,japa,1970-1989,winnicottian_environment_holding,2.0558,14
journal_period,japa,1970-1989,attachment_development_infant,23.348,159
journal_period,japa,1970-1989,transference_countertransference,19.6769,134
journal_period,japa,1970-1989,technique_interpretation_process,22.3201,152
journal_period,japa,1970-1989,relational_intersubjective_field,10.8664,74
journal_period,japa,1970-1989,trauma_dissociation_affect_regulation,11.0132,75
journal_period,japa,1970-1989,psychosis_borderline_primitive_states,5.1395,35
journal_period,japa,1970-1989,body_sexuality_gender,14.0969,96
journal_period,japa,1970-1989,language_narrative_symbolization,11.0132,75
journal_period,japa,1970-1989,culture_race_social_ethics,1.7621,12
journal_period,japa,1970-1989,empirical_research_measurement,9.1043,62
journal_period,japa,1970-1989,history_theory_schools,4.1116,28
journal_period,japa,1990-2009,drive_conflict_defense,36.1026,352
journal_period,japa,1990-2009,dream_fantasy_unconscious,19.6923,192
journal_period,japa,1990-2009,ego_self_narcissism,13.3333,130
journal_period,japa,1990-2009,object_relations,13.4359,131
journal_period,japa,1990-2009,kleinian_bionian,1.7436,17
journal_period,japa,1990-2009,winnicottian_environment_holding,1.8462,18
journal_period,japa,1990-2009,attachment_development_infant,19.0769,186
journal_period,japa,1990-2009,transference_countertransference,20.5128,200
journal_period,japa,1990-2009,technique_interpretation_process,24.5128,239
journal_period,japa,1990-2009,relational_intersubjective_field,19.6923,192
journal_period,japa,1990-2009,trauma_dissociation_affect_regulation,13.5385,132
journal_period,japa,1990-2009,psychosis_borderline_primitive_states,3.5897,35
journal_period,japa,1990-2009,body_sexuality_gender,14.9744,146
journal_period,japa,1990-2009,language_narrative_symbolization,14.7692,144
journal_period,japa,1990-2009,culture_race_social_ethics,5.5385,54
journal_period,japa,1990-2009,empirical_research_measurement,15.2821,149
journal_period,japa,1990-2009,history_theory_schools,4.1026,40
journal_period,japa,2010-2025,drive_conflict_defense,23.8356,174
journal_period,japa,2010-2025,dream_fantasy_unconscious,15.2055,111
journal_period,japa,2010-2025,ego_self_narcissism,11.2329,82
journal_period,japa,2010-2025,object_relations,12.3288,90
journal_period,japa,2010-2025,kleinian_bionian,4.5205,33
journal_period,japa,2010-2025,winnicottian_environment_holding,1.7808,13
journal_period,japa,2010-2025,attachment_development_infant,13.9726,102
journal_period,japa,2010-2025,transference_countertransference,13.6986,100
journal_period,japa,2010-2025,technique_interpretation_process,16.7123,122
journal_period,japa,2010-2025,relational_intersubjective_field,20.274,148
journal_period,japa,2010-2025,trauma_dissociation_affect_regulation,13.4247,98
journal_period,japa,2010-2025,psychosis_borderline_primitive_states,3.6986,27
journal_period,japa,2010-2025,body_sexuality_gender,11.5068,84
journal_period,japa,2010-2025,language_narrative_symbolization,20.274,148
journal_period,japa,2010-2025,culture_race_social_ethics,12.1918,89
journal_period,japa,2010-2025,empirical_research_measurement,12.1918,89
journal_period,japa,2010-2025,history_theory_schools,3.4247,25
journal_period,psychoanalytic_dialogues,1990-2009,drive_conflict_defense,21.3084,114
journal_period,psychoanalytic_dialogues,1990-2009,dream_fantasy_unconscious,14.7664,79
journal_period,psychoanalytic_dialogues,1990-2009,ego_self_narcissism,18.8785,101
journal_period,psychoanalytic_dialogues,1990-2009,object_relations,12.8972,69
journal_period,psychoanalytic_dialogues,1990-2009,kleinian_bionian,4.8598,26
journal_period,psychoanalytic_dialogues,1990-2009,winnicottian_environment_holding,2.4299,13
journal_period,psychoanalytic_dialogues,1990-2009,attachment_development_infant,13.6449,73
journal_period,psychoanalytic_dialogues,1990-2009,transference_countertransference,28.2243,151
journal_period,psychoanalytic_dialogues,1990-2009,technique_interpretation_process,23.3645,125
journal_period,psychoanalytic_dialogues,1990-2009,relational_intersubjective_field,51.7757,277
journal_period,psychoanalytic_dialogues,1990-2009,trauma_dissociation_affect_regulation,19.0654,102
journal_period,psychoanalytic_dialogues,1990-2009,psychosis_borderline_primitive_states,1.1215,6
journal_period,psychoanalytic_dialogues,1990-2009,body_sexuality_gender,18.5047,99
journal_period,psychoanalytic_dialogues,1990-2009,language_narrative_symbolization,14.0187,75
journal_period,psychoanalytic_dialogues,1990-2009,culture_race_social_ethics,11.7757,63
journal_period,psychoanalytic_dialogues,1990-2009,empirical_research_measurement,3.3645,18
journal_period,psychoanalytic_dialogues,1990-2009,history_theory_schools,0.7477,4
journal_period,psychoanalytic_dialogues,2010-2025,drive_conflict_defense,17.3538,181
journal_period,psychoanalytic_dialogues,2010-2025,dream_fantasy_unconscious,10.4506,109
journal_period,psychoanalytic_dialogues,2010-2025,ego_self_narcissism,18.6961,195
journal_period,psychoanalytic_dialogues,2010-2025,object_relations,13.1352,137
journal_period,psychoanalytic_dialogues,2010-2025,kleinian_bionian,5.7526,60
journal_period,psychoanalytic_dialogues,2010-2025,winnicottian_environment_holding,1.7258,18
journal_period,psychoanalytic_dialogues,2010-2025,attachment_development_infant,18.2167,190
journal_period,psychoanalytic_dialogues,2010-2025,transference_countertransference,15.5321,162
journal_period,psychoanalytic_dialogues,2010-2025,technique_interpretation_process,11.8888,124
journal_period,psychoanalytic_dialogues,2010-2025,relational_intersubjective_field,53.9789,563
journal_period,psychoanalytic_dialogues,2010-2025,trauma_dissociation_affect_regulation,34.5158,360
journal_period,psychoanalytic_dialogues,2010-2025,psychosis_borderline_primitive_states,2.1093,22
journal_period,psychoanalytic_dialogues,2010-2025,body_sexuality_gender,20.5177,214
journal_period,psychoanalytic_dialogues,2010-2025,language_narrative_symbolization,15.9156,166
journal_period,psychoanalytic_dialogues,2010-2025,culture_race_social_ethics,25.8869,270
journal_period,psychoanalytic_dialogues,2010-2025,empirical_research_measurement,5.5609,58
journal_period,psychoanalytic_dialogues,2010-2025,history_theory_schools,0.9588,10
journal_period,psychoanalytic_psychology,1970-1989,drive_conflict_defense,35.7724,44
journal_period,psychoanalytic_psychology,1970-1989,dream_fantasy_unconscious,9.7561,12
journal_period,psychoanalytic_psychology,1970-1989,ego_self_narcissism,25.2033,31
journal_period,psychoanalytic_psychology,1970-1989,object_relations,26.0163,32
journal_period,psychoanalytic_psychology,1970-1989,kleinian_bionian,0.813,1
journal_period,psychoanalytic_psychology,1970-1989,winnicottian_environment_holding,1.626,2
journal_period,psychoanalytic_psychology,1970-1989,attachment_development_infant,21.9512,27
journal_period,psychoanalytic_psychology,1970-1989,transference_countertransference,21.9512,27
journal_period,psychoanalytic_psychology,1970-1989,technique_interpretation_process,15.4472,19
journal_period,psychoanalytic_psychology,1970-1989,relational_intersubjective_field,28.4553,35
journal_period,psychoanalytic_psychology,1970-1989,trauma_dissociation_affect_regulation,15.4472,19
journal_period,psychoanalytic_psychology,1970-1989,psychosis_borderline_primitive_states,12.1951,15
journal_period,psychoanalytic_psychology,1970-1989,body_sexuality_gender,12.1951,15
journal_period,psychoanalytic_psychology,1970-1989,language_narrative_symbolization,13.0081,16
journal_period,psychoanalytic_psychology,1970-1989,culture_race_social_ethics,5.6911,7
journal_period,psychoanalytic_psychology,1970-1989,empirical_research_measurement,15.4472,19
journal_period,psychoanalytic_psychology,1970-1989,history_theory_schools,2.439,3
journal_period,psychoanalytic_psychology,1990-2009,drive_conflict_defense,32.7974,204
journal_period,psychoanalytic_psychology,1990-2009,dream_fantasy_unconscious,15.5949,97
journal_period,psychoanalytic_psychology,1990-2009,ego_self_narcissism,21.2219,132
journal_period,psychoanalytic_psychology,1990-2009,object_relations,18.9711,118
journal_period,psychoanalytic_psychology,1990-2009,kleinian_bionian,1.1254,7
journal_period,psychoanalytic_psychology,1990-2009,winnicottian_environment_holding,1.6077,10
journal_period,psychoanalytic_psychology,1990-2009,attachment_development_infant,21.0611,131
journal_period,psychoanalytic_psychology,1990-2009,transference_countertransference,18.8103,117
journal_period,psychoanalytic_psychology,1990-2009,technique_interpretation_process,18.8103,117
journal_period,psychoanalytic_psychology,1990-2009,relational_intersubjective_field,31.1897,194
journal_period,psychoanalytic_psychology,1990-2009,trauma_dissociation_affect_regulation,18.328,114
journal_period,psychoanalytic_psychology,1990-2009,psychosis_borderline_primitive_states,4.6624,29
journal_period,psychoanalytic_psychology,1990-2009,body_sexuality_gender,16.2379,101
journal_period,psychoanalytic_psychology,1990-2009,language_narrative_symbolization,12.3794,77
journal_period,psychoanalytic_psychology,1990-2009,culture_race_social_ethics,4.5016,28
journal_period,psychoanalytic_psychology,1990-2009,empirical_research_measurement,14.9518,93
journal_period,psychoanalytic_psychology,1990-2009,history_theory_schools,2.4116,15
journal_period,psychoanalytic_psychology,2010-2025,drive_conflict_defense,22.5962,141
journal_period,psychoanalytic_psychology,2010-2025,dream_fantasy_unconscious,7.3718,46
journal_period,psychoanalytic_psychology,2010-2025,ego_self_narcissism,16.6667,104
journal_period,psychoanalytic_psychology,2010-2025,object_relations,11.3782,71
journal_period,psychoanalytic_psychology,2010-2025,kleinian_bionian,1.9231,12
journal_period,psychoanalytic_psychology,2010-2025,winnicottian_environment_holding,2.0833,13
journal_period,psychoanalytic_psychology,2010-2025,attachment_development_infant,22.7564,142
journal_period,psychoanalytic_psychology,2010-2025,transference_countertransference,12.6603,79
journal_period,psychoanalytic_psychology,2010-2025,technique_interpretation_process,12.5,78
journal_period,psychoanalytic_psychology,2010-2025,relational_intersubjective_field,31.4103,196
journal_period,psychoanalytic_psychology,2010-2025,trauma_dissociation_affect_regulation,22.5962,141
journal_period,psychoanalytic_psychology,2010-2025,psychosis_borderline_primitive_states,5.1282,32
journal_period,psychoanalytic_psychology,2010-2025,body_sexuality_gender,12.8205,80
journal_period,psychoanalytic_psychology,2010-2025,language_narrative_symbolization,10.5769,66
journal_period,psychoanalytic_psychology,2010-2025,culture_race_social_ethics,12.8205,80
journal_period,psychoanalytic_psychology,2010-2025,empirical_research_measurement,29.0064,181
journal_period,psychoanalytic_psychology,2010-2025,history_theory_schools,1.6026,10
journal_period,psychoanalytic_psychotherapy,1970-1989,drive_conflict_defense,33.3333,13
journal_period,psychoanalytic_psychotherapy,1970-1989,dream_fantasy_unconscious,10.2564,4
journal_period,psychoanalytic_psychotherapy,1970-1989,ego_self_narcissism,5.1282,2
journal_period,psychoanalytic_psychotherapy,1970-1989,object_relations,25.641,10
journal_period,psychoanalytic_psychotherapy,1970-1989,kleinian_bionian,2.5641,1
