article_id,article_url,source_issue_url,source_issue_label,source,year,volume,issue_number,title,authors,citation,pages,doi,pdf_url,publication_date,online_publication_date,submission_date,acceptance_date,article_type,topics,abstract_text,n_keywords
200079,"https://www.archivespp.pl/The-interplay-between-self-compassion-and-mindfulness-in-the-explanation-of-depression,200079,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2025,27,2,The interplay between self-compassion and mindfulness in the explanation of depression and anxiety in depressed individuals,Patryk Roczon | Paweł Holas | Marzena Rusanowska | Izabela Krejtz | John B. Nezlek,Arch Psych Psych 2025;27(2):16-28,16-28,10.12740/APP/200079,https://www.archivespp.pl/pdf-200079-126959?filename=The-interplay-between-sel.pdf,2025-07-14,2025-07-14,2024-05-23,2025-01-14,,Psychopathology of anxiety and other „neurotic disorders”,"Aim of the study: Previous studies have found that self-compassion and mindfulness are negatively related to depressive and anxiety symptoms. Still, the mechanisms underlying these relationships in major depression and whether such mechanisms differ in healthy people are poorly understood. In the present study, it was examined whether mindfulness and worrying mediated relationships between self-compassion, depression, and anxiety. An alternate model with mindfulness as the predictor and self-compassion as a mediator was also examined. Subject or material and methods: 146 individuals who had been diagnosed as depressed (Mage = 34.49, SD = 10.14) and 198 healthy controls (Mage = 34.44, SD = 12.93) completed an online battery of questionnaires assessing self-compassion, mindfulness, worrying, trait anxiety, and depression. Results: It was found that self-compassion and mindfulness may both function as mediators in predicting emotional distress. Diagnosis of clinical depression did not moderate the effects of mediational relationships in both the main and alternative models. Discussion: These findings suggest that relationships between mindfulness and self-compassion are reciprocal in the explanation of depression and anxiety symptoms and suggest both mechanisms may contribute to the reduction of anxiety and depression, a claim that needs further experimental validation. Conclusions: Future research may benefit from longitudinal and experimental designs to understand causal precedence and the dynamic nature of the relationship between mindfulness and self-compassion.",5
201423,"https://www.archivespp.pl/Treatment-of-trauma-cognitive-processing-therapy-or-prolonged-exposure-Analysis-of,201423,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2025,27,2,Treatment of trauma - cognitive processing therapy or prolonged exposure? Analysis of leading approaches within the cognitive-behavioral paradigm,Sylwia Natalia Michałowska,Arch Psych Psych 2025;27(2):29-37,29-37,10.12740/APP/201423,https://www.archivespp.pl/pdf-201423-126919?filename=Treatment-of-trauma---cog.pdf,2025-07-11,2025-07-14,2024-05-11,2025-02-14,,Psychotherapy,"Contemporary understanding of trauma encompasses various forms of experiences resulting in symptoms of Post-Traumatic Stress Disorder (PTSD). Cognitive-behavioral therapies such as Cognitive Processing Therapy (CPT) and Prolonged Exposure (PE) are the main treatment methods for PTSD, differing in their approach to confronting traumatic memories and cognitive restructuring. Research on the effectiveness of these approaches has been conducted with various patient groups, including veterans, individuals experiencing childhood trauma, and those with PTSD from accidents and disasters, demonstrating differences in effectiveness depending on the patient group and type of trauma. The aim of this study is to analyze similarities, differences, and effectiveness of the indicated methods in treating PTSD depending on the therapeutic context.",5
205143,"https://www.archivespp.pl/Clinical-features-diagnosis-and-approaches-to-the-treatment-of-borderline-personality,205143,0,2.html","https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,archive,2025,27,4,"Clinical features, diagnosis, and approaches to the treatment of borderline personality disorder",Liana Spytska,Arch Psych Psych 2025;27(4):48-54,48-54,10.12740/APP/205143,https://www.archivespp.pl/pdf-205143-134029?filename=Clinical-features--diagno.pdf,2026-01-01,2026-01-01,2025-02-26,2025-05-14,,Psychotherapy,"Aim of the study: Borderline personality disorder (BPD) poses a significant challenge for modern psychiatry and clinical psychology due to its complex nature, high prevalence, and significant impact on the quality of life of patients. The study aimed to conduct a comprehensive analysis of current scientific data on the clinical picture, diagnostic methods, and therapeutic strategies for BPD to create a holistic view of this pathology and improve approaches to its treatment. Subject or material and methods: The methodology involved reviewing peer-reviewed articles, systematic reviews, and meta-analyses published in leading international medical journals, analysing diagnostic criteria from the DSM-5 and ICD-11, and assessing various psychotherapeutic and pharmacological interventions. Results: The results showed that the key symptoms of BPD – emotional instability, identity disorders, impulsivity, and instability of interpersonal relationships – form a complex interconnected system that determines the unique clinical profile of each patient. The high level of comorbidity of BPD with other mental disorders, especially depressive and anxiety disorders and post-traumatic stress disorder, has proven to be a key factor in determining the complexity of the clinical picture, prognosis, and treatment approaches. Discussion: The analysis of modern diagnostic approaches revealed a significant evolution from the categorical to the dimensional approach, which is most clearly reflected in the criteria of the International Classification of Diseases of the 11th revision (ICD-11). Structured diagnostic interviews demonstrate high reliability and validity, remaining the “gold standard” for the diagnosis of BPD in clinical trials. Conclusions: Self-report questionnaires showed good validity and reliability in screening and monitoring symptoms.",5
153107,"https://www.archivespp.pl/Social-functioning-in-first-episode-schizophrenia-1-year-follow-up-study,153107,0,2.html","https://www.archivespp.pl/Issue-2-2005,11553",2/2005 vol. 7,archive,2005,7,2,Social functioning in first-episode schizophrenia: 1-year follow-up study,Krystyna Gorna | Krystyna Jaracz | Filip Rybakowski,Arch Psych Psych 2005;7(2):5-19,5-19,,https://www.archivespp.pl/pdf-153107-77764?filename=Social-functioning-in-fir.pdf,,,,,,,"The aim of the study was to compare social functioning of first-admitted schizophrenic patients with healthy controls and evaluate the influence of different variables on social abilities of patients, I month after hospitalization (T1) and in I year follow-up (T2). A group of 86 schizophrenic patients: 52 male and 34 female; age 25.5; +/- 5.8 and a control group of matched 52 male and 34 female subjects were enrolled. Social Functioning Scale (SFS), Positive and Negative Syndrome Scale (PANSS), Global Assessment Scale (GAS) and demographic questionnaire were used. In both T1 and T2 we found similar levels of SFS score in patients (T1-103.7; T2-105.5), significantly lower than in healthy controls 117.0 (range 98.6-130.1) (p<0.001). In longitudinal analysis, better pre-admission functioning was associated with improvement of Independence Performance. In cross-sectional analysis, better social functioning was associated with the female sex, higher but not academic education, activity before admission, and better functioning in pre-admission period. In regression analyses (the 5-dimensional model of schizophrenia) T1 SFS was explained by negative (39%) and 1% with hpositive symptoms. In T2 SFS only negative symptoms explained social functioning (36%). Social functioning in schizophrenia is disturbed from the onset of the disease and is influenced mainly by current negative symptoms. The protective effect of female sex, higher education and pre-admission functioning can be observed.",4
153108,"https://www.archivespp.pl/Coping-with-stress-in-subjects-who-have-experienced-a-traumatic-situation,153108,0,2.html","https://www.archivespp.pl/Issue-2-2005,11553",2/2005 vol. 7,archive,2005,7,2,Coping with stress in subjects who have experienced a traumatic situation,Boguslaw Borys | Mikolaj Majkowicz,Arch Psych Psych 2005;7(2):21-27,21-27,,https://www.archivespp.pl/pdf-153108-77765?filename=Coping-with-stress-in-sub.pdf,,,,,,,"Does the traumatic experience influence the choice of a particular coping style? If yes, which style is preferred by those who experienced trauma? Answering these two essential questions is the aim of this paper: The authors have accepted the assumption (Holman, Silver), that the individuals who experienced trauma prefer past temporal orientation and they present a higher level of distress. The authors investigated two groups. The experimental group consisted of 46 victims of the Gdansk Shipyard concert hall fire. The control group comprised the 41 individuals who never experienced any trauma. Two psychological methods were used. CISS - Endler and Parker, which measures coping styles, as well as the STAI - Spielberger and al., which was the second method applied, measuring the level of anxiety as an essential distress indicator: The results show, that individuals who experienced trauma, presented a significantly higher level of anxiety and that the victims of trauma prefer the emotional coping style. The difference between the groups is statistically significant. There is also an indirect conclusion (based on these results), which confirms the above mentioned assumption.",2
153109,"https://www.archivespp.pl/Posttraumatic-stress-disorder-PTSD-as-a-result-of-the-1997-flood-incidence-and-clinical,153109,0,2.html","https://www.archivespp.pl/Issue-2-2005,11553",2/2005 vol. 7,archive,2005,7,2,Posttraumatic stress disorder (PTSD) as a result of the 1997 flood - incidence and clinical picture,Agnieszka Stepien | Tomasz Hadrys | Monika Kantorska-Janiec,Arch Psych Psych 2005;7(2):29-39,29-39,,https://www.archivespp.pl/pdf-153109-77766?filename=Posttraumatic-stress-diso.pdf,,,,,,,"In this paper the incidence and the course of flood-related PTSD in the rural population of the southwest part of Poland will be presented. To serve this purpose, four villages located in the Nysa Klodzka basin were chosen. In 1997 these locations were devastated by the disaster unexpectedly and in considerable degree. The study included 97 eyewitnesses of the flood who had never had any need to seek psychiatric help before the disaster and who had not reported any other significant stressful life events which could have been accounted for the PTSD. The intensity, risk and duration of trauma for all subjects were the same. None had received any psychological or psychiatric support after the flood. The examination took place 60-63 months after the event and was conducted by one trained psychiatrist at the homes of those affected after prior phone appointment. The interview was based on the Composite International Diagnostic Interview (CIDI), section A (sociodemographic data) and section N (PTSD symptoms). PTSD was diagnosed in 30.9% of those interviewed. Individuals displaying PTSD symptoms were mainly unemployed (39.2% of unemployed individuals had PTSD), with low educational level (42.9% of subjects with primary education had PTSD) and older. Men were more often affected (39.5%) than women (25.4%) and it proved to be associated with their low level of education and poverty. In 15.5% of those interviewed fully developed PTSD was still present 60-63 months after the flood. The characteristics and patterns of PTSD occurrence observed in the examined population are in concordance with world literature. Low level of education and low economic status of men could account for the high rate of PTSD diagnosis in this group rather than in women. None of the examined subjects confirmed having had short-lasting (less than a month) symptoms which precluded the diagnosis of acute stress reaction. This was probably due to the durability of the devastation caused by the flood and prolonged exposure to a chronic stressor",3
153110,"https://www.archivespp.pl/Statistic-analysis-of-the-neurotic-symptom-dynamics-during-intensive-psychotherapy,153110,0,2.html","https://www.archivespp.pl/Issue-2-2005,11553",2/2005 vol. 7,archive,2005,7,2,Statistic analysis of the neurotic symptom dynamics during intensive psychotherapy in a day hospital setting,Jerzy A. Sobanski,Arch Psych Psych 2005;7(2):41-50,41-50,,https://www.archivespp.pl/pdf-153110-77767?filename=Statistic-analysis-of-the.pdf,,,,,,,"Aim: Analysis of the global neurotic symptom dynamics during intensive integrative psychotherapy in a day-hospital setting, and its relation to the treatment outcome. Method: 4345 symptom check-lists SCL 0, filled in by 319 patients treated in the. ears 1990 1998 were analysed. The studied group consisted of 235 women and 84 men stiff ring from somatization disorders, generalized anxiety disorder and dissociative disorders. Results: In groups of patients with different therapy outcome, different types of sequential changes of global symptom level (GSL) were observed. Some phenomena like for example unchanged symptom level (plateau) lasting for a few weeks, occurred with different frequency - related to the final therapy outcome. Decrease of the global symptom level below 200 points in women and 165 points in men often preceded global symptom exacerbation and occurred even in therapies with non-beneficial final results. Conclusion: Some aspects of the global neurotic symptom dynamics may be treated as additional markers of beneficial or non-beneficial therapy processes. Sequences of symptom decreases, as well as sequences of short increases were connected to better final results. weekly measurements of the symptom level (with the use of checklists) may be useful for monitoring the psychotherapy process, but the decrease of the GSL to the values typical for the healthy population does not permit one to consider a patient as a cured one. Even decrease of GSL below 100 (women) / 82 ( men) points was not always connected to its further stability.",3
153111,"https://www.archivespp.pl/Sparteine-oxidation-rate-in-alcohol-dependent-patients,153111,0,2.html","https://www.archivespp.pl/Issue-2-2005,11553",2/2005 vol. 7,archive,2005,7,2,Sparteine oxidation rate in alcohol dependent patients,Iwona Chlebowska | Jan Aleksander Beszlej | Andrzej Kiejna,Arch Psych Psych 2005;7(2):51-57,51-57,,https://www.archivespp.pl/pdf-153111-77769?filename=Sparteine-oxidation-rate-.pdf,,,,,,,"Aim of the study: Assessment of the CYP2D6 isoenzyme activity: in alcohol dependent patients based on sparteine oxidation rate. Material and methods: Oxidation rate of sparteine was examined in a group of 102 patients with diagnosis of alcohol dependence and has been compared with a control group consisting of 160 volunteers. The assessment of oxidation rate of sparteine was carried out during the withdrawal syndrome. Results: Among the patients, 97.1% were classified as extensive metabolisers (phenotype EM) and 2.9% as poor metabolisers (phenotpe PM). There was no statistically significant difference in proportions of EM's and PM's subgroups between patients and the controls. Signiicant differences were observed in the distributions of sparteine metabolic oxidation ratio (MR); a higher oxidation rate was noted in the studied group, in comparison with the controls. The length of the dependence period does not have an (effect on the MR values. Conclusion: Patients who are in the midst of the alcohol withdrawal syndrome do not have a defected process of oxidation in the presence of CYP2D6 and as a result of this parameter; there is no need to reduce the dosage of drugs metabolized by this enzyme.",4
153112,"https://www.archivespp.pl/New-aspects-of-Freud-s-concept-of-the-death-instinct,153112,0,2.html","https://www.archivespp.pl/Issue-2-2005,11553",2/2005 vol. 7,archive,2005,7,2,New aspects of Freud's concept of the death instinct,Astrid Thome,Arch Psych Psych 2005;7(2):59-64,59-64,,https://www.archivespp.pl/pdf-153112-77770?filename=New-aspects-of-Freuds-con.pdf,,,,,,,"In public and also often in discussions of the human sciences concerning violence a tendency prevails to refer to Freud's concept of the death instinct which ontologizes man's destructiveness. This paper argues against the assumptions of the genuine destructive nature of man by taking into account new neurophysiologic research on how violence influences the functioning of the brain. The basic principles of Freud's death instinct repetition compulsion and the nirvana principle become thus understandable as dysfunctional reactions of the brain, i.e. an inner physiological response to violence and neglect in early childhood.",4
153113,"https://www.archivespp.pl/The-influence-of-Antoni-Kepinski-s-ideas-on-Jozef-Tischner-s-philosophy-and-its-psychiatric,153113,0,2.html","https://www.archivespp.pl/Issue-2-2005,11553",2/2005 vol. 7,archive,2005,7,2,The influence of Antoni Kepinski's ideas on Jozef Tischner's philosophy and its psychiatric implications,Andrzej Kokoszka,Arch Psych Psych 2005;7(2):65-75,65-75,,https://www.archivespp.pl/pdf-153113-77771?filename=The-influence-of-Antoni-K.pdf,,,,,,,"Some issues of the philosophy of Jozef Tischner, who died in 2000, were inspired by psychiatric works of Antoni Kepinski. They are presented and discussed in this paper and include: recognition of experience of other men, phenomenon of hideout, phenomenon of the mask, relation of power; society of dialogue, salvation dialogue. The opinions of Tischner on psychotherapy according to Kepinski are reviewed. The phenomenological description of value experience by Tischner was an inspiration for the concept of corrective experience of values, which is discussed.",2
172133,"https://www.archivespp.pl/Dialectical-Behavior-Therapy-in-the-Treatment-of-Trauma,172133,0,2.html","https://www.archivespp.pl/Issue-2-2005,11553",2/2005 vol. 7,archive,2024,26,1,Dialectical Behavior Therapy in the Treatment of Trauma,Sylwia Natalia Michałowska | Magdalena Chęć,Arch Psych Psych 2024;26(1):26-32,26-32,10.12740/APP/172133,https://www.archivespp.pl/pdf-172133-107631?filename=Dialectical-Behavior-Ther.pdf,2024-04-01,2024-04-03,2023-08-09,2023-09-11,,Psychotherapy,"The study aims to introduce Dialectical Behavior Therapy (DBT) as a viable approach to treating post-traumatic stress disorder (PTSD), as well as its comorbidity with borderline personality disorder (BPD). The paper refers to current studies conducted between 2017 and 2023 relating to DBT's efficacy in managing complex and relational early childhood trauma, including sexual abuse and violence. Analyses indicate that DBT helps to reduce PTSD symptoms in various age groups. An integrative approach, which combines DBT and methods such as Cognitive Behavioral Therapy (CBT), Cognitive Processing Therapy (CPT), or Eye Movement Desensitization and Reprocessing (EMDR), appears to enhance therapeutic effects. Therefore, it is recommended to implement programs based on DBT and evaluate their effectiveness in a group of Polish patients who have co-occurring symptoms of PTSD and BPD or PTSD alone.",4
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html","https://www.archivespp.pl/Issue-2-2005,11553",2/2005 vol. 7,archive,2026,28,1,Editorial,Joanna Rymaszewska,Arch Psych Psych 2026;28(1):5-6,5-6,10.12740/APP/219867,https://www.archivespp.pl/pdf-219867-138448?filename=Editorial.pdf,2026-04-13,2026-04-13,2026-03-22,2026-03-22,editorial,Hypnosis,"Editorial The papers gathered in this issue offer a timely and nuanced perspective on the evolving landscape of mental health research. Although they address a wide range of clinical and psychosocial phenomena, they are united by a shared commitment to understanding psychological functioning in its full complexity — not as a set of isolated symptoms, but as an experience shaped by the interplay of biology, personality, relationships, and social context. Editorial The papers gathered in this issue offer a timely and nuanced perspective on the evolving landscape of mental health research. Although they address a wide range of clinical and psychosocial phenomena, they are united by a shared commitment to understanding psychological functioning in its full complexity — not as a set of isolated symptoms, but as an experience shaped by the interplay of biology, personality, relationships, and social context.",3
170132,"https://www.archivespp.pl/Five-reasons-why-a-conversational-artificial-intelligence-cannot-be-treated-as-a,170132,0,2.html","https://www.archivespp.pl/Issue-2-2005,11553",2/2005 vol. 7,archive,2023,25,4,Five reasons why a conversational artificial intelligence cannot be treated as a moral agent in psychotherapy,Marcin Paweł Ferdynus,Arch Psych Psych 2023;25(4):26-29,26-29,10.12740/APP/170132,https://www.archivespp.pl/pdf-170132-97753?filename=Five-reasons-why-a-conver.pdf,2023-12-17,2023-12-17,2023-04-02,2023-07-28,,Psychotherapy,"Sedlakova and Trachsel present an analysis regarding the evaluation of a new therapeutic technology, namely conversational artificial intelligence (CAI) in psychotherapy. They suggest that CAI cannot be treated as an equal partner in the therapeutic conversation, because it is not a moral agent. I agree that CAI is not a moral agent. However, I believe that CAI lacks at least five basic attributes or abilities (phenomenal consciousness, intentionality, ethical reflection, prudence, conscience) that would allow it to be defined as a moral agent. It seems that the ethical assessment of the possibilities, limitations, benefits and risks associated with the use of CAI in psychotherapy requires a determination of what CAI is in its moral nature. In this paper, I attempt to show that CAI is devoid of essential moral elements and hence cannot be treated as a moral agent.",3
