keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag
adoptive family research methodology,adoptive family research methodology,adoptive rodzina badania methodology,app_sem_0028,no_semantic_change,token_partial_review,medium,translation_review
adult assessment,adult assessment,dorosły assessment,app_sem_0029,no_semantic_change,token_partial_review,medium,translation_review
adult attention deficit hyperactivity disorder,adult attention deficit hyperactivity disorder,dorosły attention deficit hyperactivity zaburzenie,app_sem_0030,no_semantic_change,token_partial_review,medium,translation_review
adult children of alcoholics,adult children of alcoholics,dorosły dzieci of alcoholics,app_sem_0031,no_semantic_change,token_partial_review,medium,translation_review
adulthood,adulthood,dorosłość,app_sem_0032,no_semantic_change,glossary_exact,high,ok
adults,adults,dorośli,app_sem_0033,no_semantic_change,glossary_exact,high,ok
adverse effect,adverse effect,adverse effect,app_sem_0034,no_semantic_change,untranslated_review,low,translation_review
adverse events,adverse events,zdarzenia niepożądane,app_sem_0035,no_semantic_change,glossary_exact,high,ok
aerobic exercise,aerobic exercise,aerobic exercise,app_sem_0036,no_semantic_change,untranslated_review,low,translation_review
affect phobia model,affect phobia model,affect phobia model,app_sem_0037,no_semantic_change,untranslated_review,low,translation_review
affect regulation training,affect regulation training,affect regulacja training,app_sem_0038,no_semantic_change,token_partial_review,medium,translation_review
affective,affective,afektywny,app_sem_0039,no_semantic_change,token_full,high,ok
affective disorder,affective disorder,zaburzenie afektywne,app_sem_0040,no_semantic_change,glossary_exact,high,ok
affective disorders,affective disorder,zaburzenie afektywne,app_sem_0040,plural_to_concept:affective disorders->affective disorder,glossary_exact,high,semantic_merge_audit
affective temperaments,affective temperaments,afektywny temperaments,app_sem_0041,no_semantic_change,token_partial_review,medium,translation_review
affirming compulsions,affirming compulsions,affirming compulsions,app_sem_0042,no_semantic_change,untranslated_review,low,translation_review
agenesis of carpos callosum,agenesis of carpos callosum,agenesis of carpos callosum,app_sem_0043,no_semantic_change,untranslated_review,low,translation_review
aggression,aggression,agresja,app_sem_0044,no_semantic_change,glossary_exact,high,ok
agoraphobia,agoraphobia,agorafobia,app_sem_0045,no_semantic_change,glossary_exact,high,ok
agoraphobia with panic attacks,agoraphobia with panic attacks,agoraphobia with panic attacks,app_sem_0046,no_semantic_change,untranslated_review,low,translation_review
aids,aids,AIDS,app_sem_0047,no_semantic_change,glossary_exact,high,ok
alcohol,alcohol,alkohol,app_sem_0048,no_semantic_change,glossary_exact,high,ok
alcohol abuse,alcohol abuse,nadużywanie alkoholu,app_sem_0049,no_semantic_change,glossary_exact,high,ok
alcohol addiction,alcohol addiction,alkohol uzależnienie,app_sem_0050,no_semantic_change,token_full,high,ok
alcohol consumption,alcohol consumption,alkohol consumption,app_sem_0051,no_semantic_change,token_partial_review,medium,translation_review
alcohol dependence,alcohol dependence,uzależnienie od alkoholu,app_sem_0052,no_semantic_change,glossary_exact,high,ok
alcohol psychosis,alcohol psychosis,alkohol psychosis,app_sem_0053,no_semantic_change,token_partial_review,medium,translation_review
alcohol use disorder,alcohol use disorder,zaburzenie używania alkoholu,app_sem_0054,no_semantic_change,glossary_exact,high,ok
alcohol use disorders,alcohol use disorder,zaburzenie używania alkoholu,app_sem_0054,plural_to_concept:alcohol use disorders->alcohol use disorder,glossary_exact,high,semantic_merge_audit
alcohol withdrawal syndrome,alcohol withdrawal syndrome,alkohol withdrawal zespół,app_sem_0055,no_semantic_change,token_partial_review,medium,translation_review
alcohol-addiction,alcohol-addiction,alkohol-uzależnienie,app_sem_0056,no_semantic_change,token_full,high,ok
alcohol-exposed pregnancy,alcohol-exposed pregnancy,alkohol-exposed pregnancy,app_sem_0057,no_semantic_change,token_partial_review,medium,translation_review
alcoholic extract,alcoholic extract,alcoholic extract,app_sem_0058,no_semantic_change,untranslated_review,low,translation_review
alcoholism,alcoholism,alkoholizm,app_sem_0059,no_semantic_change,glossary_exact,high,ok
alcoholism morbidity rate,alcoholism morbidity rate,alcoholism morbidity rate,app_sem_0060,no_semantic_change,untranslated_review,low,translation_review
alexithymia,alexithymia,aleksytymia,app_sem_0061,no_semantic_change,glossary_exact,high,ok
allience,allience,allience,app_sem_0062,no_semantic_change,untranslated_review,low,translation_review
alter ego,alter ego,alter ego,app_sem_0063,no_semantic_change,untranslated_review,low,translation_review
alzheimer's disease,alzheimer's disease,choroba Alzheimera,app_sem_0064,no_semantic_change,glossary_exact,high,ok
american psychiatric association,american psychiatric association,american psychiatryczny association,app_sem_0065,no_semantic_change,token_partial_review,medium,translation_review
amnesia,amnesia,amnesia,app_sem_0066,no_semantic_change,untranslated_review,low,translation_review
amyloid,amyloid,amyloid,app_sem_0067,no_semantic_change,untranslated_review,low,translation_review
analgesic suggestion,analgesic suggestion,analgesic suggestion,app_sem_0068,no_semantic_change,untranslated_review,low,translation_review
anesthesia,anesthesia,anesthesia,app_sem_0069,no_semantic_change,untranslated_review,low,translation_review
anger control,anger control,kontrola złości,app_sem_0070,no_semantic_change,glossary_exact,high,ok
anger expression,anger expression,ekspresja złości,app_sem_0071,no_semantic_change,glossary_exact,high,ok
anhedonia change,anhedonia change,anhedonia change,app_sem_0072,no_semantic_change,untranslated_review,low,translation_review
anhedonia intensity,anhedonia intensity,anhedonia intensity,app_sem_0073,no_semantic_change,untranslated_review,low,translation_review
animal model,animal model,animal model,app_sem_0074,no_semantic_change,untranslated_review,low,translation_review
anomia,anomia,anomia,app_sem_0075,no_semantic_change,untranslated_review,low,translation_review
anorexia,anorexia,anoreksja,app_sem_0076,no_semantic_change,glossary_exact,high,ok
anorexia nervosa,anorexia nervosa,jadłowstręt psychiczny,app_sem_0077,no_semantic_change,glossary_exact,high,ok
anti-n methyl-d-aspartate receptor antibodies,anti-n methyl-d-aspartate receptor antibodies,anti-n methyl-d-aspartate receptor antibodies,app_sem_0078,no_semantic_change,untranslated_review,low,translation_review
anti-semitism,anti-semitism,anti-semitism,app_sem_0079,no_semantic_change,untranslated_review,low,translation_review
anti-stigma campaign,anti-stigma campaign,anti-stygmatyzacja campaign,app_sem_0080,no_semantic_change,token_partial_review,medium,translation_review
anticipated and experienced stigma,anticipated and experienced stigma,anticipated and experienced stygmatyzacja,app_sem_0081,no_semantic_change,token_partial_review,medium,translation_review
antidepressant,antidepressant,lek przeciwdepresyjny,app_sem_0082,no_semantic_change,glossary_exact,high,ok
antioxidants,antioxidants,antioxidants,app_sem_0083,no_semantic_change,untranslated_review,low,translation_review
antipshychotics,antipsychotic,lek przeciwpsychotyczny,app_sem_0084,exact_map:antipshychotics->antipsychotic,glossary_exact,high,semantic_merge_audit
antipsychotic,antipsychotic,lek przeciwpsychotyczny,app_sem_0084,no_semantic_change,glossary_exact,high,ok
antipsychotic agents,antipsychotic agents,lek przeciwpsychotyczny agents,app_sem_0085,no_semantic_change,token_partial_review,medium,translation_review
antipsychotics,antipsychotic,lek przeciwpsychotyczny,app_sem_0084,exact_map:antipsychotics->antipsychotic,glossary_exact,high,semantic_merge_audit
antisocial disorders,antisocial disorder,antisocial zaburzenie,app_sem_0086,plural_to_concept:antisocial disorders->antisocial disorder,token_partial_review,medium,translation_review|semantic_merge_audit
antisocial personality disorder/borderline personality disorder,antisocial personality disorder/borderline personality disorder,antisocial zaburzenie osobowości/borderline zaburzenie osobowości,app_sem_0087,no_semantic_change,token_partial_review,medium,translation_review
anxiety,anxiety,lęk,app_sem_0088,no_semantic_change,glossary_exact,high,ok
anxiety and depressive disorders,anxiety and depressive disorder,lęk and zaburzenie depresyjne,app_sem_0089,plural_to_concept:anxiety and depressive disorders->anxiety and depressive disorder,token_partial_review,medium,translation_review|semantic_merge_audit
anxiety disorder,anxiety disorder,zaburzenie lękowe,app_sem_0090,no_semantic_change,glossary_exact,high,ok
anxiety disorders,anxiety disorder,zaburzenie lękowe,app_sem_0090,plural_to_concept:anxiety disorders->anxiety disorder,glossary_exact,high,semantic_merge_audit
anxiety paradoxical effects,anxiety paradoxical effects,lęk paradoxical effects,app_sem_0091,no_semantic_change,token_partial_review,medium,translation_review
anxiety sensitivity,anxiety sensitivity,lęk sensitivity,app_sem_0092,no_semantic_change,token_partial_review,medium,translation_review
apoliprotein e,apoliprotein e,apoliprotein e,app_sem_0093,no_semantic_change,untranslated_review,low,translation_review
appearance orientation,appearance orientation,appearance orientation,app_sem_0094,no_semantic_change,untranslated_review,low,translation_review
applicants,applicants,applicants,app_sem_0095,no_semantic_change,untranslated_review,low,translation_review
archetype,archetype,archetype,app_sem_0096,no_semantic_change,untranslated_review,low,translation_review
archive,archive,archive,app_sem_0097,no_semantic_change,untranslated_review,low,translation_review
argentine tango,argentine tango,argentine tango,app_sem_0098,no_semantic_change,untranslated_review,low,translation_review
aripiprazole,aripiprazole,aripiprazole,app_sem_0099,no_semantic_change,untranslated_review,low,translation_review
arnold chiari malformation,arnold chiari malformation,arnold chiari malformation,app_sem_0100,no_semantic_change,untranslated_review,low,translation_review
arrival,arrival,przyjazd,app_sem_0101,no_semantic_change,glossary_exact,high,ok
arterial stiffness,arterial stiffness,arterial stiffness,app_sem_0102,no_semantic_change,untranslated_review,low,translation_review
arts psychotherapies,arts psychotherapies,arts psychotherapies,app_sem_0103,no_semantic_change,untranslated_review,low,translation_review
arts psychotherapy,arts psychotherapy,arts psychoterapia,app_sem_0104,no_semantic_change,token_partial_review,medium,translation_review
aspirin-induced asthma,aspirin-induced asthma,aspirin-induced asthma,app_sem_0105,no_semantic_change,untranslated_review,low,translation_review
asrq,asrq,asrq,app_sem_0106,no_semantic_change,untranslated_review,low,translation_review
assertiveness,assertiveness,assertiveness,app_sem_0107,no_semantic_change,untranslated_review,low,translation_review
assessment,assessment,ocena,app_sem_0108,no_semantic_change,glossary_exact,high,ok
association,association,association,app_sem_0109,no_semantic_change,untranslated_review,low,translation_review
asthma,asthma,astma,app_sem_0110,no_semantic_change,glossary_exact,high,ok
asthma severity,asthma severity,asthma severity,app_sem_0111,no_semantic_change,untranslated_review,low,translation_review
athletic ideal,athletic ideal,athletic ideal,app_sem_0112,no_semantic_change,untranslated_review,low,translation_review
atopic dermatitis,atopic dermatitis,atopic dermatitis,app_sem_0113,no_semantic_change,untranslated_review,low,translation_review
atos,atos,atos,app_sem_0114,no_semantic_change,untranslated_review,low,translation_review
attachment,attachment,przywiązanie,app_sem_0115,no_semantic_change,glossary_exact,high,ok
attachment style,attachment style,styl przywiązania,app_sem_0116,no_semantic_change,glossary_exact,high,ok
attachment theory,attachment theory,teoria przywiązania,app_sem_0117,no_semantic_change,glossary_exact,high,ok
attempted suicide,attempted suicide,attempted samobójstwo,app_sem_0118,no_semantic_change,token_partial_review,medium,translation_review
attenuation of pair bonding,attenuation of pair bonding,attenuation of pair bonding,app_sem_0119,no_semantic_change,untranslated_review,low,translation_review
attitude,attitude,postawa,app_sem_0120,no_semantic_change,glossary_exact,high,ok
attitude measurement,attitude measurement,postawa measurement,app_sem_0121,no_semantic_change,token_partial_review,medium,translation_review
attitude scale,attitude scale,postawa skala,app_sem_0122,no_semantic_change,token_full,high,ok
attitudes,attitudes,postawy,app_sem_0123,no_semantic_change,token_full,high,ok
attitudes towards the body and eating,attitudes towards the body and eating,postawy towards the ciało and jedzenie,app_sem_0124,no_semantic_change,token_partial_review,medium,translation_review
atypical gender identity development,atypical gender identity development,atypical płeć identity development,app_sem_0125,no_semantic_change,token_partial_review,medium,translation_review
audit,audit,audit,app_sem_0126,no_semantic_change,untranslated_review,low,translation_review
auditory hallucinations,auditory hallucinations,auditory hallucinations,app_sem_0127,no_semantic_change,untranslated_review,low,translation_review
augmentation,augmentation,augmentation,app_sem_0128,no_semantic_change,untranslated_review,low,translation_review
author's memories,author's memories,author's memories,app_sem_0129,no_semantic_change,untranslated_review,low,translation_review
authors index,authors index,authors index,app_sem_0130,no_semantic_change,untranslated_review,low,translation_review
autism,autism,autyzm,app_sem_0131,no_semantic_change,glossary_exact,high,ok
autism spectrum,autism spectrum,autism spectrum,app_sem_0132,no_semantic_change,untranslated_review,low,translation_review
autism spectrum disorders,autism spectrum disorder,zaburzenie ze spektrum autyzmu,app_sem_0133,plural_to_concept:autism spectrum disorders->autism spectrum disorder,glossary_exact,high,semantic_merge_audit
autism_,autism_,autism_,app_sem_0134,no_semantic_change,untranslated_review,low,translation_review
auto-amputation,auto-amputation,auto-amputation,app_sem_0135,no_semantic_change,untranslated_review,low,translation_review
autoaggresion,autoaggresion,autoaggresion,app_sem_0136,no_semantic_change,untranslated_review,low,translation_review
autocreation,autocreation,autocreation,app_sem_0137,no_semantic_change,untranslated_review,low,translation_review
autoimmune disease,autoimmune disease,autoimmune choroba,app_sem_0138,no_semantic_change,token_partial_review,medium,translation_review
autoimmune encephalitis,autoimmune encephalitis,autoimmune encephalitis,app_sem_0139,no_semantic_change,untranslated_review,low,translation_review
automatic action,automatic action,automatic action,app_sem_0140,no_semantic_change,untranslated_review,low,translation_review
automatic thought,automatic thought,automatic thought,app_sem_0141,no_semantic_change,untranslated_review,low,translation_review
autonomous motivation,autonomous motivation,autonomous motivation,app_sem_0142,no_semantic_change,untranslated_review,low,translation_review
autonomy,autonomy,autonomia,app_sem_0143,no_semantic_change,glossary_exact,high,ok
balint group,balint group,grupa Balinta,app_sem_0144,no_semantic_change,glossary_exact,high,ok
balint groups,balint group,grupa Balinta,app_sem_0144,plural_to_concept:balint groups->balint group,glossary_exact,high,semantic_merge_audit
behavioral addictions,behavioral addictions,behawioralny addictions,app_sem_0145,no_semantic_change,token_partial_review,medium,translation_review
behaviorism,behaviorism,behaviorism,app_sem_0146,no_semantic_change,untranslated_review,low,translation_review
bentus,bentus,bentus,app_sem_0147,no_semantic_change,untranslated_review,low,translation_review
bert hellinger,bert hellinger,bert hellinger,app_sem_0148,no_semantic_change,untranslated_review,low,translation_review
bifactor model,bifactor model,bifactor model,app_sem_0149,no_semantic_change,untranslated_review,low,translation_review
big five,big five,big five,app_sem_0150,no_semantic_change,untranslated_review,low,translation_review
biid,biid,biid,app_sem_0151,no_semantic_change,untranslated_review,low,translation_review
binge eating disorder (bed),binge eating disorder (bed),binge eating disorder (bed),app_sem_0152,no_semantic_change,untranslated_review,low,translation_review
binging,binging,binging,app_sem_0153,no_semantic_change,untranslated_review,low,translation_review
bioactive compounds,bioactive compounds,bioactive compounds,app_sem_0154,no_semantic_change,untranslated_review,low,translation_review
bioelectrical impedance analysis,bioelectrical impedance analysis,bioelectrical impedance analysis,app_sem_0155,no_semantic_change,untranslated_review,low,translation_review
bioethics,bioethics,bioethics,app_sem_0156,no_semantic_change,untranslated_review,low,translation_review
biographic traumata,biographic traumata,biographic traumata,app_sem_0157,no_semantic_change,untranslated_review,low,translation_review
biographical narration,biographical narration,biographical narration,app_sem_0158,no_semantic_change,untranslated_review,low,translation_review
biography,biography,biography,app_sem_0159,no_semantic_change,untranslated_review,low,translation_review
bion's theory,bion's theory,bion's theory,app_sem_0160,no_semantic_change,untranslated_review,low,translation_review
biopsychosocial,biopsychosocial,biopsychospołeczny,app_sem_0161,no_semantic_change,glossary_exact,high,ok
bipolar affective disorder,bipolar affective disorder,dwubiegunowy afektywny zaburzenie,app_sem_0162,no_semantic_change,token_full,high,ok
bipolar affective illness,bipolar affective illness,dwubiegunowy afektywny illness,app_sem_0163,no_semantic_change,token_partial_review,medium,translation_review
bipolar disorder,bipolar disorder,zaburzenie afektywne dwubiegunowe,app_sem_0164,no_semantic_change,glossary_exact,high,ok
bipolar disorders,bipolar disorder,zaburzenie afektywne dwubiegunowe,app_sem_0164,plural_to_concept:bipolar disorders->bipolar disorder,glossary_exact,high,semantic_merge_audit
bipolar mood disorders,bipolar mood disorder,dwubiegunowy mood zaburzenie,app_sem_0165,plural_to_concept:bipolar mood disorders->bipolar mood disorder,token_partial_review,medium,translation_review|semantic_merge_audit
bipolar spectrum,bipolar spectrum,dwubiegunowy spectrum,app_sem_0166,no_semantic_change,token_partial_review,medium,translation_review
birding,birding,birding,app_sem_0167,no_semantic_change,untranslated_review,low,translation_review
bisexual men,bisexual men,bisexual mężczyźni,app_sem_0168,no_semantic_change,token_partial_review,medium,translation_review
bisexuality,bisexuality,bisexuality,app_sem_0169,no_semantic_change,untranslated_review,low,translation_review
bleeding,bleeding,bleeding,app_sem_0170,no_semantic_change,untranslated_review,low,translation_review
blindness,blindness,blindness,app_sem_0171,no_semantic_change,untranslated_review,low,translation_review
blood,blood,blood,app_sem_0172,no_semantic_change,untranslated_review,low,translation_review
body attitude test,body attitude test,ciało postawa test,app_sem_0174,no_semantic_change,token_partial_review,medium,translation_review
body attitudes,body attitude,ciało postawa,app_sem_0173,plural_to_concept:body attitudes->body attitude,token_full,high,semantic_merge_audit
body composition,body composition,skład ciała,app_sem_0175,no_semantic_change,glossary_exact,high,ok
body dissatisfaction,body dissatisfaction,niezadowolenie z ciała,app_sem_0176,no_semantic_change,glossary_exact,high,ok
body esteem,body esteem,ciało samoocena,app_sem_0177,no_semantic_change,token_full,high,ok
body image,body image,obraz ciała,app_sem_0178,no_semantic_change,glossary_exact,high,ok
body image concern,body image concern,body image concern,app_sem_0179,no_semantic_change,untranslated_review,low,translation_review
body image disturbance,body image disturbance,obraz ciała zaburzenie,app_sem_0180,no_semantic_change,token_partial_review,medium,translation_review
body image perception,body image perception,body image perception,app_sem_0181,no_semantic_change,untranslated_review,low,translation_review
body mass index,body mass index,wskaźnik masy ciała,app_sem_0182,no_semantic_change,glossary_exact,high,ok
body percept,body percept,ciało percept,app_sem_0183,no_semantic_change,token_partial_review,medium,translation_review
body self,body self,ciało ja,app_sem_0184,no_semantic_change,token_full,high,ok
borderline functioning,borderline functioning,borderline functioning,app_sem_0185,no_semantic_change,token_partial_review,medium,translation_review
borderline patients,borderline patients,borderline patients,app_sem_0186,no_semantic_change,token_partial_review,medium,translation_review
borderline personality disorder,borderline personality disorder,zaburzenie osobowości borderline,app_sem_0187,no_semantic_change,glossary_exact,high,ok
bowen's theory,bowen's theory,bowen's theory,app_sem_0188,no_semantic_change,untranslated_review,low,translation_review
bpd,bpd,bpd,app_sem_0189,no_semantic_change,untranslated_review,low,translation_review
brain-behavioral functions,brain-behavioral function,brain-behawioralny funkcja,app_sem_0190,plural_to_concept:brain-behavioral functions->brain-behavioral function,token_partial_review,medium,translation_review|semantic_merge_audit
brain-derived,brain-derived,brain-derived,app_sem_0191,no_semantic_change,untranslated_review,low,translation_review
brain-derived neurotrophic factor (bdnf) gene,brain-derived neurotrophic factor (bdnf) gene,brain-derived neurotrophic czynnik (bdnf) gene,app_sem_0192,no_semantic_change,token_partial_review,medium,translation_review
brainspotting therapy,brainspotting therapy,brainspotting terapia,app_sem_0193,no_semantic_change,token_partial_review,medium,translation_review
brca gene mutation,brca gene mutation,brca gene mutation,app_sem_0194,no_semantic_change,untranslated_review,low,translation_review
brca1,brca1,BRCA1,app_sem_0195,no_semantic_change,glossary_exact,high,ok
brca2,brca2,brca2,app_sem_0196,no_semantic_change,untranslated_review,low,translation_review
break up,break up,break up,app_sem_0197,no_semantic_change,untranslated_review,low,translation_review
breast cancer,breast cancer,rak piersi,app_sem_0198,no_semantic_change,glossary_exact,high,ok
breast reduction surgery,breast reduction surgery,breast reduction surgery,app_sem_0199,no_semantic_change,untranslated_review,low,translation_review
breastfeeding,breastfeeding,breastfeeding,app_sem_0200,no_semantic_change,untranslated_review,low,translation_review
breastfeeding self-efficacy,breastfeeding self-efficacy,breastfeeding self-efficacy,app_sem_0201,no_semantic_change,untranslated_review,low,translation_review
breath-holding,breath-holding,breath-holding,app_sem_0202,no_semantic_change,untranslated_review,low,translation_review
brief intervention,brief intervention,brief intervention,app_sem_0203,no_semantic_change,untranslated_review,low,translation_review
brief psychotic disorder,brief psychotic disorder,brief psychotic disorder,app_sem_0204,no_semantic_change,untranslated_review,low,translation_review
broken heart,broken heart,broken heart,app_sem_0205,no_semantic_change,untranslated_review,low,translation_review
bulimia,bulimia,bulimia,app_sem_0206,no_semantic_change,glossary_exact,high,ok
bulimia nervosa,bulimia nervosa,żarłoczność psychiczna,app_sem_0207,no_semantic_change,glossary_exact,high,ok
bulling,bulling,bulling,app_sem_0208,no_semantic_change,untranslated_review,low,translation_review
buprenorphine,buprenorphine,buprenorphine,app_sem_0209,no_semantic_change,untranslated_review,low,translation_review
burden,burden,burden,app_sem_0210,no_semantic_change,untranslated_review,low,translation_review
burnout,burnout,wypalenie,app_sem_0211,no_semantic_change,glossary_exact,high,ok
cancer,cancer,nowotwór,app_sem_0212,no_semantic_change,glossary_exact,high,ok
cannabis,cannabis,konopie indyjskie,app_sem_0213,no_semantic_change,glossary_exact,high,ok
capacity,capacity,capacity,app_sem_0214,no_semantic_change,untranslated_review,low,translation_review
caq-clinical analysis questionnaire,caq-clinical analysis questionnaire,caq-clinical analysis kwestionariusz,app_sem_0215,no_semantic_change,token_partial_review,medium,translation_review
car,car,car,app_sem_0216,no_semantic_change,untranslated_review,low,translation_review
cardiac patients,cardiac patients,pacjenci kardiologiczni,app_sem_0217,no_semantic_change,glossary_exact,high,ok
cardiac syndrome x,cardiac syndrome x,cardiac zespół x,app_sem_0218,no_semantic_change,token_partial_review,medium,translation_review
cardiomyopathy,cardiomyopathy,kardiomiopatia,app_sem_0219,no_semantic_change,glossary_exact,high,ok
cardiovascular risk,cardiovascular risk,cardiovascular ryzyko,app_sem_0220,no_semantic_change,token_partial_review,medium,translation_review
care relationship,care relationship,care relacja,app_sem_0221,no_semantic_change,token_partial_review,medium,translation_review
caregiver,caregiver,caregiver,app_sem_0222,no_semantic_change,untranslated_review,low,translation_review
caregivers,caregivers,caregivers,app_sem_0223,no_semantic_change,untranslated_review,low,translation_review
case study,case study,studium przypadku,app_sem_0224,no_semantic_change,glossary_exact,high,ok
catatonia,catatonia,catatonia,app_sem_0225,no_semantic_change,untranslated_review,low,translation_review
caudate nucleus,caudate nucleus,caudate nucleus,app_sem_0226,no_semantic_change,untranslated_review,low,translation_review
cbcl score,cbcl score,cbcl score,app_sem_0227,no_semantic_change,untranslated_review,low,translation_review
cbt,cognitive behavioral therapy,terapia poznawczo-behawioralna,app_sem_0292,exact_map:cbt->cognitive behavioral therapy,glossary_exact,high,semantic_merge_audit
ccrt,ccrt,CCRT,app_sem_0228,no_semantic_change,glossary_exact,high,ok
cerebellar,cerebellar,cerebellar,app_sem_0229,no_semantic_change,untranslated_review,low,translation_review
cerebellum,cerebellum,cerebellum,app_sem_0230,no_semantic_change,untranslated_review,low,translation_review
cerebral and cerebellar atrophy,cerebral and cerebellar atrophy,cerebral and cerebellar atrophy,app_sem_0231,no_semantic_change,untranslated_review,low,translation_review
cftmea,cftmea,cftmea,app_sem_0232,no_semantic_change,untranslated_review,low,translation_review
change,change,change,app_sem_0233,no_semantic_change,untranslated_review,low,translation_review
change in consultation frequency,change in consultation frequency,change in consultation frequency,app_sem_0234,no_semantic_change,untranslated_review,low,translation_review
"changes in inflammatory parameters and antioxidants and their impact on clinical symptoms, including cognitive functions, in patients with schizophrenia-scoping review","changes in inflammatory parameters and antioxidants and their impact on clinical symptoms, including cognitive functions, in patients with schizophrenia-scoping review","changes in inflammatory parameters and antioxidants and their impact on clinical symptoms, including funkcje poznawczes, in patients with schizofrenia-scoping przegląd",app_sem_0235,no_semantic_change,token_partial_review,medium,translation_review
child and adolescent psychiatry,child and adolescent psychiatry,dziecko and adolescent psychiatria,app_sem_0236,no_semantic_change,token_partial_review,medium,translation_review
child depression,child depression,dziecko depresja,app_sem_0237,no_semantic_change,token_full,high,ok
child psychotherapy,child psychotherapy,dziecko psychoterapia,app_sem_0238,no_semantic_change,token_full,high,ok
child temperament,child temperament,dziecko temperament,app_sem_0239,no_semantic_change,token_partial_review,medium,translation_review
child trichotillomania,child trichotillomania,dziecko trichotillomania,app_sem_0240,no_semantic_change,token_partial_review,medium,translation_review
child's wish for a miracle,child's wish for a miracle,child's wish for a miracle,app_sem_0241,no_semantic_change,untranslated_review,low,translation_review
childbearing age women,childbearing age women,childbearing age kobiety,app_sem_0242,no_semantic_change,token_partial_review,medium,translation_review
childbirth,childbirth,childbirth,app_sem_0243,no_semantic_change,untranslated_review,low,translation_review
childhood,childhood,childhood,app_sem_0244,no_semantic_change,untranslated_review,low,translation_review
childhood adversity,childhood adversity,childhood adversity,app_sem_0245,no_semantic_change,untranslated_review,low,translation_review
childhood maltreatment,childhood maltreatment,childhood maltreatment,app_sem_0246,no_semantic_change,untranslated_review,low,translation_review
childhood trauma,childhood trauma,childhood trauma,app_sem_0247,no_semantic_change,token_partial_review,medium,translation_review
childlessness,childlessness,bezdzietność,app_sem_0248,no_semantic_change,glossary_exact,high,ok
children,children,dzieci,app_sem_0249,no_semantic_change,glossary_exact,high,ok
children and adolescents,children and adolescents,dzieci i adolescenci,app_sem_0250,no_semantic_change,glossary_exact,high,ok
children emotional problem,children emotional problem,dzieci emocjonalny problem,app_sem_0251,no_semantic_change,token_partial_review,medium,translation_review
children's rights,children's rights,children's rights,app_sem_0252,no_semantic_change,untranslated_review,low,translation_review
