keyword_concept_en_final,keyword_concept_polish_final,n_records,method,review_flag_3c
phenomenology,phenomenology,2,fallback_untranslated_or_international,ok
physical activity,aktywność fizyczna,2,previous_polish_retained,ok
polish-jewish relations,relacje polsko-żydowskie,2,previous_polish_retained,ok
psychiatric rehabilitation,psychiatryczny rehabilitation,2,fallback_phrase_translation,ok
balint group,balint group,2,fallback_untranslated_or_international,ok
psoriasis,łuszczyca,2,previous_polish_retained,ok
psychiatric ward,oddział psychiatryczny,2,previous_polish_retained,ok
primary school,szkoła podstawowa,2,previous_polish_retained,ok
pregnancy,ciąża,2,previous_polish_retained,ok
prevention,profilaktyka,2,fallback_phrase_translation,ok
police officers,police officers,2,fallback_untranslated_or_international,ok
neuropsychological tests,neuropsychologiczny tests,2,fallback_phrase_translation,ok
neuroticism,neurotyczność,2,previous_polish_retained,ok
neurotic symptom,neurotic objaw,2,fallback_phrase_translation,ok
online,online,2,fallback_untranslated_or_international,ok
philosophy,philosophy,2,fallback_untranslated_or_international,ok
self-criticism,self-criticism,2,fallback_untranslated_or_international,ok
self-compassion,samowspółczucie,2,previous_polish_retained,ok
attachment theory,teoria przywiązania,2,previous_polish_retained,ok
religiousness,religijność,2,previous_polish_retained,ok
resistance,opór,2,previous_polish_retained,ok
residential psychiatric treatment,całodobowe leczenie psychiatryczne,2,previous_polish_retained,ok
psychodermatology,psychodermatology,2,fallback_untranslated_or_international,ok
psychology,psychology,2,fallback_untranslated_or_international,ok
psychological symptom,psychologiczny objaw,2,fallback_phrase_translation,ok
psychometric properties,właściwości psychometryczne,2,previous_polish_retained,ok
self-regulation,self-regulation,2,fallback_untranslated_or_international,ok
type 1 diabetes,type 1 cukrzyca,2,fallback_phrase_translation,ok
suffering,suffering,2,fallback_untranslated_or_international,ok
tardive dyskinesia,dyskineza późna,2,previous_polish_retained,ok
temperamental trait,temperamental trait,2,fallback_untranslated_or_international,ok
anger expression,ekspresja złości,2,previous_polish_retained,ok
transference,transference,2,fallback_untranslated_or_international,ok
anger control,kontrola złości,2,previous_polish_retained,ok
temperament,temperament,2,fallback_untranslated_or_international,ok
social network,sieć społeczna,2,previous_polish_retained,ok
social media,media społecznościowe,2,previous_polish_retained,ok
sociopathy,sociopathy,2,fallback_untranslated_or_international,ok
social disability,niepełnosprawność społeczna,2,previous_polish_retained,ok
stroke,stroke,2,fallback_untranslated_or_international,ok
signal detection,detekcja sygnału,2,previous_polish_retained,ok
short-term,krótkoterminowy,2,previous_polish_retained,ok
type 2 diabetes mellitus,type 2 cukrzyca mellitus,2,fallback_phrase_translation,ok
body composition,skład ciała,2,previous_polish_retained,ok
biopsychosocial,biopsychospołeczny,2,previous_polish_retained,ok
autonomy,autonomia,2,fallback_phrase_translation,ok
relationships,relationships,2,fallback_untranslated_or_international,ok
self-discrepancy,rozbieżność Ja,2,previous_polish_retained,ok
clinical management,postępowanie kliniczne,2,previous_polish_retained,ok
cidi,cidi,2,fallback_untranslated_or_international,strong_review_unresolved_acronym
brca1,brca1,2,fallback_untranslated_or_international,ok
metaphor,metaphor,2,fallback_untranslated_or_international,ok
mentalization,mentalization,2,fallback_untranslated_or_international,ok
methylphenidate,methylphenidate,2,fallback_untranslated_or_international,ok
cardiomyopathy,cardiomyopathy,2,fallback_untranslated_or_international,ok
ccrt,ccrt,2,fallback_untranslated_or_international,strong_review_unresolved_acronym
nature connectedness,więź z naturą,2,previous_polish_retained,ok
neurobiology,neurobiology,2,fallback_untranslated_or_international,ok
myocardial infarction,zawał mięśnia sercowego,2,previous_polish_retained,ok
fibromyalgia syndrome,zespół fibromialgii,2,previous_polish_retained,ok
fear,fear,2,fallback_untranslated_or_international,strong_review_unresolved_acronym
first-episode,first-episode,2,fallback_untranslated_or_international,ok
first-degree relatives,first-degree relatives,2,fallback_untranslated_or_international,ok
flood,powódź,2,previous_polish_retained,ok
from,from,2,fallback_untranslated_or_international,strong_review_unresolved_acronym
functional disorder,functional zaburzenie,2,fallback_phrase_translation,ok
formulation,formułowanie przypadku,2,previous_polish_retained,ok
gut microbiota,gut microbiota,2,fallback_untranslated_or_international,ok
hypertension,nadciśnienie,2,previous_polish_retained,ok
humor style,humor style,2,fallback_untranslated_or_international,ok
hospitalization,hospitalization,2,fallback_untranslated_or_international,ok
history of psychiatry,history of psychiatry,2,fallback_untranslated_or_international,ok
heart rate,częstość akcji serca,2,previous_polish_retained,ok
gut-brain axis,oś jelitowo-mózgowa,2,previous_polish_retained,ok
health behavior,zdrowie behavior,2,fallback_phrase_translation,ok
childlessness,bezdzietność,2,previous_polish_retained,ok
classification,classification,2,fallback_untranslated_or_international,ok
icd-11,icd-11,2,fallback_untranslated_or_international,ok
identity,tożsamość,2,previous_polish_retained,ok
hypnosis,hypnosis,2,fallback_untranslated_or_international,ok
men,mężczyźni,2,previous_polish_retained,ok
medical course,medical course,2,fallback_untranslated_or_international,ok
medical students,medical students,2,fallback_untranslated_or_international,ok
medical personnel,medical personnel,2,fallback_untranslated_or_international,ok
learning,uczenie się,2,previous_polish_retained,ok
integrative model,integrative model,2,fallback_untranslated_or_international,ok
intensive,intensive,2,fallback_untranslated_or_international,ok
impulsivity,impulsywność,2,previous_polish_retained,ok
instagram,instagram,2,fallback_untranslated_or_international,ok
epilepsy,epilepsy,2,fallback_untranslated_or_international,ok
emotions,emocje,2,fallback_phrase_translation,ok
dopamine,dopamine,2,fallback_untranslated_or_international,ok
early maladaptive schemas,early maladaptive schemas,2,fallback_untranslated_or_international,ok
dysfunctional attitude,dysfunctional postawa,2,fallback_phrase_translation,ok
dramatology,dramatology,2,fallback_untranslated_or_international,ok
editors,editors,2,fallback_untranslated_or_international,ok
egosyntonicity,egosyntoniczność,2,previous_polish_retained,ok
eat-26,eat-26,2,fallback_untranslated_or_international,ok
emotional instability,niestabilność emocjonalna,2,previous_polish_retained,ok
epidemic,epidemic,2,fallback_untranslated_or_international,ok
facial emotion,facial emocja,2,fallback_phrase_translation,ok
cognitive control,poznawczy control,2,fallback_phrase_translation,ok
cognitive,poznawczy,2,fallback_phrase_translation,ok
cognitive errors,błędy poznawcze,2,previous_polish_retained,ok
delusion,delusion,2,fallback_untranslated_or_international,ok
conflict,conflict,2,fallback_untranslated_or_international,ok
coronary angioplasty,angioplastyka wieńcowa,2,previous_polish_retained,ok
cprs,cprs,2,fallback_untranslated_or_international,strong_review_unresolved_acronym
curriculum,curriculum,2,fallback_untranslated_or_international,ok
culture,culture,2,fallback_untranslated_or_international,ok
davanloo,davanloo,2,fallback_untranslated_or_international,ok
deportation,deportation,2,fallback_untranslated_or_international,ok
computer-assisted image processing,computer-assisted obraz processing,2,fallback_phrase_translation,ok
deficit,deficit,2,fallback_untranslated_or_international,ok
coronary artery disease,choroba wieńcowa,2,previous_polish_retained,ok
uhr,uhr,2,fallback_untranslated_or_international,strong_review_unresolved_acronym
counseling,counseling,2,fallback_untranslated_or_international,ok
counter-transference,counter-transference,2,fallback_untranslated_or_international,ok
adverse events,zdarzenia niepożądane,2,previous_polish_retained,ok
adherence,adherence,2,fallback_untranslated_or_international,ok
affective disorder,affective zaburzenie,2,fallback_phrase_translation,ok
abuse,nadużycie,2,previous_polish_retained,ok
adaptation,adaptation,2,fallback_untranslated_or_international,ok
zolpidem,zolpidem,1,fallback_untranslated_or_international,ok
5-ht1a receptors,5-ht1a receptors,1,fallback_untranslated_or_international,ok
aa,aa,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
acceptance,acceptance,1,fallback_untranslated_or_international,ok
acceptance and commitment therapy,acceptance and commitment terapia,1,fallback_phrase_translation,ok
acl,acl,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
activity,activity,1,fallback_untranslated_or_international,ok
addicts,addicts,1,fallback_untranslated_or_international,ok
adequacy of perception,adequacy of percepcja,1,fallback_phrase_translation,ok
administrative management,administrative management,1,fallback_untranslated_or_international,ok
arterial stiffness,arterial stiffness,1,fallback_untranslated_or_international,ok
therapeutic relation,therapeutic relation,1,fallback_untranslated_or_international,ok
therapeutics,therapeutics,1,fallback_untranslated_or_international,ok
therapist characteristics,therapist characteristics,1,fallback_untranslated_or_international,ok
therapist credibility,therapist credibility,1,fallback_untranslated_or_international,ok
therapist language,therapist language,1,fallback_untranslated_or_international,ok
therapists,therapists,1,fallback_untranslated_or_international,ok
thin-ideal internalization,thin-ideal internalization,1,fallback_untranslated_or_international,ok
appearance orientation,appearance orientation,1,fallback_untranslated_or_international,ok
applicants,applicants,1,fallback_untranslated_or_international,ok
archetype,archetype,1,fallback_untranslated_or_international,ok
archive,archive,1,fallback_untranslated_or_international,ok
argentine tango,argentine tango,1,fallback_untranslated_or_international,ok
aripiprazole,aripiprazole,1,fallback_untranslated_or_international,ok
arnold chiari malformation,arnold chiari malformation,1,fallback_untranslated_or_international,ok
arrival,arrival,1,fallback_untranslated_or_international,ok
anhedonia intensity,anhedonia intensity,1,fallback_untranslated_or_international,ok
animal model,animal model,1,fallback_untranslated_or_international,ok
anomia,anomia,1,fallback_untranslated_or_international,ok
anti-n methyl-d-aspartate receptor antibodies,anti-n methyl-d-aspartate receptor antibodies,1,fallback_untranslated_or_international,ok
anti-semitism,anti-semitism,1,fallback_untranslated_or_international,ok
antioxidants,antioxidants,1,fallback_untranslated_or_international,ok
antisocial disorder,antisocial zaburzenie,1,fallback_phrase_translation,ok
apoliprotein e,apoliprotein e,1,fallback_untranslated_or_international,ok
allience,allience,1,fallback_untranslated_or_international,ok
alter ego,alter ego,1,fallback_untranslated_or_international,ok
american psychiatric association,american psychiatryczny association,1,fallback_phrase_translation,ok
amnesia,amnesia,1,fallback_untranslated_or_international,ok
amyloid,amyloid,1,fallback_untranslated_or_international,ok
analgesic suggestion,analgesic suggestion,1,fallback_untranslated_or_international,ok
anesthesia,anesthesia,1,fallback_untranslated_or_international,ok
anhedonia change,anhedonia change,1,fallback_untranslated_or_international,ok
creutzfeldt-jakob disease,creutzfeldt-jakob disease,1,fallback_untranslated_or_international,ok
crohn's disease,crohn's disease,1,fallback_untranslated_or_international,ok
cross-cultural study,cross-cultural study,1,fallback_untranslated_or_international,ok
cross-lagged panel analysis,cross-lagged panel analysis,1,fallback_untranslated_or_international,ok
cso,cso,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
cultural differences,cultural differences,1,fallback_untranslated_or_international,ok
cultural social factor,cultural społeczny czynnik,1,previous_polish_retained,ok
cyberchondria,cyberchondria,1,fallback_untranslated_or_international,ok
cost effectiveness,cost skuteczność,1,previous_polish_retained,ok
cost-effectiveness analysis,cost-skuteczność analysis,1,previous_polish_retained,ok
cotard syndrome,cotard zespół,1,previous_polish_retained,ok
couple therapy,couple terapia,1,fallback_phrase_translation,ok
couples therapy,couples terapia,1,fallback_phrase_translation,ok
course,course,1,fallback_untranslated_or_international,ok
course of illness,course of illness,1,fallback_untranslated_or_international,ok
creative thinking,creative thinking,1,fallback_untranslated_or_international,ok
weight loss therapy,weight loss terapia,1,fallback_phrase_translation,ok
white blood cells,white blood cells,1,fallback_untranslated_or_international,ok
coronary diseases,coronary diseases,1,fallback_untranslated_or_international,ok
coronary surgery,coronary surgery,1,fallback_untranslated_or_international,ok
corpus callosum,corpus callosum,1,fallback_untranslated_or_international,ok
corticotropin releasing hormone receptors,corticotropin releasing hormone receptors,1,fallback_untranslated_or_international,ok
cortisol,cortisol,1,fallback_untranslated_or_international,ok
cortisol awakening response,cortisol awakening response,1,fallback_untranslated_or_international,ok
voice signals,voice signals,1,fallback_untranslated_or_international,ok
voluntary and forced migrants,voluntary and forced migrants,1,fallback_untranslated_or_international,ok
waiting list,waiting list,1,fallback_untranslated_or_international,ok
war,war,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
warsaw ghetto uprising,warsaw ghetto uprising,1,fallback_untranslated_or_international,ok
website accessibility,website accessibility,1,fallback_untranslated_or_international,ok
weight gain,weight gain,1,fallback_untranslated_or_international,ok
weight loss,weight loss,1,fallback_untranslated_or_international,ok
determinants of health,determinants of zdrowie,1,fallback_phrase_translation,ok
detoxification,detoxification,1,fallback_untranslated_or_international,ok
development,development,1,fallback_untranslated_or_international,ok
community psychiatry,psychiatria środowiskowa,1,previous_polish_retained,ok
community treatment programme,community leczenie programme,1,fallback_phrase_translation,ok
comparative studies,comparative studies,1,fallback_untranslated_or_international,ok
compassion,compassion,1,fallback_untranslated_or_international,ok
compassion for others,compassion for others,1,fallback_untranslated_or_international,ok
deinstitutionalization,deinstitutionalization,1,fallback_untranslated_or_international,ok
delirium,delirium,1,fallback_untranslated_or_international,ok
delusion-proneness,delusion-proneness,1,fallback_untranslated_or_international,ok
demographic factor,demographic factor,1,fallback_untranslated_or_international,ok
depot formulation,depot formulation,1,fallback_untranslated_or_international,ok
dermatosis,dermatosis,1,fallback_untranslated_or_international,ok
desnos,desnos,1,fallback_untranslated_or_international,ok
detection,detection,1,fallback_untranslated_or_international,ok
day-care ward,day-care ward,1,fallback_untranslated_or_international,ok
death,death,1,fallback_untranslated_or_international,ok
death instinct,death instinct,1,fallback_untranslated_or_international,ok
decision algorithm,decision algorithm,1,fallback_untranslated_or_international,ok
decision-making,decision-making,1,fallback_untranslated_or_international,ok
decision-making capacity,decision-making capacity,1,fallback_untranslated_or_international,ok
defect,defect,1,fallback_untranslated_or_international,ok
defense styles,defense styles,1,fallback_untranslated_or_international,ok
cyberpsychology,cyberpsychology,1,fallback_untranslated_or_international,ok
cyclothymic,cyclothymic,1,fallback_untranslated_or_international,ok
cyp2d,cyp2d,1,fallback_untranslated_or_international,ok
cytokines,cytokines,1,fallback_untranslated_or_international,ok
d2 receptors,d2 receptors,1,fallback_untranslated_or_international,ok
dark side of personality,dark side of osobowość,1,previous_polish_retained,ok
dat and comt polymorphism,dat and comt polimorfizm,1,fallback_phrase_translation,ok
day hospital,day hospital,1,fallback_untranslated_or_international,ok
diabulimia,diabulimia,1,fallback_untranslated_or_international,ok
diagnostic approach,diagnostic approach,1,fallback_untranslated_or_international,ok
diagnostic procedures,diagnostic procedures,1,fallback_untranslated_or_international,ok
diagnostic tips,diagnostic tips,1,fallback_untranslated_or_international,ok
dialectical behavior therapydbt,dialectical behavior therapydbt,1,fallback_untranslated_or_international,ok
diet,diet,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
dietary supplements,dietary supplements,1,fallback_untranslated_or_international,ok
dignity,dignity,1,fallback_untranslated_or_international,ok
coping pathophysiology,coping pathophysiology,1,fallback_untranslated_or_international,ok
coping patterns,coping patterns,1,fallback_untranslated_or_international,ok
core conflictual relationship theme,core conflictual relationship theme,1,fallback_untranslated_or_international,ok
core conflictual relationship theme method,core conflictual relationship theme metoda,1,fallback_phrase_translation,ok
developmental dyslexia,developmental dyslexia,1,fallback_untranslated_or_international,ok
diabetes,cukrzyca,1,fallback_phrase_translation,ok
diabetes mellitus,cukrzyca mellitus,1,fallback_phrase_translation,ok
diabetes type 1,cukrzyca type 1,1,fallback_phrase_translation,ok
consent capacity,consent capacity,1,fallback_untranslated_or_international,ok
contact centre,contact centre,1,fallback_untranslated_or_international,ok
contact with the patient,contact with the pacjent,1,fallback_phrase_translation,ok
containment measures,containment measures,1,fallback_untranslated_or_international,ok
context and motivation to the treatment,context and motivation to the leczenie,1,fallback_phrase_translation,ok
control,control,1,fallback_untranslated_or_international,ok
conversational artificial intelligence,conversational artificial intelligence,1,fallback_untranslated_or_international,ok
coping methods,coping metody,1,fallback_phrase_translation,ok
competence,competence,1,fallback_untranslated_or_international,ok
compulsory treatment/compulsory order,compulsory leczenie / compulsory order,1,fallback_phrase_translation,ok
computer,computer,1,fallback_untranslated_or_international,ok
concentration,concentration,1,fallback_untranslated_or_international,ok
conditional release,conditional release,1,fallback_untranslated_or_international,ok
conduct disorder,conduct zaburzenie,1,fallback_phrase_translation,ok
confirmatory factor analysis,confirmatory factor analysis,1,fallback_untranslated_or_international,ok
connective tissue diseases,connective tissue diseases,1,fallback_untranslated_or_international,ok
dysphoria,dysphoria,1,fallback_untranslated_or_international,ok
e-learning,e-learning,1,fallback_untranslated_or_international,ok
early intervention,early interwencja,1,fallback_phrase_translation,ok
early retirement,early retirement,1,fallback_untranslated_or_international,ok
eartquake victims,eartquake victims,1,fallback_untranslated_or_international,ok
east azerbaijian,east azerbaijian,1,fallback_untranslated_or_international,ok
east european psychiatrists,east european psychiatrists,1,fallback_untranslated_or_international,ok
eating,eating,1,fallback_untranslated_or_international,ok
dryness of mouth,dryness of mouth,1,fallback_untranslated_or_international,ok
dsm,dsm,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
dsm-5,dsm-5,1,fallback_untranslated_or_international,ok
dsm5,dsm5,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
dynamic psychiatry,dynamic psychiatry,1,fallback_untranslated_or_international,ok
dyscalculia,dyscalculia,1,fallback_untranslated_or_international,ok
dysfunctional beliefs,dysfunctional beliefs,1,fallback_untranslated_or_international,ok
dysorthography,dysorthography,1,fallback_untranslated_or_international,ok
domestic violence,domestic przemoc,1,fallback_phrase_translation,ok
drama,drama,1,fallback_untranslated_or_international,ok
drawings,drawings,1,fallback_untranslated_or_international,ok
dream emotions,dream emocje,1,fallback_phrase_translation,ok
dreaming,dreaming,1,fallback_untranslated_or_international,ok
drop out,drop out,1,fallback_untranslated_or_international,ok
drop-out,drop-out,1,fallback_untranslated_or_international,ok
drug,drug,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
dimensional models,dimensional models,1,fallback_untranslated_or_international,ok
discriminate analysis,discriminate analysis,1,fallback_untranslated_or_international,ok
discussion with anti-and postpsychiatry,discussion with anti-and postpsychiatry,1,fallback_untranslated_or_international,ok
disorder,zaburzenie,1,fallback_phrase_translation,ok
disorders,zaburzenia,1,fallback_phrase_translation,ok
disorganised attachment,zdezorganizowane przywiązanie,1,previous_polish_retained,ok
dissociation,dissociation,1,fallback_untranslated_or_international,ok
doctor-patient relationship,doctor-pacjent relationship,1,fallback_phrase_translation,ok
emotional processes,emotional processes,1,fallback_untranslated_or_international,ok
emotional reaction,emotional reaction,1,fallback_untranslated_or_international,ok
emotional regulation,emotional regulation,1,fallback_untranslated_or_international,ok
emotional state,emotional state,1,fallback_untranslated_or_international,ok
emotional symptom,emotional objaw,1,fallback_phrase_translation,ok
empathy_,empathy_,1,fallback_untranslated_or_international,ok
ems,ems,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
endurance training,endurance training,1,fallback_untranslated_or_international,ok
emotion focused training for emotion of self-compassion and self-protection,emocja focused training for emocja of self-compassion and self-protection,1,fallback_phrase_translation,ok
emotion-focused coping,emocja-focused coping,1,fallback_phrase_translation,ok
emotional abuse,emotional abuse,1,fallback_untranslated_or_international,ok
emotional development,emotional development,1,fallback_untranslated_or_international,ok
emotional disorder,emotional zaburzenie,1,fallback_phrase_translation,ok
emotional disposition,emotional disposition,1,fallback_untranslated_or_international,ok
emotional eating,emotional eating,1,fallback_untranslated_or_international,ok
emotional labour,emotional labour,1,fallback_untranslated_or_international,ok
efficacy profile,skuteczność profile,1,previous_polish_retained,ok
ego,ego,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
egocentric,egocentric,1,fallback_untranslated_or_international,ok
egypt,egypt,1,fallback_untranslated_or_international,ok
electrodermal activity,electrodermal activity,1,fallback_untranslated_or_international,ok
electronic communication,electronic communication,1,fallback_untranslated_or_international,ok
emergencies,emergencies,1,fallback_untranslated_or_international,ok
emergency medicine residents,emergency medicine residents,1,fallback_untranslated_or_international,ok
eating behaviors,eating behaviors,1,fallback_untranslated_or_international,ok
eating habits,eating habits,1,fallback_untranslated_or_international,ok
eating styles,eating styles,1,fallback_untranslated_or_international,ok
eclecticism,eclecticism,1,fallback_untranslated_or_international,ok
ecological perception,ecological percepcja,1,fallback_phrase_translation,ok
ect,ect,1,fallback_untranslated_or_international,strong_review_unresolved_acronym
editorial editorial 1,editorial editorial 1,1,fallback_untranslated_or_international,ok
effective counselor,effective counselor,1,fallback_untranslated_or_international,ok
factors of compliance with the treatment regimen,factors of compliance with the leczenie regimen,1,fallback_phrase_translation,ok
faecal impaction,faecal impaction,1,fallback_untranslated_or_international,ok
faecaloma,faecaloma,1,fallback_untranslated_or_international,ok
clinical trial,kliniczny trial,1,fallback_phrase_translation,ok
clinical utility,kliniczny utility,1,fallback_phrase_translation,ok
close relationships,close relationships,1,fallback_untranslated_or_international,ok
cluster a,cluster a,1,fallback_untranslated_or_international,ok
cluster b,cluster b,1,fallback_untranslated_or_international,ok
exploratory study,exploratory study,1,fallback_untranslated_or_international,ok
exposure therapy,exposure terapia,1,fallback_phrase_translation,ok
externalizing behaviors,externalizing behaviors,1,fallback_untranslated_or_international,ok
extreme sports,extreme sports,1,fallback_untranslated_or_international,ok
eye movement desensitization and reprocessing,eye movement desensitization and reprocessing,1,fallback_untranslated_or_international,ok
face-to-face therapy,face-to-face terapia,1,fallback_phrase_translation,ok
factor analyses,factor analyses,1,fallback_untranslated_or_international,ok
factor analysis,factor analysis,1,fallback_untranslated_or_international,ok
ethics,ethics,1,fallback_untranslated_or_international,ok
evidence,evidence,1,fallback_untranslated_or_international,ok
evolution,evolution,1,fallback_untranslated_or_international,ok
exhaustion,exhaustion,1,fallback_untranslated_or_international,ok
existential cognitive-behavioral therapy,existential poznawczy-behavioral terapia,1,fallback_phrase_translation,ok
