keyword_semantic_id,keyword_final_en,keyword_final_polish,n_norm_variants,norm_variants,actions,review_flags
app_sem_1150,post-traumatic stress disorder,zespół stresu pourazowego,2,post-traumatic stress disorder | ptsd,exact_map:ptsd->post-traumatic stress disorder | no_semantic_change,ok | semantic_merge_audit
app_sem_1175,primary school,szkoła podstawowa,2,primary school | primary schools,no_semantic_change | plural_to_concept:primary schools->primary school,ok | semantic_merge_audit
app_sem_1224,psychoeducation,psychoedukacja,2,psychoeduation | psychoeducation,exact_map:psychoeduation->psychoeducation | no_semantic_change,ok | semantic_merge_audit
app_sem_1261,psychosomatic disorder,zaburzenie psychosomatyczne,2,psychosomatic disorder | psychosomatic disorders,no_semantic_change | plural_to_concept:psychosomatic disorders->psychosomatic disorder,ok | semantic_merge_audit
app_sem_1267,psychotherapeutic target,psychotherapeutic target,2,psychotherapetuic target | psychotherapeutic target,exact_map:psychotherapetuic target->psychotherapeutic target | no_semantic_change,translation_review | translation_review|semantic_merge_audit
app_sem_1269,psychotherapist,psychoterapeuta,2,psychotherapist | psychotherapists,exact_map:psychotherapists->psychotherapist | no_semantic_change,ok | semantic_merge_audit
app_sem_1273,psychotherapy outcome,wynik psychoterapii,2,psychotherapy outcome | psychotherapy outcomes,no_semantic_change | plural_to_concept:psychotherapy outcomes->psychotherapy outcome,ok | semantic_merge_audit
app_sem_1277,psychotic disorder,zaburzenie psychotyczne,2,psychotic disorder | psychotic disorders,no_semantic_change | plural_to_concept:psychotic disorders->psychotic disorder,ok | semantic_merge_audit
app_sem_1332,risk factor,czynnik ryzyka,2,risk factor | risk factors,no_semantic_change | plural_to_concept:risk factors->risk factor,ok | semantic_merge_audit
app_sem_1400,sexual dysfunction,dysfunkcja seksualna,2,sexual dysfunction | sexual dysfunctions,no_semantic_change | plural_to_concept:sexual dysfunctions->sexual dysfunction,ok | semantic_merge_audit
app_sem_1424,sleep disorder,zaburzenie snu,2,sleep disorder | sleep disorders,no_semantic_change | plural_to_concept:sleep disorders->sleep disorder,ok | semantic_merge_audit
app_sem_1425,sleep disturbance,zaburzenie snu,2,sleep disturbance | sleep disturbances,no_semantic_change | plural_to_concept:sleep disturbances->sleep disturbance,ok | semantic_merge_audit
app_sem_1443,social skills,umiejętności społeczne,2,social skills | social skills_,exact_map:social skills_->social skills | no_semantic_change,ok | semantic_merge_audit
app_sem_1496,substance use disorder,zaburzenie używania substancji,2,substance use disorder | substance use disorders,no_semantic_change | plural_to_concept:substance use disorders->substance use disorder,ok | semantic_merge_audit
app_sem_1502,suicide attempt,próba samobójcza,2,suicide attempt | suicide attempts,no_semantic_change | plural_to_concept:suicide attempts->suicide attempt,ok | semantic_merge_audit
