keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,n
anesthesia,anesthesia,anesthesia,app_sem_0069,no_semantic_change,untranslated_review,low,translation_review,1
anhedonia change,anhedonia change,anhedonia change,app_sem_0072,no_semantic_change,untranslated_review,low,translation_review,1
anhedonia intensity,anhedonia intensity,anhedonia intensity,app_sem_0073,no_semantic_change,untranslated_review,low,translation_review,1
animal model,animal model,animal model,app_sem_0074,no_semantic_change,untranslated_review,low,translation_review,1
anomia,anomia,anomia,app_sem_0075,no_semantic_change,untranslated_review,low,translation_review,1
anti-n methyl-d-aspartate receptor antibodies,anti-n methyl-d-aspartate receptor antibodies,anti-n methyl-d-aspartate receptor antibodies,app_sem_0078,no_semantic_change,untranslated_review,low,translation_review,1
anti-semitism,anti-semitism,anti-semitism,app_sem_0079,no_semantic_change,untranslated_review,low,translation_review,1
anti-stigma campaign,anti-stigma campaign,anti-stygmatyzacja campaign,app_sem_0080,no_semantic_change,token_partial_review,medium,translation_review,1
anticipated and experienced stigma,anticipated and experienced stigma,anticipated and experienced stygmatyzacja,app_sem_0081,no_semantic_change,token_partial_review,medium,translation_review,1
antioxidants,antioxidants,antioxidants,app_sem_0083,no_semantic_change,untranslated_review,low,translation_review,1
antipshychotics,antipsychotic,lek przeciwpsychotyczny,app_sem_0084,exact_map:antipshychotics->antipsychotic,glossary_exact,high,semantic_merge_audit,1
antipsychotic agents,antipsychotic agents,lek przeciwpsychotyczny agents,app_sem_0085,no_semantic_change,token_partial_review,medium,translation_review,1
antisocial disorders,antisocial disorder,antisocial zaburzenie,app_sem_0086,plural_to_concept:antisocial disorders->antisocial disorder,token_partial_review,medium,translation_review|semantic_merge_audit,1
antisocial personality disorder/borderline personality disorder,antisocial personality disorder/borderline personality disorder,antisocial zaburzenie osobowości/borderline zaburzenie osobowości,app_sem_0087,no_semantic_change,token_partial_review,medium,translation_review,1
anxiety and depressive disorders,anxiety and depressive disorder,lęk and zaburzenie depresyjne,app_sem_0089,plural_to_concept:anxiety and depressive disorders->anxiety and depressive disorder,token_partial_review,medium,translation_review|semantic_merge_audit,1
anxiety paradoxical effects,anxiety paradoxical effects,lęk paradoxical effects,app_sem_0091,no_semantic_change,token_partial_review,medium,translation_review,1
anxiety sensitivity,anxiety sensitivity,lęk sensitivity,app_sem_0092,no_semantic_change,token_partial_review,medium,translation_review,1
apoliprotein e,apoliprotein e,apoliprotein e,app_sem_0093,no_semantic_change,untranslated_review,low,translation_review,1
appearance orientation,appearance orientation,appearance orientation,app_sem_0094,no_semantic_change,untranslated_review,low,translation_review,1
applicants,applicants,applicants,app_sem_0095,no_semantic_change,untranslated_review,low,translation_review,1
archetype,archetype,archetype,app_sem_0096,no_semantic_change,untranslated_review,low,translation_review,1
archive,archive,archive,app_sem_0097,no_semantic_change,untranslated_review,low,translation_review,1
argentine tango,argentine tango,argentine tango,app_sem_0098,no_semantic_change,untranslated_review,low,translation_review,1
aripiprazole,aripiprazole,aripiprazole,app_sem_0099,no_semantic_change,untranslated_review,low,translation_review,1
arnold chiari malformation,arnold chiari malformation,arnold chiari malformation,app_sem_0100,no_semantic_change,untranslated_review,low,translation_review,1
arterial stiffness,arterial stiffness,arterial stiffness,app_sem_0102,no_semantic_change,untranslated_review,low,translation_review,1
arts psychotherapies,arts psychotherapies,arts psychotherapies,app_sem_0103,no_semantic_change,untranslated_review,low,translation_review,1
arts psychotherapy,arts psychotherapy,arts psychoterapia,app_sem_0104,no_semantic_change,token_partial_review,medium,translation_review,1
aspirin-induced asthma,aspirin-induced asthma,aspirin-induced asthma,app_sem_0105,no_semantic_change,untranslated_review,low,translation_review,1
asrq,asrq,asrq,app_sem_0106,no_semantic_change,untranslated_review,low,translation_review,1
assertiveness,assertiveness,assertiveness,app_sem_0107,no_semantic_change,untranslated_review,low,translation_review,1
association,association,association,app_sem_0109,no_semantic_change,untranslated_review,low,translation_review,1
asthma severity,asthma severity,asthma severity,app_sem_0111,no_semantic_change,untranslated_review,low,translation_review,1
athletic ideal,athletic ideal,athletic ideal,app_sem_0112,no_semantic_change,untranslated_review,low,translation_review,1
atopic dermatitis,atopic dermatitis,atopic dermatitis,app_sem_0113,no_semantic_change,untranslated_review,low,translation_review,1
atos,atos,atos,app_sem_0114,no_semantic_change,untranslated_review,low,translation_review,1
attempted suicide,attempted suicide,attempted samobójstwo,app_sem_0118,no_semantic_change,token_partial_review,medium,translation_review,1
attenuation of pair bonding,attenuation of pair bonding,attenuation of pair bonding,app_sem_0119,no_semantic_change,untranslated_review,low,translation_review,1
attitude measurement,attitude measurement,postawa measurement,app_sem_0121,no_semantic_change,token_partial_review,medium,translation_review,1
attitudes towards the body and eating,attitudes towards the body and eating,postawy towards the ciało and jedzenie,app_sem_0124,no_semantic_change,token_partial_review,medium,translation_review,1
atypical gender identity development,atypical gender identity development,atypical płeć identity development,app_sem_0125,no_semantic_change,token_partial_review,medium,translation_review,1
audit,audit,audit,app_sem_0126,no_semantic_change,untranslated_review,low,translation_review,1
auditory hallucinations,auditory hallucinations,auditory hallucinations,app_sem_0127,no_semantic_change,untranslated_review,low,translation_review,1
augmentation,augmentation,augmentation,app_sem_0128,no_semantic_change,untranslated_review,low,translation_review,1
author's memories,author's memories,author's memories,app_sem_0129,no_semantic_change,untranslated_review,low,translation_review,1
authors index,authors index,authors index,app_sem_0130,no_semantic_change,untranslated_review,low,translation_review,1
autism spectrum,autism spectrum,autism spectrum,app_sem_0132,no_semantic_change,untranslated_review,low,translation_review,1
autism_,autism_,autism_,app_sem_0134,no_semantic_change,untranslated_review,low,translation_review,1
auto-amputation,auto-amputation,auto-amputation,app_sem_0135,no_semantic_change,untranslated_review,low,translation_review,1
autoaggresion,autoaggresion,autoaggresion,app_sem_0136,no_semantic_change,untranslated_review,low,translation_review,1
autocreation,autocreation,autocreation,app_sem_0137,no_semantic_change,untranslated_review,low,translation_review,1
autoimmune disease,autoimmune disease,autoimmune choroba,app_sem_0138,no_semantic_change,token_partial_review,medium,translation_review,1
autoimmune encephalitis,autoimmune encephalitis,autoimmune encephalitis,app_sem_0139,no_semantic_change,untranslated_review,low,translation_review,1
automatic action,automatic action,automatic action,app_sem_0140,no_semantic_change,untranslated_review,low,translation_review,1
automatic thought,automatic thought,automatic thought,app_sem_0141,no_semantic_change,untranslated_review,low,translation_review,1
autonomous motivation,autonomous motivation,autonomous motivation,app_sem_0142,no_semantic_change,untranslated_review,low,translation_review,1
balint groups,balint group,grupa Balinta,app_sem_0144,plural_to_concept:balint groups->balint group,glossary_exact,high,semantic_merge_audit,1
behavioral addictions,behavioral addictions,behawioralny addictions,app_sem_0145,no_semantic_change,token_partial_review,medium,translation_review,1
behaviorism,behaviorism,behaviorism,app_sem_0146,no_semantic_change,untranslated_review,low,translation_review,1
bentus,bentus,bentus,app_sem_0147,no_semantic_change,untranslated_review,low,translation_review,1
bert hellinger,bert hellinger,bert hellinger,app_sem_0148,no_semantic_change,untranslated_review,low,translation_review,1
bifactor model,bifactor model,bifactor model,app_sem_0149,no_semantic_change,untranslated_review,low,translation_review,1
big five,big five,big five,app_sem_0150,no_semantic_change,untranslated_review,low,translation_review,1
biid,biid,biid,app_sem_0151,no_semantic_change,untranslated_review,low,translation_review,1
binge eating disorder (bed),binge eating disorder (bed),binge eating disorder (bed),app_sem_0152,no_semantic_change,untranslated_review,low,translation_review,1
binging,binging,binging,app_sem_0153,no_semantic_change,untranslated_review,low,translation_review,1
bioactive compounds,bioactive compounds,bioactive compounds,app_sem_0154,no_semantic_change,untranslated_review,low,translation_review,1
bioelectrical impedance analysis,bioelectrical impedance analysis,bioelectrical impedance analysis,app_sem_0155,no_semantic_change,untranslated_review,low,translation_review,1
bioethics,bioethics,bioethics,app_sem_0156,no_semantic_change,untranslated_review,low,translation_review,1
biographic traumata,biographic traumata,biographic traumata,app_sem_0157,no_semantic_change,untranslated_review,low,translation_review,1
biographical narration,biographical narration,biographical narration,app_sem_0158,no_semantic_change,untranslated_review,low,translation_review,1
biography,biography,biography,app_sem_0159,no_semantic_change,untranslated_review,low,translation_review,1
bion's theory,bion's theory,bion's theory,app_sem_0160,no_semantic_change,untranslated_review,low,translation_review,1
bipolar affective illness,bipolar affective illness,dwubiegunowy afektywny illness,app_sem_0163,no_semantic_change,token_partial_review,medium,translation_review,1
bipolar mood disorders,bipolar mood disorder,dwubiegunowy mood zaburzenie,app_sem_0165,plural_to_concept:bipolar mood disorders->bipolar mood disorder,token_partial_review,medium,translation_review|semantic_merge_audit,1
bipolar spectrum,bipolar spectrum,dwubiegunowy spectrum,app_sem_0166,no_semantic_change,token_partial_review,medium,translation_review,1
birding,birding,birding,app_sem_0167,no_semantic_change,untranslated_review,low,translation_review,1
bisexual men,bisexual men,bisexual mężczyźni,app_sem_0168,no_semantic_change,token_partial_review,medium,translation_review,1
bisexuality,bisexuality,bisexuality,app_sem_0169,no_semantic_change,untranslated_review,low,translation_review,1
bleeding,bleeding,bleeding,app_sem_0170,no_semantic_change,untranslated_review,low,translation_review,1
blindness,blindness,blindness,app_sem_0171,no_semantic_change,untranslated_review,low,translation_review,1
blood,blood,blood,app_sem_0172,no_semantic_change,untranslated_review,low,translation_review,1
body attitude test,body attitude test,ciało postawa test,app_sem_0174,no_semantic_change,token_partial_review,medium,translation_review,1
body attitudes,body attitude,ciało postawa,app_sem_0173,plural_to_concept:body attitudes->body attitude,token_full,high,semantic_merge_audit,1
body image concern,body image concern,body image concern,app_sem_0179,no_semantic_change,untranslated_review,low,translation_review,1
body image disturbance,body image disturbance,obraz ciała zaburzenie,app_sem_0180,no_semantic_change,token_partial_review,medium,translation_review,1
body image perception,body image perception,body image perception,app_sem_0181,no_semantic_change,untranslated_review,low,translation_review,1
body percept,body percept,ciało percept,app_sem_0183,no_semantic_change,token_partial_review,medium,translation_review,1
borderline functioning,borderline functioning,borderline functioning,app_sem_0185,no_semantic_change,token_partial_review,medium,translation_review,1
borderline patients,borderline patients,borderline patients,app_sem_0186,no_semantic_change,token_partial_review,medium,translation_review,1
bowen's theory,bowen's theory,bowen's theory,app_sem_0188,no_semantic_change,untranslated_review,low,translation_review,1
bpd,bpd,bpd,app_sem_0189,no_semantic_change,untranslated_review,low,translation_review,1
brain-behavioral functions,brain-behavioral function,brain-behawioralny funkcja,app_sem_0190,plural_to_concept:brain-behavioral functions->brain-behavioral function,token_partial_review,medium,translation_review|semantic_merge_audit,1
brain-derived,brain-derived,brain-derived,app_sem_0191,no_semantic_change,untranslated_review,low,translation_review,1
brain-derived neurotrophic factor (bdnf) gene,brain-derived neurotrophic factor (bdnf) gene,brain-derived neurotrophic czynnik (bdnf) gene,app_sem_0192,no_semantic_change,token_partial_review,medium,translation_review,1
brainspotting therapy,brainspotting therapy,brainspotting terapia,app_sem_0193,no_semantic_change,token_partial_review,medium,translation_review,1
brca gene mutation,brca gene mutation,brca gene mutation,app_sem_0194,no_semantic_change,untranslated_review,low,translation_review,1
brca2,brca2,brca2,app_sem_0196,no_semantic_change,untranslated_review,low,translation_review,1
break up,break up,break up,app_sem_0197,no_semantic_change,untranslated_review,low,translation_review,1
breast reduction surgery,breast reduction surgery,breast reduction surgery,app_sem_0199,no_semantic_change,untranslated_review,low,translation_review,1
breastfeeding,breastfeeding,breastfeeding,app_sem_0200,no_semantic_change,untranslated_review,low,translation_review,1
breastfeeding self-efficacy,breastfeeding self-efficacy,breastfeeding self-efficacy,app_sem_0201,no_semantic_change,untranslated_review,low,translation_review,1
breath-holding,breath-holding,breath-holding,app_sem_0202,no_semantic_change,untranslated_review,low,translation_review,1
brief intervention,brief intervention,brief intervention,app_sem_0203,no_semantic_change,untranslated_review,low,translation_review,1
brief psychotic disorder,brief psychotic disorder,brief psychotic disorder,app_sem_0204,no_semantic_change,untranslated_review,low,translation_review,1
broken heart,broken heart,broken heart,app_sem_0205,no_semantic_change,untranslated_review,low,translation_review,1
bulling,bulling,bulling,app_sem_0208,no_semantic_change,untranslated_review,low,translation_review,1
buprenorphine,buprenorphine,buprenorphine,app_sem_0209,no_semantic_change,untranslated_review,low,translation_review,1
burden,burden,burden,app_sem_0210,no_semantic_change,untranslated_review,low,translation_review,1
capacity,capacity,capacity,app_sem_0214,no_semantic_change,untranslated_review,low,translation_review,1
caq-clinical analysis questionnaire,caq-clinical analysis questionnaire,caq-clinical analysis kwestionariusz,app_sem_0215,no_semantic_change,token_partial_review,medium,translation_review,1
car,car,car,app_sem_0216,no_semantic_change,untranslated_review,low,translation_review,1
cardiac syndrome x,cardiac syndrome x,cardiac zespół x,app_sem_0218,no_semantic_change,token_partial_review,medium,translation_review,1
cardiovascular risk,cardiovascular risk,cardiovascular ryzyko,app_sem_0220,no_semantic_change,token_partial_review,medium,translation_review,1
care relationship,care relationship,care relacja,app_sem_0221,no_semantic_change,token_partial_review,medium,translation_review,1
caregiver,caregiver,caregiver,app_sem_0222,no_semantic_change,untranslated_review,low,translation_review,1
caregivers,caregivers,caregivers,app_sem_0223,no_semantic_change,untranslated_review,low,translation_review,1
catatonia,catatonia,catatonia,app_sem_0225,no_semantic_change,untranslated_review,low,translation_review,1
caudate nucleus,caudate nucleus,caudate nucleus,app_sem_0226,no_semantic_change,untranslated_review,low,translation_review,1
cbcl score,cbcl score,cbcl score,app_sem_0227,no_semantic_change,untranslated_review,low,translation_review,1
cerebellar,cerebellar,cerebellar,app_sem_0229,no_semantic_change,untranslated_review,low,translation_review,1
cerebellum,cerebellum,cerebellum,app_sem_0230,no_semantic_change,untranslated_review,low,translation_review,1
cerebral and cerebellar atrophy,cerebral and cerebellar atrophy,cerebral and cerebellar atrophy,app_sem_0231,no_semantic_change,untranslated_review,low,translation_review,1
cftmea,cftmea,cftmea,app_sem_0232,no_semantic_change,untranslated_review,low,translation_review,1
change,change,change,app_sem_0233,no_semantic_change,untranslated_review,low,translation_review,1
change in consultation frequency,change in consultation frequency,change in consultation frequency,app_sem_0234,no_semantic_change,untranslated_review,low,translation_review,1
"changes in inflammatory parameters and antioxidants and their impact on clinical symptoms, including cognitive functions, in patients with schizophrenia-scoping review","changes in inflammatory parameters and antioxidants and their impact on clinical symptoms, including cognitive functions, in patients with schizophrenia-scoping review","changes in inflammatory parameters and antioxidants and their impact on clinical symptoms, including funkcje poznawczes, in patients with schizofrenia-scoping przegląd",app_sem_0235,no_semantic_change,token_partial_review,medium,translation_review,1
child and adolescent psychiatry,child and adolescent psychiatry,dziecko and adolescent psychiatria,app_sem_0236,no_semantic_change,token_partial_review,medium,translation_review,1
child temperament,child temperament,dziecko temperament,app_sem_0239,no_semantic_change,token_partial_review,medium,translation_review,1
child trichotillomania,child trichotillomania,dziecko trichotillomania,app_sem_0240,no_semantic_change,token_partial_review,medium,translation_review,1
child's wish for a miracle,child's wish for a miracle,child's wish for a miracle,app_sem_0241,no_semantic_change,untranslated_review,low,translation_review,1
childbearing age women,childbearing age women,childbearing age kobiety,app_sem_0242,no_semantic_change,token_partial_review,medium,translation_review,1
childbirth,childbirth,childbirth,app_sem_0243,no_semantic_change,untranslated_review,low,translation_review,1
childhood,childhood,childhood,app_sem_0244,no_semantic_change,untranslated_review,low,translation_review,1
childhood adversity,childhood adversity,childhood adversity,app_sem_0245,no_semantic_change,untranslated_review,low,translation_review,1
childhood maltreatment,childhood maltreatment,childhood maltreatment,app_sem_0246,no_semantic_change,untranslated_review,low,translation_review,1
childhood trauma,childhood trauma,childhood trauma,app_sem_0247,no_semantic_change,token_partial_review,medium,translation_review,1
children emotional problem,children emotional problem,dzieci emocjonalny problem,app_sem_0251,no_semantic_change,token_partial_review,medium,translation_review,1
children's rights,children's rights,children's rights,app_sem_0252,no_semantic_change,untranslated_review,low,translation_review,1
chromosome 17,chromosome 17,chromosome 17,app_sem_0253,no_semantic_change,untranslated_review,low,translation_review,1
