keyword_concept_polish_3d_aggregated,n_records,n_articles,n_previous_concepts,example_previous_concepts,review_flag_3d
dorośli i etapy życia,12,12,6,bisexual mężczyźni | dorosłość i osoby dorosłe | mężczyźni | putamen | wczesna dorosłość | young adults,
zaburzenia snu,12,9,1,sen i zaburzenia snu,
"agresja, przemoc i zachowania antyspołeczne",11,11,4,domestic przemoc | intimate partner przemoc | kontekst sądowo-penitencjarny | przemoc,
epidemiologia i rozpowszechnienie,11,11,6,change in consultation frequency | częstość akcji serca | epidemia | frequency of comsumption of products | rozpowszechnienie | strategies of mapping,
"filozofia, fenomenologia i antropologia",11,9,7,fenomenologia | filozofia | kliniczny philosophy | metafora | metafory | philosophical terapia | philosophy of życie,
organizacja opieki psychiatrycznej,11,10,11,day hospital | home care services | hospitalisations | incapacity for service | opieka paliatywna | opieka stomatologiczna | psychiatria środowiskowa | psychiatryczny care | psychiatryczny outpatients | rehospitalisation | service users,
"migracja, mniejszości i kontekst międzykulturowy",10,10,7,Indie | Iran | Nigeria | cultural differences | cultural społeczny czynnik | culture | voluntary and forced migrants,
"kobiety, ciąża i zdrowie okołoporodowe",9,9,5,breastfeeding | breastfeeding poczucie własnej skuteczności | females without psychiczny disturbance | kobiety | woman,
objawy i nasilenie objawów,9,9,5,deficyt | dynamika objawów | psycho-patologiczny objaw | psychologiczny objaw | symptomatic dimensions,
"terapia rodzinna, systemowa i grupowa",9,9,3,couple terapia | group terapia | psychoedukacja,
"instytucje, redakcja i komunikacja naukowa",8,5,7,artykuł | author's memories | authors index | editorial editorial 1 | for authors | redaktorzy | submit your artykuł,
"religia, duchowość i egzystencja",7,6,6,duchowość | religijność | religion | sens życia | systemy znaczeń | the centrality of religiosity,
"etyka, prawo i polityka zdrowotna",6,5,6,code of ethics | ethical aspects | ethical dilemmas | ethical issues | ethics | polityka prywatności,
profilaktyka i promocja zdrowia,6,6,4,profilaktyczny operations | profilaktyka | profilaktyka and control | zdrowie behavior,
"rodzina, rodzeństwo i bliscy",6,6,2,krewni pierwszego stopnia | rodzeństwo,
działania niepożądane i bezpieczeństwo leczenia,5,5,3,adverse effect | dyskineza późna | zdarzenia niepożądane,
edukacja medyczna i szkolenie,5,3,3,curriculum | e-learning | uczenie się,
psychoterapia i proces terapeutyczny,5,4,3,przeciwprzeniesienie | transference | transference-countertransference relationship,
niepełnosprawność,4,4,1,niepełnosprawność,
pierwszy epizod i stany wysokiego ryzyka,4,4,2,UHR | pierwszy epizod,
przestrzeganie zaleceń i współpraca w leczeniu,4,4,3,nieprzestrzeganie zaleceń | przestrzeganie protokołu | przestrzeganie zaleceń,
hipnoza i techniki sugestii,3,2,2,analgesic suggestion | hypnosis,
poradnictwo i konsultacja psychologiczna,3,2,2,effective counselor | poradnictwo,
seksualność i orientacja seksualna,3,3,1,homoseksualność,
technika terapeuty,3,3,1,technika terapeuty,
terapia,3,3,1,terapia,
zaburzenia dysocjacyjne i somatoformiczne,3,3,3,dissociation | somatoform | somatoform zaburzenie,
BRCA1,2,2,1,BRCA1,strong_audit_residual_translation_or_scope
aktywność fizyczna,2,2,1,aktywność fizyczna,
cierpienie,2,2,1,cierpienie,
dramatologia,2,2,1,dramatologia,
eat-26,2,2,1,eat-26,strong_audit_residual_translation_or_scope
egosyntoniczność,2,2,1,egosyntoniczność,
formułowanie przypadku,2,2,1,formułowanie przypadku,
functional zaburzenie,2,2,1,functional zaburzenie,
funkcjonariusze policji,2,2,1,funkcjonariusze policji,
gastroenterologia i mikrobiota,2,2,1,mikrobiota jelitowa,
grupa Balinta,2,2,1,grupa Balinta,
intensywny,2,2,1,intensywny,
konflikt,2,2,1,konflikt,
krótkoterminowy,2,2,1,krótkoterminowy,
metylofenidat,2,2,1,metylofenidat,
od,2,2,1,od,strong_audit_residual_translation_or_scope
opór,2,2,1,opór,
powódź,2,2,1,powódź,
psychodermatologia,2,2,1,psychodermatologia,
socjopatia,2,2,1,socjopatia,
styl humoru,2,2,1,styl humoru,
zaburzenie afektywne dwubiegunowe,2,2,2,hypomania check list-32 | trichotillomania,
22q11.2 deletion zespół,1,1,1,22q11.2 deletion zespół,strong_audit_residual_translation_or_scope
OAB,1,1,1,OAB,strong_audit_residual_translation_or_scope
PMR,1,1,1,PMR,strong_audit_residual_translation_or_scope
aa,1,1,1,aa,strong_audit_residual_translation_or_scope
acceptance,1,1,1,acceptance,
acl,1,1,1,acl,strong_audit_residual_translation_or_scope
activity,1,1,1,activity,
aerobic ćwiczenia,1,1,1,aerobic ćwiczenia,
aids,1,1,1,aids,strong_audit_residual_translation_or_scope
allience,1,1,1,allience,
alter ego,1,1,1,alter ego,
amnesia,1,1,1,amnesia,
anesthesia,1,1,1,anesthesia,
anomia,1,1,1,anomia,
anti-semitism,1,1,1,anti-semitism,strong_audit_residual_translation_or_scope
antioxidants,1,1,1,antioxidants,
apoliprotein e,1,1,1,apoliprotein e,
appearance orientation,1,1,1,appearance orientation,
applicants,1,1,1,applicants,
archetype,1,1,1,archetype,
argentine tango,1,1,1,argentine tango,
arnold chiari malformation,1,1,1,arnold chiari malformation,
arrival,1,1,1,arrival,
arterial stiffness,1,1,1,arterial stiffness,
assertiveness,1,1,1,assertiveness,
association,1,1,1,association,
athletic ideal,1,1,1,athletic ideal,
atos,1,1,1,atos,strong_audit_residual_translation_or_scope
audit,1,1,1,audit,
auto-amputation,1,1,1,auto-amputation,strong_audit_residual_translation_or_scope
autocreation,1,1,1,autocreation,
automatic action,1,1,1,automatic action,
automatic thought,1,1,1,automatic thought,
autonomous motivation,1,1,1,autonomous motivation,
behaviorism,1,1,1,behaviorism,
bentus,1,1,1,bentus,
bert hellinger,1,1,1,bert hellinger,
białko prionowe,1,1,1,białko prionowe,
bierność,1,1,1,bierność,
biid,1,1,1,biid,strong_audit_residual_translation_or_scope
binging,1,1,1,binging,
bioactive compounds,1,1,1,bioactive compounds,
bioethics,1,1,1,bioethics,
biographical narration,1,1,1,biographical narration,
biography,1,1,1,biography,
bion's theory,1,1,1,bion's theory,
birding,1,1,1,birding,
bisexuality,1,1,1,bisexuality,
bleeding,1,1,1,bleeding,
blindness,1,1,1,blindness,
blood,1,1,1,blood,
bowen's theory,1,1,1,bowen's theory,
brca2,1,1,1,brca2,strong_audit_residual_translation_or_scope
break up,1,1,1,break up,
breast reduction surgery,1,1,1,breast reduction surgery,
breath-holding,1,1,1,breath-holding,strong_audit_residual_translation_or_scope
bulling,1,1,1,bulling,
buprenorphine,1,1,1,buprenorphine,
burden,1,1,1,burden,
capacity,1,1,1,capacity,
car,1,1,1,car,strong_audit_residual_translation_or_scope
caregiver,1,1,1,caregiver,
caregivers,1,1,1,caregivers,
catatonia,1,1,1,catatonia,
caudate nucleus,1,1,1,caudate nucleus,
cbcl score,1,1,1,cbcl score,strong_audit_residual_translation_or_scope
cechy fenotypowe,1,1,1,cechy fenotypowe,
cechy instynktowe,1,1,1,cechy instynktowe,
cechy patologiczne,1,1,1,cechy patologiczne,
cerebellar,1,1,1,cerebellar,
cerebellum,1,1,1,cerebellum,
cerebral and cerebellar atrophy,1,1,1,cerebral and cerebellar atrophy,
cftmea,1,1,1,cftmea,
change,1,1,1,change,
chromosome 17,1,1,1,chromosome 17,strong_audit_residual_translation_or_scope
chronically mentally ill,1,1,1,chronically mentally ill,
citalopram,1,1,1,citalopram,
client challenges,1,1,1,client challenges,
climate change,1,1,1,climate change,
cluster a,1,1,1,cluster a,
cluster b,1,1,1,cluster b,
co2,1,1,1,co2,strong_audit_residual_translation_or_scope
codependency,1,1,1,codependency,
community,1,1,1,community,
community care,1,1,1,community care,
comparative badania,1,1,1,comparative badania,strong_audit_residual_translation_or_scope
compassion,1,1,1,compassion,
compassion for others,1,1,1,compassion for others,
competence,1,1,1,competence,
concentration,1,1,1,concentration,
conditional release,1,1,1,conditional release,
conduct zaburzenie,1,1,1,conduct zaburzenie,
consent capacity,1,1,1,consent capacity,
containment measures,1,1,1,containment measures,
control,1,1,1,control,
conversational artificial intelligence,1,1,1,conversational artificial intelligence,
corpus callosum,1,1,1,corpus callosum,
cotard zespół,1,1,1,cotard zespół,strong_audit_residual_translation_or_scope
couples terapia,1,1,1,couples terapia,
course,1,1,1,course,
creative thinking,1,1,1,creative thinking,
creutzfeldt-jakob disease,1,1,1,creutzfeldt-jakob disease,strong_audit_residual_translation_or_scope
crohn's disease,1,1,1,crohn's disease,
cso,1,1,1,cso,strong_audit_residual_translation_or_scope
cyberchondria,1,1,1,cyberchondria,
cyberpsychology,1,1,1,cyberpsychology,
cyclothymic,1,1,1,cyclothymic,
cyp2d,1,1,1,cyp2d,strong_audit_residual_translation_or_scope
cytokines,1,1,1,cytokines,
dat and comt polimorfizm,1,1,1,dat and comt polimorfizm,
death,1,1,1,death,
death instynkt,1,1,1,death instynkt,
decision algorithm,1,1,1,decision algorithm,
decision-making,1,1,1,decision-making,strong_audit_residual_translation_or_scope
decision-making capacity,1,1,1,decision-making capacity,strong_audit_residual_translation_or_scope
defect,1,1,1,defect,
defense styles,1,1,1,defense styles,
deinstitutionalization,1,1,1,deinstitutionalization,
delirium,1,1,1,delirium,
depot formulation,1,1,1,depot formulation,
dermatosis,1,1,1,dermatosis,
desnos,1,1,1,desnos,
detection,1,1,1,detection,
detoxification,1,1,1,detoxification,
development,1,1,1,development,
dialog motywujący,1,1,1,dialog motywujący,
diet,1,1,1,diet,strong_audit_residual_translation_or_scope
dietary supplements,1,1,1,dietary supplements,
dignity,1,1,1,dignity,
discussion with anti-and postpsychiatry,1,1,1,discussion with anti-and postpsychiatry,strong_audit_residual_translation_or_scope
drama,1,1,1,drama,
drawings,1,1,1,drawings,
dreaming,1,1,1,dreaming,
drop out,1,1,1,drop out,
drop-out,1,1,1,drop-out,strong_audit_residual_translation_or_scope
dryness of mouth,1,1,1,dryness of mouth,
dyscalculia,1,1,1,dyscalculia,
dysorthography,1,1,1,dysorthography,
dysphoria,1,1,1,dysphoria,
early retirement,1,1,1,early retirement,
eartquake victims,1,1,1,eartquake victims,
east azerbaijian,1,1,1,east azerbaijian,
eating,1,1,1,eating,
eating behaviors,1,1,1,eating behaviors,
eating habits,1,1,1,eating habits,
eating styles,1,1,1,eating styles,
eclecticism,1,1,1,eclecticism,
ect,1,1,1,ect,strong_audit_residual_translation_or_scope
ego,1,1,1,ego,strong_audit_residual_translation_or_scope
egocentric,1,1,1,egocentric,
egypt,1,1,1,egypt,
ejakulat,1,1,1,ejakulat,
electrodermal activity,1,1,1,electrodermal activity,
emergencies,1,1,1,emergencies,
emergency medicine residents,1,1,1,emergency medicine residents,
ems,1,1,1,ems,strong_audit_residual_translation_or_scope
engagement,1,1,1,engagement,
epq-r,1,1,1,epq-r,strong_audit_residual_translation_or_scope
ericksonian parallel process,1,1,1,ericksonian parallel process,
ericksonian supervision,1,1,1,ericksonian supervision,
etap przedkliniczny,1,1,1,etap przedkliniczny,
evidence,1,1,1,evidence,
evolution,1,1,1,evolution,
exhaustion,1,1,1,exhaustion,
experience,1,1,1,experience,
exposure terapia,1,1,1,exposure terapia,
externalizing behaviors,1,1,1,externalizing behaviors,
extreme sports,1,1,1,extreme sports,
eye movement desensitization and reprocessing,1,1,1,eye movement desensitization and reprocessing,
face-to-face terapia,1,1,1,face-to-face terapia,strong_audit_residual_translation_or_scope
faecal impaction,1,1,1,faecal impaction,
faecaloma,1,1,1,faecaloma,
fahr's zespół,1,1,1,fahr's zespół,strong_audit_residual_translation_or_scope
fanaticism,1,1,1,fanaticism,
fenobarbital,1,1,1,fenobarbital,
fg,1,1,1,fg,strong_audit_residual_translation_or_scope
fidelity,1,1,1,fidelity,
firefighters,1,1,1,firefighters,
first person account,1,1,1,first person account,
first-person account,1,1,1,first-person account,strong_audit_residual_translation_or_scope
fitness,1,1,1,fitness,
fizyczny appearance,1,1,1,fizyczny appearance,
fizyczny zdrowie,1,1,1,fizyczny zdrowie,
fkbp5,1,1,1,fkbp5,strong_audit_residual_translation_or_scope
food restriction,1,1,1,food restriction,
forcible feeding,1,1,1,forcible feeding,
foster care,1,1,1,foster care,
free association,1,1,1,free association,
frontal lobe zespół,1,1,1,frontal lobe zespół,strong_audit_residual_translation_or_scope
fuzzy promethee,1,1,1,fuzzy promethee,
galenika mikrosfer,1,1,1,galenika mikrosfer,
galvanic skin response,1,1,1,galvanic skin response,
gay,1,1,1,gay,strong_audit_residual_translation_or_scope
gg,1,1,1,gg,strong_audit_residual_translation_or_scope
gh,1,1,1,gh,strong_audit_residual_translation_or_scope
giftedness,1,1,1,giftedness,
gingivitis,1,1,1,gingivitis,
glutamic acid,1,1,1,glutamic acid,
glycine,1,1,1,glycine,
grupa process,1,1,1,grupa process,
gsdsii,1,1,1,gsdsii,
guided discovery,1,1,1,guided discovery,
guided mastery,1,1,1,guided mastery,
hamowanie motoryczne,1,1,1,hamowanie motoryczne,
haplotype,1,1,1,haplotype,
harm reduction,1,1,1,harm reduction,
harmonia wewnętrzna,1,1,1,harmonia wewnętrzna,
hashimoto's disease,1,1,1,hashimoto's disease,
healthy subjects,1,1,1,healthy subjects,
helplessness,1,1,1,helplessness,
hemodialysis,1,1,1,hemodialysis,
hepatitis c,1,1,1,hepatitis c,
hh,1,1,1,hh,strong_audit_residual_translation_or_scope
high sensitive c-reactive protein,1,1,1,high sensitive c-reactive protein,strong_audit_residual_translation_or_scope
hiv,1,1,1,hiv,strong_audit_residual_translation_or_scope
hj,1,1,1,hj,strong_audit_residual_translation_or_scope
homicide,1,1,1,homicide,
hope,1,1,1,hope,strong_audit_residual_translation_or_scope
hpa axis,1,1,1,hpa axis,
hplc,1,1,1,hplc,strong_audit_residual_translation_or_scope
human destructiveness,1,1,1,human destructiveness,
hunger strike,1,1,1,hunger strike,
hyperprolactinemia,1,1,1,hyperprolactinemia,
hyperthymic,1,1,1,hyperthymic,
hyperthyroidism,1,1,1,hyperthyroidism,
hypochondriasis,1,1,1,hypochondriasis,
hypothyroidism,1,1,1,hypothyroidism,
i agree,1,1,1,i agree,
i do not agree,1,1,1,i do not agree,
idealization,1,1,1,idealization,
identification,1,1,1,identification,
igf1 / 2,1,1,1,igf1 / 2,strong_audit_residual_translation_or_scope
igfbp1-6,1,1,1,igfbp1-6,strong_audit_residual_translation_or_scope
imaginary and symbolic elaboration,1,1,1,imaginary and symbolic elaboration,
immunology,1,1,1,immunology,
impasse,1,1,1,impasse,
impulsive and restrictive behaviors,1,1,1,impulsive and restrictive behaviors,
impulsiveness,1,1,1,impulsiveness,
incest,1,1,1,incest,
incompetence / incapacity,1,1,1,incompetence / incapacity,
indeks słów kluczowych,1,1,1,indeks słów kluczowych,
indications to the terapia,1,1,1,indications to the terapia,
indigenous peoples of the north siberia,1,1,1,indigenous peoples of the north siberia,
innowacje,1,1,1,innowacje,
instynkt,1,1,1,instynkt,
insulinooporność,1,1,1,insulinooporność,
interferon,1,1,1,interferon,
interferon beta,1,1,1,interferon beta,
introjekt,1,1,1,introjekt,
intymność,1,1,1,intymność,
irritable bowel zespół,1,1,1,irritable bowel zespół,strong_audit_residual_translation_or_scope
jakość of care,1,1,1,jakość of care,
kliniczny intuition,1,1,1,kliniczny intuition,
kliniczny utility,1,1,1,kliniczny utility,
kluver-bucy zespół,1,1,1,kluver-bucy zespół,strong_audit_residual_translation_or_scope
kryteria normatywne,1,1,1,kryteria normatywne,
kulturystyka nierywalizacyjna,1,1,1,kulturystyka nierywalizacyjna,
lacosamide,1,1,1,lacosamide,
language,1,1,1,language,
language exercises,1,1,1,language exercises,
lc,1,1,1,lc,strong_audit_residual_translation_or_scope
left ventricular hypertrophy,1,1,1,left ventricular hypertrophy,
lesch typology,1,1,1,lesch typology,
leucotomy,1,1,1,leucotomy,
lipedema,1,1,1,lipedema,
lipomatosis,1,1,1,lipomatosis,
lithuania,1,1,1,lithuania,
long-acting injectable depot formulation,1,1,1,long-acting injectable depot formulation,strong_audit_residual_translation_or_scope
luts,1,1,1,luts,strong_audit_residual_translation_or_scope
major oporność,1,1,1,major oporność,
manganese superoxide dismutase,1,1,1,manganese superoxide dismutase,
manipulation,1,1,1,manipulation,
manuls,1,1,1,manuls,
marihuana,1,1,1,marihuana,
maskarada,1,1,1,maskarada,
mastektomia,1,1,1,mastektomia,
mastektomia profilaktyczna,1,1,1,mastektomia profilaktyczna,
małżeński,1,1,1,małżeński,
mechanizmy,1,1,1,mechanizmy,
media,1,1,1,media,
mediational perspective,1,1,1,mediational perspective,
meditation,1,1,1,meditation,
memantine,1,1,1,memantine,
metacognition,1,1,1,metacognition,
metadon,1,1,1,metadon,
methamphetamine users,1,1,1,methamphetamine users,
midazolam,1,1,1,midazolam,
migrena,1,1,1,migrena,
mikrobiom,1,1,1,mikrobiom,
mikromacierz oligonukleotydowa,1,1,1,mikromacierz oligonukleotydowa,
mindful eating,1,1,1,mindful eating,
mirror processes,1,1,1,mirror processes,
mixed state,1,1,1,mixed state,
mizofonia,1,1,1,mizofonia,
monoterpen,1,1,1,monoterpen,
moralny agent,1,1,1,moralny agent,
moralny wstręt,1,1,1,moralny wstręt,
mr terapia,1,1,1,mr terapia,
music terapia,1,1,1,music terapia,
napływ,1,1,1,napływ,
nawrót,1,1,1,nawrót,
newsletter,1,1,1,newsletter,
newsletter 2,1,1,1,newsletter 2,strong_audit_residual_translation_or_scope
niedopasowanie,1,1,1,niedopasowanie,
niewydolność,1,1,1,niewydolność,
niewydolność nerek,1,1,1,niewydolność nerek,
novel terapia,1,1,1,novel terapia,
o-życie,1,1,1,o-życie,
obraz,1,1,1,obraz,
odżywianie,1,1,1,odżywianie,
oksytocyna,1,1,1,oksytocyna,
organiczność,1,1,1,organiczność,
osadzeni,1,1,1,osadzeni,
osobisty terapia,1,1,1,osobisty terapia,
osoby 60+,1,1,1,osoby 60+,strong_audit_residual_translation_or_scope
osocze,1,1,1,osocze,
osteologia,1,1,1,osteologia,
pacjenci,1,1,1,pacjenci,strong_audit_residual_translation_or_scope
parametry of mobilisation of the unconscious,1,1,1,parametry of mobilisation of the unconscious,
paternalizm,1,1,1,paternalizm,
patogenowy wstręt,1,1,1,patogenowy wstręt,
patologia,1,1,1,patologia,
patologiczne skubanie skóry,1,1,1,patologiczne skubanie skóry,
patologiczne zamartwianie się,1,1,1,patologiczne zamartwianie się,
patologiczny,1,1,1,patologiczny,
periodontal zdrowie,1,1,1,periodontal zdrowie,
pierwotny chłoniak ośrodkowego układu nerwowego,1,1,1,pierwotny chłoniak ośrodkowego układu nerwowego,
po wypisie,1,1,1,po wypisie,
poczucie sprawstwa,1,1,1,poczucie sprawstwa,
polimorfizm,1,1,1,polimorfizm,
polskie mity,1,1,1,polskie mity,
polskie mity patriotyczne,1,1,1,polskie mity patriotyczne,
pompa insulinowa,1,1,1,pompa insulinowa,
popędliwość negatywna,1,1,1,popędliwość negatywna,
popędliwość pozytywna,1,1,1,popędliwość pozytywna,
pornografia,1,1,1,pornografia,
poród drogami natury,1,1,1,poród drogami natury,
postkomunistyczny,1,1,1,postkomunistyczny,
postmodernizm,1,1,1,postmodernizm,
postrzegana kontrola,1,1,1,postrzegana kontrola,
potrzeby pacjentów,1,1,1,potrzeby pacjentów,
położnictwo,1,1,1,położnictwo,
praktyk,1,1,1,praktyk,
prescription,1,1,1,prescription,
pretherapy waiting,1,1,1,pretherapy waiting,
primary zdrowie care,1,1,1,primary zdrowie care,
problem prawny,1,1,1,problem prawny,
profilaktyczne usunięcie przydatków,1,1,1,profilaktyczne usunięcie przydatków,
propofol,1,1,1,propofol,
prospective iu,1,1,1,prospective iu,
przedawkowania,1,1,1,przedawkowania,
psorasis,1,1,1,psorasis,
pssi-persnlichkeits-stil-und strungs-inventar,1,1,1,pssi-persnlichkeits-stil-und strungs-inventar,strong_audit_residual_translation_or_scope
psychical activity,1,1,1,psychical activity,
