analysis_period_order,analysis_period,keyword_concept_polish_analysis,n_keyword_records,n_articles,example_raw_keywords
1,2005-2009,epidemiologia i rozpowszechnienie,3,3,change in consultation frequency | prevalence | strategies of mapping
1,2005-2009,"etyka, prawo i polityka zdrowotna",3,3,Ethical Issues | Privacy policy | ethical dilemmas
1,2005-2009,"filozofia, fenomenologia i antropologia",3,3,metaphor | philosophy | philosophy of life
1,2005-2009,jakość życia i dobrostan,3,3,quality of life | subjective quality of life
1,2005-2009,"praca, edukacja i funkcjonowanie zawodowe",3,3,compliance
2,2010-2014,schizofrenia i zaburzenia psychotyczne,76,59,BPD | Borderline Personality Disorder | Krakow Depression Inventory (KID) | Personality Disorders | Psychosomatic therapy | Schizophrenia | adolescent depression | antipshychotics
2,2010-2014,zaburzenia osobowości i cechy osobowości,41,32,HRT in child trichotillomania | Psychotherapy | The Code of Ethics for Psychotherapists | adolescence | adolescent | adolescent girls | adolescent ward | adolescents
2,2010-2014,zaburzenia odżywiania i obraz ciała,38,25,Body Attitude Test | Body Composition | anorexia | anorexia nervosa | attitudes towards the body and eating | binge eating disorder (BED) | body image | body image disturbance
2,2010-2014,interwencje terapeutyczne i rehabilitacja,28,23,Community mental health services | Intervention studies | Mental Disorders | Mental Health | Psychiatrically-impaired mental health practitioners | Residential Psychiatric Treatment | Staff Supervision | Staff Training
2,2010-2014,choroby somatyczne i współchorobowość medyczna,25,20,Asthma | aspirin-induced asthma | asthma | asthma severity | cardiomyopathy | cardiovascular risk | comorbidity | connective tissue diseases
2,2010-2014,"trauma, PTSD i zaburzenia stresowe",20,18,PTSD | complex posttraumatic states | interpersonal trauma | post-traumatic growth | sexual traumatic events | stress | stress coping mechanisms | trauma
2,2010-2014,depresja i zaburzenia depresyjne,17,16,CAQ -Clinical Analysis Questionnaire | Cognitive Error Rating Scale | Figure Rating Scale | KON-2006 Neurotic Personality Questionnaire | adult assessment | bipolar affective disorder | bipolar disorder | bipolar disorders
2,2010-2014,metodologia badań i projekt badawczy,16,16,Core Conflictual Relationship Theme Method | Hypnoanalysis | bioelectrical impedance analysis | cost-effectiveness analysis | discriminate analysis | epidemiological studies | epidemiological study | follow-up study
2,2010-2014,zaburzenia używania substancji i uzależnienia,17,15,abuse | alcohol dependence | gender | gender difference | obsessive compulsive symptoms and symptoms of psychoactive substance use | sexual disorders | sexual dysfunctions | sexual problems
2,2010-2014,"samoocena, tożsamość i obraz siebie",16,15,adequacy of perception | adoption | aggression | ecological perception | motivation to exercise | self perception | self-aggression | self-discrepancy
2,2010-2014,"neurobiologia, genetyka i biomarkery",20,13,5-HT1A receptors | D2 receptors | NMDA | Neurosis | Neurotrophic Tyrosine Receptor Kinase | Osteogenesis imperfect | SNAP-25 gene | brain-derived
2,2010-2014,funkcjonowanie społeczne i wsparcie społeczne,14,11,Interpersonal Functioning | Interpersonal Relational Patterns | Interpersonal functioning | Polish-Jewish relations | attachment theory | core conflictual relationship theme | interpersonal patterns | nonverbal and verbal communication
2,2010-2014,lęk i zaburzenia lękowe,10,10,Panic Disorder | anxiety | anxiety disorders | night terror | panic disorder
2,2010-2014,zaburzenia neurorozwojowe i autyzm,9,8,ADHD | cognitive function | cognitive functions | executive function | memory | neurocognitive impairement | neurodevelopmental hypothesis | selective attention
2,2010-2014,"historia, pamięć i trauma zbiorowa",8,8,Holocaust | Multiple Sclerosis | history of Polish psychiatry | locked psychiatric ward
2,2010-2014,"emocje, afekt i regulacja emocji",7,7,affective | dream emotions | emotional development | empathy | guilt | mood | self-regulation competences
2,2010-2014,stres i radzenie sobie,7,7,adaptation | coping pathophysiology | coping patterns | early maladaptive schemas | emotion-focused coping | religious coping | resilience
2,2010-2014,psychoanaliza i podejście psychodynamiczne,6,6,CCRT | Psychoanalytic training | defence mechanisms | psychoanalysis | psychodynamics
2,2010-2014,"dzieci, adolescenci i rodzina",6,5,Primary Schools | childbirth | infant | infant observation | parentification | primary school
2,2010-2014,samobójczość i autoagresja,6,5,deliberate self-harm | suicide | suicide attempts
2,2010-2014,"agresja, przemoc i zachowania antyspołeczne",5,5,criminal insanity | penitentiary unit | violence
2,2010-2014,jakość życia i dobrostan,5,5,quality of life | sense of life satisfaction | shape dissatisfaction
2,2010-2014,psychiatria i zdrowie psychiczne,5,5,American Psychiatric Association | person-oriented psychiatry | psychiatric disability | psychiatry
2,2010-2014,funkcjonowanie poznawcze i neuropsychologia,5,4,Cognitive Dysmetria | cognitive | cognitive errors | cognitive rigidity | cognitive triad
2,2010-2014,psychoterapia i proces terapeutyczny,5,4,counter-transference | transference | transference-countertransference relationship
2,2010-2014,"ocena kliniczna, psychometria i narzędzia pomiarowe",4,4,ASRQ | CPRS | psychometric properties | rating scales
2,2010-2014,psychologia kliniczna i koncepcje psychologiczne,4,4,autonomy | flexibility | personal autonomy | psychological traits
2,2010-2014,"wyniki leczenia, skuteczność i rokowanie",4,4,Recovery from Psychiatric Disability | effectiveness | efficacy profile | recovery
2,2010-2014,klasyfikacje diagnostyczne i systemy nozologiczne,7,3,DSM | DSM5 | ICD | classification | classifications in psychiatry | diagnostic approach
2,2010-2014,"filozofia, fenomenologia i antropologia",4,3,Phlosophy | metaphor | phenomenology | philosophy
3,2015-2019,schizofrenia i zaburzenia psychotyczne,64,52,Antidepressant | Depressin | Keywords: Acting on delusions | Psychosocial support | Treatment resistant bipolar depression | adolescent depression | alcohol psychosis | antipsychotic
3,2015-2019,zaburzenia osobowości i cechy osobowości,49,40,Big Five | Family Genogram Interview | Family practice | Nuclear Family Functioning Scale | Personality System Interactions - PSI | Psychotherapy | adolescent | adolescents
3,2015-2019,zaburzenia używania substancji i uzależnienia,30,21,Addiction Severity | Alcohol Use Disorder | abuse | addiction to mobile phone | addicts | alcohol abuse | alcohol dependence | alcohol use disorders
3,2015-2019,"trauma, PTSD i zaburzenia stresowe",30,20,Biographic traumata | Economic stresses | Health and family stresses | Love Trauma Syndrome | Sexual Minority Stress Scale (SMSS) | Social stresses | complex post-traumatic states | coping strategies
3,2015-2019,choroby somatyczne i współchorobowość medyczna,21,20,Epilepsy | Psychiatric morbidity | cancer | co-morbidity | diabetes | diabetes mellitus | gestational diabetes | medical (clinical) psychology
3,2015-2019,interwencje terapeutyczne i rehabilitacja,22,19,Mental Disorders | Mental Health | Therapies in burnout | augmentation | burnout | clinical management | endurance training | high-interval intensity training
3,2015-2019,depresja i zaburzenia depresyjne,20,18,Maslach Burnout Inventory | Personality Belief Questionnaire | assessment | bipolar disorder | bipolar mood disorders | differential diagnosis | impact of event scale- revisited | neuropsychological assessment
3,2015-2019,"emocje, afekt i regulacja emocji",19,17,Empathy_ | affective disorder | emotion recognition | emotion regulation | emotional eating | emotional instability | emotional intelligence | emotional processes
3,2015-2019,metodologia badań i projekt badawczy,17,15,case study | clinical trial | epidemiology | exploratory study | follow-up study | integrative model | meta-analysis | non-clinical sample
3,2015-2019,funkcjonowanie społeczne i wsparcie społeczne,14,14,Social Skills_ | interpersonal functioning | marital relations | peer | sibling relationships | social frustration | social functioning | social skills
3,2015-2019,lęk i zaburzenia lękowe,14,12,Short Health Anxiety Inventory | agoraphobia with panic attacks | anxiety | generalized anxiety disorder | health anxiety | illness anxiety disorder | social anxiety | social phobia
3,2015-2019,"samoocena, tożsamość i obraz siebie",14,12,Motivation | adoption | adoption identity | aggression | interpretation | perception | perception of aggression | population norms
3,2015-2019,farmakoterapia i leki psychotropowe,12,12,Jerzy W. Aleksandrowicz | alexithymia | aripiprazole | chronic low backache | chronic pain | chronic renal failure | drug | electroconvulsive therapy
3,2015-2019,zaburzenia odżywiania i obraz ciała,17,11,Body image concern | anorexia nervosa | body attitudes | body dissatisfaction | body image | body image perception | disordered body image | eating attitudes
3,2015-2019,zaburzenia neurorozwojowe i autyzm,14,11,ADHD | Autism Spectrum Disorders | Cognitive Impairment in AUD | adult attention deficit hyperactivity disorder | autism_ | cognition | cognitive functioning | cognitive functions
3,2015-2019,"neurobiologia, genetyka i biomarkery",12,9,EEG-biofeedback | Gene mutation | Neurotransmission | agenesis of carpos callosum | cortisol | gut-brain axis | neuropsychological tests | neurotic conflict
3,2015-2019,psychoanaliza i podejście psychodynamiczne,12,9,Davanloo | Freud | Psychodynamic therapy | defense mechanisms | mentalization | psychoanalysis | psychodynamic therapists
3,2015-2019,choroby sercowo-naczyniowe,9,8,Myocardial Infarctions | Myocardial infarction | cardiac patients | hypertension | hypertension-mediated organ damage | stroke
3,2015-2019,"dzieci, adolescenci i rodzina",8,8,St. Petersburg School of Clinical Psychology | childhood adversity | childlessness | grandparents | students
3,2015-2019,terapia poznawczo-behawioralna i terapie trzeciej fali,8,7,CBT | Mindfulness | acceptance and commitment therapy | cognitive behavioral therapy | cognitive behavioural therapy | existential cognitive-behavioral therapy
3,2015-2019,funkcjonowanie poznawcze i neuropsychologia,7,7,cognitive | cognitive control | cognitive errors | cognitive restraint | cognitive restructuring | theory of mind
3,2015-2019,jakość życia i dobrostan,7,7,Oral Health Related Quality of Life | psychological well-being | psychophysical wellbeing | quality of life | well-being
3,2015-2019,psychologia kliniczna i koncepcje psychologiczne,7,7,autonomy | clinical psychology | creativity | flexibility | psychology | psychophysiology | sense of coherence
3,2015-2019,psychiatria i zdrowie psychiczne,7,6,dynamic psychiatry | psychiatric clinical care | psychiatrist | psychiatry
3,2015-2019,samobójczość i autoagresja,13,5,NSSI | Suicide ideation | attempted suicide | autoaggresion | self-harm | self-harming | self-mutilation | suicidal thoughts
3,2015-2019,klasyfikacje diagnostyczne i systemy nozologiczne,7,5,DSM-5 | ICD-11 | classification | classification trees | classifications in psychiatry | diagnostic tips
3,2015-2019,zaburzenie obsesyjno-kompulsyjne i pokrewne,6,5,OCD | OCRDs | obsessive compulsive disorder | obsessive-compulsive disorder | obsessive-compulsive disorder (OCD)
3,2015-2019,dorośli i etapy życia,5,5,adulthood | early adulthood | men
3,2015-2019,"ryzyko, czynniki ochronne i predyktory",5,5,common factors | demographic factors | risk | risk factors
3,2015-2019,stres i radzenie sobie,5,5,adaptation | coping | coping styles | resilience
4,2020-2025,schizofrenia i zaburzenia psychotyczne,78,61,Antidepressant | Depressed mood | Depression | Depressive disorder | First Episode Schizophrenia | Psychosocial Impact | Psychosomatic disorder | antipsychotic agents
4,2020-2025,interwencje terapeutyczne i rehabilitacja,57,52,Affect regulation training | Early Intervention | Mental Disorders | Mental Health | Mental health | Multidisciplinary Treatment | Residential Psychiatric Treatment | Resiliency training
4,2020-2025,zaburzenia osobowości i cechy osobowości,48,39,Adolescents | Regulatory Theory of Temperament | The big five personality factors | adolescence | affective temperaments | antisocial disorders | child temperament | children and adolescents
4,2020-2025,funkcjonowanie społeczne i wsparcie społeczne,35,29,Attachment | Paternal prenatal bonding | Paternal–fetal attachment | Social Media | anti-stigma campaign | attachment | attachment style | care relationship
4,2020-2025,lęk i zaburzenia lękowe,30,29,Anxiety | Health anxiety to Covid-19 | Youth Anxiety Measure for DSM-5 | anxiety | anxiety disorder | anxiety disorders | anxiety sensitivity | ecological anxiety
4,2020-2025,"trauma, PTSD i zaburzenia stresowe",38,28,PTSD | Posttraumatic Stress Disorder (PTSD) | Stress | Traumatic lower limb surgery | childhood trauma | chronic stress | cognitive processing of trauma | cognitive trauma processing
4,2020-2025,choroby somatyczne i współchorobowość medyczna,30,28,Atopic Dermatitis | Psychiatric illness | Type 1 diabetes | cancer | comorbidity | coronary diseases | coronary surgery | diabetes type 1
4,2020-2025,COVID-19 i pandemia,30,24,COVID-19 | COVID-19 pandemic | Covid-19 | SARS-COV-2 | SARS-CoV-2 | SARS-Cov-2 | coronavirus | covid-19
4,2020-2025,zaburzenia używania substancji i uzależnienia,27,22,Fetal Alcohol Syndrome | Opioid Stabilization | alcohol addiction | alcohol consumption | alcohol use disorder | alcohol-exposed pregnancy | behavioral addictions | cannabis
4,2020-2025,"samoocena, tożsamość i obraz siebie",26,22,Intolerance of uncertainty | Prolonged Exposure | aggression | coherence | facial expression | hospitalization | identity quest | inhibitory IU
4,2020-2025,"neurobiologia, genetyka i biomarkery",23,19,Anti-N Methyl-D-Aspartate Receptor Antibodies | Autoimmune Encephalitis | BRCA gene mutation | Brainspotting therapy | General Factor Specification | Neurofibromatosis 1 | Neuropsychiatric Manifestations | autoimmune disease
4,2020-2025,"emocje, afekt i regulacja emocji",22,19,Emotional Disposition | Facial emotion | Negative affects | Positive affects | anhedonia change | anhedonia intensity | emotion recognition | emotion regulation
4,2020-2025,psychologia kliniczna i koncepcje psychologiczne,17,15,Psychological Assistance | Psychological Immunity | creativity | flexibility | impulsivity | psychological Flow | psychological counselors | psychological disorders
4,2020-2025,depresja i zaburzenia depresyjne,12,12,Attitude Scale | Conners Scale | bipolar disorders | diagnosis | dual diagnosis | mood disorder | personality assessment | psychological assessment
4,2020-2025,zaburzenia neurorozwojowe i autyzm,14,11,: Attention deficit hyperactivity disorder | Cognitive function | autism | autism spectrum | autism spectrum disorders | cognitive functions | cognitive impairments | developmental dyslexia
4,2020-2025,metodologia badań i projekt badawczy,14,10,Dimensional models | Follow-up | Growth Resources Model | animal model | bifactor model | case study | coping methods | cross-lagged panel analysis
4,2020-2025,zaburzenia odżywiania i obraz ciała,12,9,anorexia nervosa | body esteem | body mass index | bulimia nervosa | diabulimia | disordered eating | distorted body image | eating disorders
4,2020-2025,"praca, edukacja i funkcjonowanie zawodowe",10,9,Health care workers | education | health care workers (hcws) | health workers | healthcare professionals | interdisciplinary cooperation | professionals | psychiatric nurses
4,2020-2025,technologie cyfrowe i internet,8,8,Instagram | Online Help | computer-assisted image processing | online | online therapy | thendency to computer games
4,2020-2025,jakość życia i dobrostan,8,7,Health related Quality of Life | Quality of Life | Quality of Life (QoL) | health -related quality of life | life satisfaction | marital satisfaction | quality of life | well-being
4,2020-2025,farmakoterapia i leki psychotropowe,7,7,Chronic Pain | alexithymia | chronic disease | chronic pain | electroconvulsive therapy | individual barriers to taking medications
4,2020-2025,dorośli i etapy życia,6,6,adulthood | adults | bisexual men | early adulthood | putamen | young adults
4,2020-2025,"postawy, stigma i przekonania",6,6,Metacognitive beliefs | attitude | attitudes | dysfunctional attitudes
4,2020-2025,stres i radzenie sobie,6,6,coping | coping styles | early maladaptive schemas | psychological hardiness | resilience
4,2020-2025,samobójczość i autoagresja,9,5,non suicidal self-injury | self-harm | suicidal behaviour | suicide | suicide attempt
4,2020-2025,"dzieci, adolescenci i rodzina",6,5,childbearing age women | childlessness | co-dependent mothers | parental attitudes | parenthood | school achievements
4,2020-2025,funkcjonowanie poznawcze i neuropsychologia,6,5,Cognitive Processing Therapy | cognitive biases | cognitive control | cognitive flexibility | cognitive inhibition | theory of mind
4,2020-2025,terapia poznawczo-behawioralna i terapie trzeciej fali,6,5,CBT | Contact Centre | cognitive- behavioral therapy | cognitive-behavioral therapy | dialectical behavior therapyDBT | mindfulness
4,2020-2025,"ryzyko, czynniki ochronne i predyktory",5,5,clinical high risk | determinants of health | risk factor | risk factors | risk managment
4,2020-2025,starzenie się i osoby starsze,5,5,Alzheimer's disease | Elderly | dementia of the Alzheimer type | older workers | the elderly
