keyword_semantic_3c_id,keyword_concept_polish_final,keyword_concept_en_final,n_records,n_articles,n_input_expanded_concepts,input_expanded_concepts,raw_variants,review_flag_3c
app_sem3c_0442,funkcjonowanie poznawcze,cognitive functioning,40,34,11,attention-deficit/hyperactivity disorder | cognitive functioning | collective memory | executive function | individual memory | memory | memory disturbance | mild cognitive impairment | selective attention | working memory | working memory deficit,: Attention deficit hyperactivity disorder | ADHD | Cognitive Impairment in AUD | Cognitive function | adult attention deficit hyperactivity disorder | cognition | cognitive deficits | cognitive dysfunctions | cognitive function | cognitive functioning | cognitive functions | cognitive impairments | collective memory | executive function | executive functions | individual memory | memory | memory disturbances | mild cognitive impairment | neurocognitive function | neurocognitive impairement | selective attention | working memory | working memory deficits,ok
app_sem3c_0934,"płeć, seksualność i tożsamość płciowa",gender/sexuality,38,32,23,atypical gender identity development | convicted sexual offenders | gender | gender difference | gender identity in childhood | gender role conflict | gender variance | psychological gender | risky sexual behavior | sexual abuse | sexual disgust | sexual disorder | sexual dysfunction | sexual functioning | sexual identity | sexual life | sexual minority men | sexual offending | sexual problems | sexual satisfaction | sexuality | the number of sex partners | the quality of sexuality,atypical gender identity development | convicted sexual offenders | gender | gender difference | gender identity | gender identity in childhood | gender role conflict | gender variance | psychological gender | risky sexual behavior | sexual abuse | sexual disgust | sexual disorders | sexual dysfunction | sexual dysfunctions | sexual functioning | sexual identity | sexual life | sexual minority men | sexual offending | sexual problems | sexual satisfaction | sexuality | the number of sex partners | the quality of sexuality,ok
app_sem3c_0233,COVID-19,covid-19,30,24,2,covid-19 | pandemic,COVID-19 | COVID-19 pandemic | Covid-19 | SARS-COV-2 | SARS-CoV-2 | SARS-Cov-2 | coronavirus | covid-19 | pandemic | pandemics,ok
app_sem3c_0443,funkcjonowanie społeczne i wsparcie społeczne,social functioning/support,25,25,9,anti-stigma campaign | anticipated and experienced stigma | community social support | loneliness | social functioning | social skills | social support | stigma | weight stigma,Social Skills_ | anti-stigma campaign | anticipated and experienced stigma | community social support | loneliness | social functioning | social skills | social support | stigma | support group | weight stigma,ok
app_sem3c_0412,farmakoterapia i leki psychotropowe,pharmacotherapy/psychotropic medication,24,22,8,antidepressants | antipsychotics | clozapine | medication adherence | paroxetine | pharmacotherapy | second generation antipsychotic | venlafaxine,Antidepressant | antipshychotics | antipsychotic | antipsychotic agents | antipsychotics | clozapine | medication adherence | paroxetine | pharmacotherapy | problems of drug therapy | second generation antipsychotics | venlafaxine,ok
app_sem3c_0764,osobowość i zaburzenia osobowości,personality/personality disorders,24,21,7,antisocial personality disorder/borderline personality disorder | borderline personality disorder | narcissism | personality disorders | personality traits | personality traits changes | schizoid personality disorder,BPD | Borderline Personality Disorder | Personality Disorders | antisocial personality disorder / borderline personality disorder | borderline personality disorder | narcissism | personality disorder | personality disorders | personality traits | personality traits changes | schizoid personality disorder,ok
app_sem3c_0980,samobójczość,suicidality,23,13,2,non-suicidal self-injury | suicidality,Suicide ideation | attempted suicide | non suicidal self-injury | self-harm | suicidal behaviour | suicidal thoughts | suicide | suicide attempt | suicide attempts,ok
app_sem3c_1205,zaburzenie afektywne dwubiegunowe,bipolar disorder,23,22,5,bipolar affective illness | bipolar disorder | bipolar mood disorder | bipolar spectrum | spectrum of bipolar disorder,bipolar affective disorder | bipolar affective illness | bipolar disorder | bipolar disorders | bipolar mood disorders | bipolar spectrum | spectrum of bipolar disorder,ok
app_sem3c_0746,obraz ciała i postawy wobec ciała,body image/body attitudes,22,17,3,body attitude test | body image/body attitudes | body mass index,Body Attitude Test | Body image concern | body attitudes | body dissatisfaction | body esteem | body image | body image disturbance | body image perception | body mass index | body percept | body self | disordered body image | distorted body image,ok
app_sem3c_0579,jakość życia i dobrostan,quality of life/well-being,21,20,6,life satisfaction | psychological well-being | psychophysical wellbeing | quality of life | sense of life satisfaction | well-being,Health related Quality of Life | Oral Health Related Quality of Life | Quality of Life | Quality of Life (QoL) | health -related quality of life | life satisfaction | psychological well-being | psychophysical wellbeing | quality of life | sense of life satisfaction | subjective quality of life | well-being,ok
app_sem3c_0850,praca i zdrowie psychiczne zawodowe,work/occupational mental health,19,17,11,burnout | job satisfaction | occupational burnout | occupational diseases | physician-patient relation | professional burnout | social work | staff supervision | staff training | structured professional judgement | therapies in burnout,Staff Supervision | Staff Training | Therapies in burnout | burnout | job satisfaction | occupational burnout | occupational diseases | physician-patient relation | professional burnout | social work | structured professional judgement,ok
app_sem3c_1203,zaburzenia używania substancji i uzależnienia,substance use disorder/addictions,16,16,7,addiction severity | addiction to mobile phone | cannabis | internet addiction | opioid stabilization | social media addiction | substance use disorder,Addiction Severity | Opioid Stabilization | addiction to mobile phone | cannabis | drug addiction | internet addiction | obsessive compulsive symptoms and symptoms of psychoactive substance use | social media addiction | substance abuse | substance use disorder | substance use disorders,ok
app_sem3c_1209,zaburzenie używania alkoholu,alcohol use disorder,16,14,1,alcohol use disorder,Alcohol Use Disorder | alcohol abuse | alcohol addiction | alcohol dependence | alcohol use disorder | alcohol use disorders | alcohol-addiction | alcoholism | alcoholism morbidity rate,ok
app_sem3c_1061,starzenie się i osoby starsze,aging/older adults,13,12,6,alzheimer's disease | dementia | dementia of the alzheimer type | elderly | older workers | the elderly,Alzheimer's disease | Elderly | dementia | dementia of the Alzheimer type | older workers | the elderly,ok
app_sem3c_1010,sen i zaburzenia snu,sleep disorders/sleep,12,9,9,nightmare sufferers | parasomnia | rem sleep | rem sleep behavior disorder | sleep apnea | sleep disorder | sleep disturbance | sleep paralysis | sleep quality,REM sleep | REM sleep behaviour disorder | nightmare sufferers | parasomnia | sleep apnea | sleep disorder | sleep disorders | sleep disturbance | sleep disturbances | sleep paralysis | sleep quality,ok
app_sem3c_0896,psychoanaliza i podejście psychodynamiczne,psychoanalysis/psychodynamic approach,11,11,5,psychoanalysis | psychoanalytic instinct theory | psychoanalytic training | psychodynamic therapist | psychodynamic therapy,Psychoanalytic training | Psychodynamic therapy | psychoanalysis | psychoanalytic instinct theory | psychodynamic therapists,ok
app_sem3c_1106,terapia poznawczo-behawioralna,cognitive behavioral therapy,11,9,1,cognitive behavioral therapy,CBT | cognitive behavioral therapy | cognitive behaviour therapy | cognitive behavioural therapy | cognitive- behavioral therapy | cognitive-behavioral therapy,ok
app_sem3c_0772,otyłość,obesity,10,10,1,obesity,obesity,ok
app_sem3c_1207,zaburzenie obsesyjno-kompulsyjne,obsessive-compulsive disorder,10,10,4,compulsive sexual behavior disorder | emotional injury ocd | obsessive-compulsive disorder | obsessive-compulsive disorder (ocd),OCD | Obsessive-compulsive disorder | compulsive sexual behavior disorders | emotional injury OCD | obsessive compulsive disorder | obsessive-compulsive disorder | obsessive-compulsive disorder (OCD),ok
app_sem3c_0763,osobowość,personality,9,9,1,personality,personality,ok
app_sem3c_0883,psychiatria,psychiatry,9,9,1,psychiatry,Psychiatry | psychiatry,ok
app_sem3c_1193,współchorobowość,comorbidity,9,9,1,comorbidity,co-morbidity | comorbidity,ok
app_sem3c_0609,leczenie,treatment,8,8,1,treatment,treatment,ok
app_sem3c_0492,Holokaust,holocaust,7,7,1,holocaust,Holocaust | holocaust,ok
app_sem3c_0825,postawa,attitude,7,7,1,attitude,attitude,ok
app_sem3c_1208,zaburzenie paniczne,panic disorder,7,7,2,agoraphobia with panic attacks | panic disorder,Panic Disorder | agoraphobia with panic attacks | panic disorder,ok
app_sem3c_0373,empatia,empathy,6,6,1,empathy,empathy,ok
app_sem3c_0646,mechanizm obronny,defense mechanism,6,6,1,defense mechanism,defence mechanisms | defense mechanisms,ok
app_sem3c_0981,samoocena,self-esteem,6,6,1,self-esteem,self-esteem,ok
app_sem3c_1206,zaburzenie nerwicowe,neurotic disorder,6,6,1,neurotic disorder,neurotic disorder | neurotic disorders,ok
app_sem3c_1210,zaburzenie ze spektrum autyzmu,autism spectrum disorder,6,6,1,autism spectrum disorder,Autism Spectrum Disorders | autism | autism spectrum | autism spectrum disorders | autism_,ok
app_sem3c_1228,zespół metaboliczny,metabolic syndrome,6,6,1,metabolic syndrome,metabolic syndrome,ok
app_sem3c_0028,agresja,aggression,5,5,1,aggression,aggression,ok
app_sem3c_0211,coping,coping,5,5,1,coping,coping,ok
app_sem3c_0378,epidemiological study,epidemiological study,5,5,1,epidemiological study,epidemiological studies | epidemiological study,ok
app_sem3c_0429,follow-up study,follow-up study,5,5,1,follow-up study,follow-up study,ok
app_sem3c_0812,poczucie własnej skuteczności,self-efficacy,5,5,1,self-efficacy,self-efficacy,ok
app_sem3c_0872,przemoc,violence,5,5,1,violence,violence,ok
app_sem3c_0901,psychoedukacja,psychoeducation,5,5,1,psychoeducation,psychoeduation | psychoeducation,ok
app_sem3c_0969,risk factor,risk factor,5,5,1,risk factor,risk factor | risk factors,ok
app_sem3c_1030,skuteczność,effectiveness,5,5,1,effectiveness,effectiveness | effectivness,ok
app_sem3c_1188,women,women,5,5,1,women,women,ok
app_sem3c_1195,współpraca w leczeniu,compliance,5,5,1,compliance,compliance,ok
app_sem3c_0068,asthma,asthma,4,4,1,asthma,Asthma | asthma,ok
app_sem3c_0136,ból,pain,4,4,1,pain,pain,ok
app_sem3c_0149,case study,case study,4,4,1,case study,case study,ok
app_sem3c_0299,dorosłość i osoby dorosłe,adulthood/adults,4,4,1,adulthood/adults,adulthood | adults,ok
app_sem3c_0364,emotional intelligence,emotional intelligence,4,4,1,emotional intelligence,emotional intelligence,ok
app_sem3c_0566,interpretation,interpretation,4,4,1,interpretation,interpretation,ok
app_sem3c_0598,kontekst sądowo-penitencjarny,forensic/penitentiary context,4,4,4,criminal insanity | forensic psychiatry | penitentiary unit | prison,criminal insanity | forensic psychiatry | penitentiary unit | prison,ok
app_sem3c_0600,kreatywność,creativity,4,4,1,creativity,creativity,ok
app_sem3c_0637,markery biologiczne i neuroobrazowanie,biological markers/neuroimaging,4,4,4,eeg-biofeedback | fmri | magnetic resonance imaging | proton magnetic resonance spectroscopy,EEG-biofeedback | fMRI | magnetic resonance imaging | proton magnetic resonance spectroscopy,ok
app_sem3c_0856,prevalence,prevalence,4,4,1,prevalence,prevalence,ok
app_sem3c_0879,przywiązanie,attachment,4,4,1,attachment,Attachment | attachment,ok
app_sem3c_0971,rodzeństwo,siblings,4,4,1,siblings,siblings,ok
app_sem3c_1073,students,students,4,4,1,students,students,ok
app_sem3c_0014,adoption,adoption,3,3,1,adoption,adoption,ok
app_sem3c_0035,alexithymia,alexithymia,3,3,1,alexithymia,alexithymia,ok
app_sem3c_0137,ból przewlekły,chronic pain,3,3,1,chronic pain,Chronic Pain | chronic pain,ok
app_sem3c_0142,cardiac pacjenci,cardiac patients,3,3,1,cardiac patients,cardiac patients,ok
app_sem3c_0173,classifications in psychiatry,classifications in psychiatry,3,3,1,classifications in psychiatry,classifications in psychiatry,ok
app_sem3c_0215,coping style,coping style,3,3,1,coping style,coping styles,ok
app_sem3c_0314,dynamika objawów,symptom dynamics,3,3,1,symptom dynamics,symptom dynamics,ok
app_sem3c_0336,eating postawa,eating attitude,3,3,1,eating attitude,eating attitude | eating attitudes,ok
app_sem3c_0343,education,education,3,3,1,education,education,ok
app_sem3c_0350,elastyczność,flexibility,3,3,1,flexibility,flexibility,ok
app_sem3c_0356,emocja recognition,emotion recognition,3,3,1,emotion recognition,emotion recognition,ok
app_sem3c_0357,emocja regulation,emotion regulation,3,3,1,emotion regulation,emotion regulation,ok
app_sem3c_0403,facial expression,facial expression,3,3,1,facial expression,facial expression,ok
app_sem3c_0456,genetics,genetics,3,3,1,genetics,genetics,ok
app_sem3c_0467,group terapia,group therapy,3,3,1,group therapy,group therapy,ok
app_sem3c_0473,guilt,guilt,3,3,1,guilt,guilt,ok
app_sem3c_0495,homoseksualność,homosexuality,3,3,1,homosexuality,homosexuality,ok
app_sem3c_0530,india,india,3,3,1,india,India,ok
app_sem3c_0562,interpersonal funkcjonowanie,interpersonal functioning,3,3,1,interpersonal functioning,Interpersonal Functioning | Interpersonal functioning | interpersonal functioning,ok
app_sem3c_0689,motivation,motivation,3,3,1,motivation,Motivation | motivation,ok
app_sem3c_0718,neuroscience,neuroscience,3,3,1,neuroscience,neuroscience,ok
app_sem3c_0732,niepełnosprawność,disability,3,3,1,disability,disability,ok
app_sem3c_0740,nowotwór,cancer,3,3,1,cancer,cancer,ok
app_sem3c_0921,psychophysiology,psychophysiology,3,3,1,psychophysiology,psychophysiology,ok
app_sem3c_0927,psychosomatic zaburzenie,psychosomatic disorder,3,3,1,psychosomatic disorder,Psychosomatic disorder | psychosomatic disorders,ok
app_sem3c_0942,recovery,recovery,3,3,1,recovery,recovery,ok
app_sem3c_0944,rehabilitation,rehabilitation,3,3,1,rehabilitation,rehabilitation,ok
app_sem3c_0959,research,research,3,3,1,research,research,ok
app_sem3c_0961,resilience,resilience,3,3,1,resilience,resilience,ok
app_sem3c_0982,samouszkodzenia i autoagresja,self-harm/self-injury,3,3,3,deliberate self-harm | nssi | self-mutilation,NSSI | deliberate self-harm | self-mutilation,ok
app_sem3c_1002,self-obraz,self-image,3,3,1,self-image,self-image,ok
app_sem3c_1016,sense of coherence,sense of coherence,3,3,1,sense of coherence,sense of coherence,ok
app_sem3c_1077,styl przywiązania,attachment style,3,3,1,attachment style,attachment style,ok
app_sem3c_1103,teoria umysłu,theory of mind,3,3,1,theory of mind,theory of mind,ok
app_sem3c_1104,terapia,therapy,3,3,1,therapy,therapy,ok
app_sem3c_1105,terapia elektrowstrząsowa,electroconvulsive therapy,3,3,1,electroconvulsive therapy,electroconvulsive therapy,ok
app_sem3c_1122,therapist technique,therapist technique,3,3,1,therapist technique,therapist technique,ok
app_sem3c_1154,uważność,mindfulness,3,3,1,mindfulness,Mindfulness | mindfulness,ok
app_sem3c_1155,uzależnienie,dependence,3,3,1,dependence,dependence,ok
app_sem3c_1174,wczesna dorosłość,early adulthood,3,3,1,early adulthood,early adulthood,ok
app_sem3c_1225,zdrowienie z niepełnosprawności psychiatrycznej,recovery from psychiatric disability,3,3,1,recovery from psychiatric disability,Recovery from Psychiatric Disability | recovery from psychiatric disability,ok
app_sem3c_0009,adaptation,adaptation,2,2,1,adaptation,adaptation,ok
app_sem3c_0012,adherence,adherence,2,2,1,adherence,adherence,ok
app_sem3c_0024,affective zaburzenie,affective disorder,2,2,1,affective disorder,affective disorder | affective disorders,ok
app_sem3c_0030,aktywność fizyczna,physical activity,2,2,1,physical activity,physical activity,ok
app_sem3c_0044,angioplastyka wieńcowa,coronary angioplasty,2,2,1,coronary angioplasty,coronary angioplasty,ok
app_sem3c_0086,autonomia,autonomy,2,2,1,autonomy,autonomy,ok
app_sem3c_0090,balint group,balint group,2,2,1,balint group,Balint group | Balint groups,ok
app_sem3c_0095,bezdzietność,childlessness,2,2,1,childlessness,childlessness,ok
app_sem3c_0108,biopsychospołeczny,biopsychosocial,2,2,1,biopsychosocial,biopsychosocial,ok
app_sem3c_0123,brca1,brca1,2,2,1,brca1,BRCA1,ok
app_sem3c_0139,błędy poznawcze,cognitive errors,2,2,1,cognitive errors,cognitive errors,ok
app_sem3c_0144,cardiomyopathy,cardiomyopathy,2,2,1,cardiomyopathy,cardiomyopathy,ok
app_sem3c_0152,całodobowe leczenie psychiatryczne,residential psychiatric treatment,2,2,1,residential psychiatric treatment,Residential Psychiatric Treatment,ok
app_sem3c_0154,ccrt,ccrt,2,2,1,ccrt,CCRT,strong_review_unresolved_acronym
app_sem3c_0164,choroba wieńcowa,coronary artery disease,2,2,1,coronary artery disease,coronary artery disease,ok
app_sem3c_0168,cidi,cidi,2,2,1,cidi,CIDI,strong_review_unresolved_acronym
app_sem3c_0170,ciąża,pregnancy,2,2,1,pregnancy,pregnancy,ok
app_sem3c_0171,classification,classification,2,2,1,classification,classification,ok
app_sem3c_0197,computer-assisted obraz processing,computer-assisted image processing,2,2,1,computer-assisted image processing,computer-assisted image processing,ok
app_sem3c_0202,conflict,conflict,2,2,1,conflict,conflict,ok
app_sem3c_0227,counseling,counseling,2,2,1,counseling,counseling,ok
app_sem3c_0228,counter-transference,counter-transference,2,2,1,counter-transference,counter-transference,ok
app_sem3c_0234,cprs,cprs,2,2,1,cprs,CPRS,strong_review_unresolved_acronym
app_sem3c_0246,culture,culture,2,2,1,culture,culture,ok
app_sem3c_0247,curriculum,curriculum,2,2,1,curriculum,curriculum,ok
app_sem3c_0253,częstość akcji serca,heart rate,2,2,1,heart rate,heart rate,ok
app_sem3c_0257,davanloo,davanloo,2,2,1,davanloo,Davanloo,ok
app_sem3c_0267,deficit,deficit,2,2,1,deficit,deficit,ok
app_sem3c_0270,delusion,delusion,2,2,1,delusion,delusions,ok
app_sem3c_0273,deportation,deportation,2,2,1,deportation,deportation,ok
app_sem3c_0279,detekcja sygnału,signal detection,2,2,1,signal detection,signal detection,ok
app_sem3c_0298,dopamine,dopamine,2,2,1,dopamine,dopamine,ok
app_sem3c_0301,dramatology,dramatology,2,2,1,dramatology,dramatology,ok
app_sem3c_0317,dysfunctional postawa,dysfunctional attitude,2,2,1,dysfunctional attitude,dysfunctional attitude | dysfunctional attitudes,ok
app_sem3c_0318,dyskineza późna,tardive dyskinesia,2,2,1,tardive dyskinesia,tardive dyskinesia,ok
app_sem3c_0327,early maladaptive schemas,early maladaptive schemas,2,2,1,early maladaptive schemas,early maladaptive schemas,ok
app_sem3c_0332,eat-26,eat-26,2,2,1,eat-26,EAT-26 | eat-26,ok
app_sem3c_0342,editors,editors,2,2,1,editors,editors,ok
app_sem3c_0347,egosyntoniczność,egosyntonicity,2,2,1,egosyntonicity,egosyntonicity,ok
app_sem3c_0349,ekspresja złości,anger expression,2,2,1,anger expression,anger expression,ok
app_sem3c_0359,emocje,emotions,2,2,1,emotions,emotions,ok
app_sem3c_0377,epidemic,epidemic,2,2,1,epidemic,epidemic,ok
app_sem3c_0380,epilepsy,epilepsy,2,2,1,epilepsy,Epilepsy | epilepsy,ok
app_sem3c_0402,facial emocja,facial emotion,2,2,1,facial emotion,Facial emotion | facial emotion,ok
app_sem3c_0413,fear,fear,2,2,1,fear,fear,strong_review_unresolved_acronym
app_sem3c_0420,first-degree relatives,first-degree relatives,2,2,1,first-degree relatives,first-degree relatives,ok
app_sem3c_0421,first-episode,first-episode,2,2,1,first-episode,first-episode,ok
app_sem3c_0434,formułowanie przypadku,formulation,2,2,1,formulation,formulation,ok
app_sem3c_0439,from,from,2,2,1,from,from,strong_review_unresolved_acronym
app_sem3c_0441,functional zaburzenie,functional disorder,2,2,1,functional disorder,functional disorders,ok
app_sem3c_0474,gut microbiota,gut microbiota,2,2,1,gut microbiota,gut microbiota,ok
app_sem3c_0489,history of psychiatry,history of psychiatry,2,2,1,history of psychiatry,history of psychiatry,ok
app_sem3c_0498,hospitalization,hospitalization,2,2,1,hospitalization,hospitalization,ok
app_sem3c_0502,humor style,humor style,2,2,1,humor style,humour style | humour styles,ok
app_sem3c_0509,hypnosis,hypnosis,2,2,1,hypnosis,hypnosis,ok
app_sem3c_0516,icd-11,icd-11,2,2,1,icd-11,ICD-11,ok
app_sem3c_0526,impulsywność,impulsivity,2,2,1,impulsivity,impulsivity,ok
app_sem3c_0545,instagram,instagram,2,2,1,instagram,Instagram,ok
app_sem3c_0552,integrative model,integrative model,2,2,1,integrative model,integrative model,ok
app_sem3c_0554,intensive,intensive,2,2,1,intensive,Intensive,ok
app_sem3c_0599,kontrola złości,anger control,2,2,1,anger control,anger control,ok
app_sem3c_0602,krótkoterminowy,short-term,2,2,1,short-term,Short-term,ok
app_sem3c_0648,media społecznościowe,social media,2,2,1,social media,Social Media | social media,ok
app_sem3c_0652,medical course,medical course,2,2,1,medical course,medical course,ok
