keyword_concept_polish_3d_aggregated,n_records,n_articles,n_previous_concepts,example_previous_concepts,review_flag_3d,manual_audit_decision,exclusion_reason
first-person account,1,1,1,first-person account,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
fkbp5,1,1,1,fkbp5,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
frontal lobe zespół,1,1,1,frontal lobe zespół,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
gay,1,1,1,gay,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
gg,1,1,1,gg,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
gh,1,1,1,gh,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
hh,1,1,1,hh,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
high sensitive c-reactive protein,1,1,1,high sensitive c-reactive protein,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
hiv,1,1,1,hiv,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
hj,1,1,1,hj,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
hope,1,1,1,hope,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
hplc,1,1,1,hplc,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
igf1 / 2,1,1,1,igf1 / 2,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
igfbp1-6,1,1,1,igfbp1-6,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
irritable bowel zespół,1,1,1,irritable bowel zespół,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
kluver-bucy zespół,1,1,1,kluver-bucy zespół,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
lc,1,1,1,lc,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
long-acting injectable depot formulation,1,1,1,long-acting injectable depot formulation,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
luts,1,1,1,luts,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
newsletter 2,1,1,1,newsletter 2,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
osoby 60+,1,1,1,osoby 60+,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
pacjenci,1,1,1,pacjenci,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
pssi-persnlichkeits-stil-und strungs-inventar,1,1,1,pssi-persnlichkeits-stil-und strungs-inventar,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
sasb,1,1,1,sasb,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
short-term dynamic terapia,1,1,1,short-term dynamic terapia,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
socio-demographic characteristics,1,1,1,socio-demographic characteristics,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
sodium-glucose co-transporter-2 inhibitor,1,1,1,sodium-glucose co-transporter-2 inhibitor,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
stq-now,1,1,1,stq-now,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
strp,1,1,1,strp,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
tako-tsubo,1,1,1,tako-tsubo,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
thin-ideal internalization,1,1,1,thin-ideal internalization,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
type 2 (ntrk2),1,1,1,type 2 (ntrk2),strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
uk,1,1,1,uk,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
yoga,1,1,1,yoga,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
zdrowie 2.0,1,1,1,zdrowie 2.0,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
zdrowie-related behavior,1,1,1,zdrowie-related behavior,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
zespół,1,1,1,zespół,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all 73 strong-audit concepts
