article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,keyword_url,normalization_actions,keyword_norm_id,keyword_concept_en_expanded,keyword_concept_polish_expanded,semantic_expanded_action,semantic_expanded_confidence,keyword_semantic_expanded_id,review_flag_expanded,keyword_concept_en_final,semantic_3c_action,semantic_3c_confidence,keyword_concept_polish_final,polish_translation_method_3c,review_flag_3c,keyword_semantic_3c_id,keyword_concept_polish_3d_aggregated,keyword_semantic_3d_aggregated_id,semantic_3d_action,semantic_3d_confidence,review_flag_3d,manual_audit_decision,exclusion_reason
153224,"https://www.archivespp.pl/Desensitization-of-conflicted-feelings-using-the-ATOS-to-measure-early-change-in,153224,0,2.html",2009,11,1,Desensitization of conflicted feelings: using the ATOS to measure early change in a single-case affect phobia therapy treatment,3,short-term dynamic therapy,short-term dynamic therapy,short-term dynamic therapy,short-term dynamic terapia,app_sem_1416,no_semantic_change,token_partial_review,medium,translation_review,https://www.archivespp.pl/Keyword-short-term+dynamic+therapy/438121,unchanged,app_kw_1465,short-term dynamic therapy,short-term dynamic terapia,no_expanded_semantic_change,medium,app_sem_exp_1272,translation_review,short-term dynamic therapy,no_additional_merge,medium,short-term dynamic terapia,fallback_phrase_translation,ok,app_sem3c_0996,short-term dynamic terapia,short_term_dynamic_terapia,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153261,"https://www.archivespp.pl/In-the-face-of-anti-Semitism-thoughts-of-Polish-psychotherapists,153261,0,2.html",2010,12,1,In the face of anti-Semitism: thoughts of Polish psychotherapists,2,anti-Semitism,anti-semitism,anti-semitism,anti-semitism,app_sem_0079,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-anti-Semitism/259435,lowercase,app_kw_0081,anti-semitism,anti-semitism,no_expanded_semantic_change,low,app_sem_exp_0063,translation_review,anti-semitism,no_additional_merge,low,anti-semitism,fallback_untranslated_or_international,ok,app_sem3c_0050,anti-semitism,anti_semitism,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153265,"https://www.archivespp.pl/Association-analysis-of-polymorphisms-of-the-NTRK2-and-BDNF-genes-with-bipolar-affective,153265,0,2.html",2010,12,2,Association analysis of polymorphisms of the NTRK2 and BDNF genes with bipolar affective disorder in a Polish sample,7,type 2 (NTRK2),type 2 (ntrk2),type 2 (ntrk2),type 2 (ntrk2),app_sem_1585,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-type+2+%28NTRK2%29/438153,lowercase,app_kw_1639,type 2 (ntrk2),type 2 (ntrk2),no_expanded_semantic_change,low,app_sem_exp_1420,translation_review,type 2 (ntrk2),no_additional_merge,low,type 2 (ntrk2),fallback_untranslated_or_international,ok,app_sem3c_1120,type 2 (ntrk2),type_2_ntrk2,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153280,"https://www.archivespp.pl/Pilot-study-of-KON-2006-in-the-Czech-Republic,153280,0,2.html",2010,12,3,Pilot study of KON-2006 in the Czech Republic,4,PSSI-Persnlichkeits-Stil-und Strungs-Inventar,pssi-persnlichkeits-stil-und strungs-inventar,pssi-persnlichkeits-stil-und strungs-inventar,pssi-persnlichkeits-stil-und strungs-inventar,app_sem_1196,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-PSSI-Persnlichkeits-Stil-und+Strungs-Inventar/438172,lowercase,app_kw_1236,pssi-persnlichkeits-stil-und strungs-inventar,pssi-persnlichkeits-stil-und strungs-inventar,no_expanded_semantic_change,low,app_sem_exp_1073,translation_review,pssi-persnlichkeits-stil-und strungs-inventar,no_additional_merge,low,pssi-persnlichkeits-stil-und strungs-inventar,fallback_untranslated_or_international,strong_review_typo_or_garbled_term,app_sem3c_0847,pssi-persnlichkeits-stil-und strungs-inventar,pssi_persnlichkeits_stil_und_strungs_inventar,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153281,"https://www.archivespp.pl/Self-perception-among-patients-with-multiple-sclerosis,153281,0,2.html",2010,12,3,Self perception among patients with multiple sclerosis,3,ACL,acl,acl,acl,app_sem_0009,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-ACL/27025,lowercase,app_kw_0009,acl,acl,no_expanded_semantic_change,low,app_sem_exp_0008,translation_review,acl,no_additional_merge,low,acl,fallback_untranslated_or_international,ok,app_sem3c_0007,acl,acl,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153284,"https://www.archivespp.pl/Long-term-pharmacotherapy-of-schizophrenic-patients-Achievements-unsolved-needs-and,153284,0,2.html",2010,12,4,"Long-term pharmacotherapy of schizophrenic patients: Achievements, unsolved needs and future perspectives with special focus on long-acting injectable second generation antipsychotics",5,long-acting injectable depot formulation,long-acting injectable depot formulation,long-acting injectable depot formulation,long-acting injectable depot formulation,app_sem_0855,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-long-acting+injectable+depot+formulation/438180,unchanged,app_kw_0887,long-acting injectable depot formulation,long-acting injectable depot formulation,no_expanded_semantic_change,low,app_sem_exp_0759,translation_review,long-acting injectable depot formulation,no_additional_merge,low,long-acting injectable depot formulation,fallback_untranslated_or_international,ok,app_sem3c_0604,long-acting injectable depot formulation,long_acting_injectable_depot_formulation,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153292,"https://www.archivespp.pl/Treatment-without-consent-dialogue-or-psychiatric-language-games-,153292,0,2.html",2011,13,1,"Treatment without consent - dialogue, or psychiatric language games?",4,discussion with anti- and postpsychiatry,discussion with anti-and postpsychiatry,discussion with anti-and postpsychiatry,discussion with anti-and postpsychiatry,app_sem_0460,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-discussion+with+anti-+and+postpsychiatry/438190,hyphen_spacing,app_kw_0476,discussion with anti-and postpsychiatry,discussion with anti-and postpsychiatry,no_expanded_semantic_change,low,app_sem_exp_0400,translation_review,discussion with anti-and postpsychiatry,no_additional_merge,low,discussion with anti-and postpsychiatry,fallback_untranslated_or_international,ok,app_sem3c_0296,discussion with anti-and postpsychiatry,discussion_with_anti_and_postpsychiatry,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153315,"https://www.archivespp.pl/Psychosomatics-how-it-should-be-understood-nowadays,153315,0,2.html",2011,13,3,Psychosomatics - how it should be understood nowadays,5,health-related behavior,health-related behavior,health-related behavior,zdrowie-related behavior,app_sem_0709,no_semantic_change,token_partial_review,medium,translation_review,https://www.archivespp.pl/Keyword-health-related+behavior/85394,unchanged,app_kw_0739,health-related behavior,zdrowie-related behavior,no_expanded_semantic_change,medium,app_sem_exp_0616,translation_review,health-related behavior,no_additional_merge,medium,zdrowie-related behavior,fallback_phrase_translation,ok,app_sem3c_1216,zdrowie-related behavior,zdrowie_related_behavior,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153324,"https://www.archivespp.pl/Davanloo-s-Intensive-Short-term-Dynamic-Psychotherapy-Application-and-understanding,153324,0,2.html",2011,13,4,Davanloo's Intensive Short-term Dynamic Psychotherapy. Application and understanding the theoretical and technical principles of this method in treatment of resistant patients,4,PMR,pmr,pmr,pmr,app_sem_1134,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-PMR/438218,lowercase,app_kw_1173,pmr,pmr,no_expanded_semantic_change,low,app_sem_exp_1019,translation_review,pmr,no_additional_merge,low,PMR,direct_rare_glossary,ok,app_sem3c_0766,PMR,pmr,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153325,"https://www.archivespp.pl/Neuropsychological-characteristic-of-post-traumatic-Kluver-Bucy-Syndrome,153325,0,2.html",2011,13,4,Neuropsychological characteristic of post-traumatic Kluver-Bucy Syndrome,1,Kluver-Bucy Syndrome,kluver-bucy syndrome,kluver-bucy syndrome,kluver-bucy zespół,app_sem_0834,no_semantic_change,token_partial_review,medium,translation_review,https://www.archivespp.pl/Keyword-Kluver-Bucy+Syndrome/438220,lowercase,app_kw_0866,kluver-bucy syndrome,kluver-bucy zespół,no_expanded_semantic_change,medium,app_sem_exp_0738,translation_review,kluver-bucy syndrome,no_additional_merge,medium,kluver-bucy zespół,previous_polish_retained,ok,app_sem3c_0570,kluver-bucy zespół,kluver_bucy_zespo,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153336,"https://www.archivespp.pl/Haplotype-analysis-of-DRD2-and-ANKK1-gene-polymorphisms-in-alcohol-dependence,153336,0,2.html",2012,14,2,Haplotype analysis of DRD2 and ANKK1 gene polymorphisms in alcohol dependence,1,STRP,strp,strp,strp,app_sem_1483,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-STRP/379993,lowercase,app_kw_1535,strp,strp,no_expanded_semantic_change,low,app_sem_exp_1332,translation_review,strp,no_additional_merge,low,strp,fallback_untranslated_or_international,ok,app_sem3c_1044,strp,strp,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153339,"https://www.archivespp.pl/Assessing-the-link-between-coping-patterns-and-interpersonal-behaviors-in-depressed,153339,0,2.html",2012,14,2,Assessing the link between coping patterns and interpersonal behaviors in depressed women,7,SASB,sasb,sasb,sasb,app_sem_1342,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-SASB/438242,lowercase,app_kw_1390,sasb,sasb,no_expanded_semantic_change,low,app_sem_exp_1203,translation_review,sasb,no_additional_merge,low,sasb,fallback_untranslated_or_international,ok,app_sem3c_0956,sasb,sasb,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153354,"https://www.archivespp.pl/Characteristics-of-subjects-with-self-reported-history-of-psychosis-who-were-interested,153354,0,2.html",2012,14,4,Characteristics of subjects with self reported history of psychosis who were interested in self-assessment of their functional status via online e-diaries,6,Health 2.0,health 2.0,health 2.0,zdrowie 2.0,app_sem_0698,no_semantic_change,token_full,high,ok,https://www.archivespp.pl/Keyword-Health+2.0/438263,lowercase,app_kw_0727,health 2.0,zdrowie 2.0,no_expanded_semantic_change,high,app_sem_exp_0609,ok,health 2.0,no_additional_merge,high,zdrowie 2.0,fallback_phrase_translation,ok,app_sem3c_1208,zdrowie 2.0,zdrowie_2_0,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153356,"https://www.archivespp.pl/Determination-of-venlafaxine-and-its-metabolites-in-biological-materials,153356,0,2.html",2012,14,4,Determination of venlafaxine and its metabolites in biological materials,3,HPLC,hplc,hplc,hplc,app_sem_0732,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-HPLC/5793,lowercase,app_kw_0763,hplc,hplc,no_expanded_semantic_change,low,app_sem_exp_0639,translation_review,hplc,no_additional_merge,low,hplc,fallback_untranslated_or_international,ok,app_sem3c_0501,hplc,hplc,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153356,"https://www.archivespp.pl/Determination-of-venlafaxine-and-its-metabolites-in-biological-materials,153356,0,2.html",2012,14,4,Determination of venlafaxine and its metabolites in biological materials,5,LC,lc,lc,lc,app_sem_0842,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-LC/263761,lowercase,app_kw_0874,lc,lc,no_expanded_semantic_change,low,app_sem_exp_0746,translation_review,lc,no_additional_merge,low,lc,fallback_untranslated_or_international,ok,app_sem3c_0589,lc,lc,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
153357,"https://www.archivespp.pl/Osteogenesis-imperfecta-associated-with-recurrent-depressive-episodes-and-postpartum,153357,0,2.html",2012,14,4,Osteogenesis imperfecta associated with recurrent depressive episodes and postpartum psychosis in a 27-year-old women,5,chromosome 17,chromosome 17,chromosome 17,chromosome 17,app_sem_0253,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-chromosome+17/438269,unchanged,app_kw_0261,chromosome 17,chromosome 17,no_expanded_semantic_change,low,app_sem_exp_0214,translation_review,chromosome 17,no_additional_merge,low,chromosome 17,fallback_untranslated_or_international,ok,app_sem3c_0173,chromosome 17,chromosome_17,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
57974,"https://www.archivespp.pl/Psychophysiological-concepts-of-stress-induced-cardiomyopathy-with-broken-heart-syndrome-as-a-paradigm,57974,0,2.html",2013,15,2,Psychophysiological concepts of stress induced cardiomyopathy with broken heart syndrome as a paradigm,2,Tako-Tsubo,tako-tsubo,tako-tsubo,tako-tsubo,app_sem_1521,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-Tako-Tsubo/2244,lowercase,app_kw_1575,tako-tsubo,tako-tsubo,no_expanded_semantic_change,low,app_sem_exp_1361,translation_review,tako-tsubo,no_additional_merge,low,tako-tsubo,fallback_untranslated_or_international,ok,app_sem3c_1073,tako-tsubo,tako_tsubo,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
57942,"https://www.archivespp.pl/-Cerebellar-cognitive-affective-syndrome-CCAS-a-case-report-,57942,0,2.html",2013,15,3,“Cerebellar cognitive affective syndrome CCAS – a case report”,4,syndrome,syndrome,syndrome,zespół,app_sem_1515,no_semantic_change,token_full,high,ok,https://www.archivespp.pl/Keyword-syndrome/1385,unchanged,app_kw_1569,syndrome,zespół,no_expanded_semantic_change,high,app_sem_exp_1355,ok,syndrome,no_additional_merge,high,zespół,previous_polish_retained,ok,app_sem3c_1219,zespół,zespo,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
57943,"https://www.archivespp.pl/Premature-termination-in-couple-therapy-as-a-part-of-therapeutic-process-,57943,0,2.html",2014,16,2,Premature termination in couple therapy as a part of therapeutic process.,3,drop-out,drop-out,drop-out,drop-out,app_sem_0479,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-drop-out/9177,unchanged,app_kw_0495,drop-out,drop-out,no_expanded_semantic_change,low,app_sem_exp_0415,translation_review,drop-out,no_additional_merge,low,drop-out,fallback_untranslated_or_international,ok,app_sem3c_0308,drop-out,drop_out,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
57997,"https://www.archivespp.pl/The-comparison-of-behavioral-and-emotional-problems-in-children-with-a-bipolar-parent-and-children-with-healthy-parents-in-Zahedan-Iran-2011,57997,0,2.html",2014,16,3,"The comparison of behavioral and emotional problems in children with a bipolar parent and children with healthy parents in Zahedan, Iran, 2011",2,CBCL score,cbcl score,cbcl score,cbcl score,app_sem_0227,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-CBCL+score/4910,lowercase,app_kw_0234,cbcl score,cbcl score,no_expanded_semantic_change,low,app_sem_exp_0192,translation_review,cbcl score,no_additional_merge,low,cbcl score,fallback_untranslated_or_international,ok,app_sem3c_0154,cbcl score,cbcl_score,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
57954,"https://www.archivespp.pl/First-person-account-on-psychiatric-disability-a-case-of-bipolar-disorder,57954,0,2.html",2014,16,3,First-person account on psychiatric disability: a case of bipolar disorder,3,First-Person Account,first-person account,first-person account,first-person account,app_sem_0631,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-First-Person+Account/11840,lowercase,app_kw_0660,first-person account,first-person account,no_expanded_semantic_change,low,app_sem_exp_0545,translation_review,first-person account,no_additional_merge,low,first-person account,fallback_untranslated_or_international,ok,app_sem3c_0421,first-person account,first_person_account,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
57969,"https://www.archivespp.pl/Why-is-it-important-to-monitor-the-diet-of-overweight-patients-with-depressive-disorders-,57969,0,2.html",2014,16,4,Why is it important to monitor the diet of overweight patients with depressive disorders?,2,diet,diet,diet,diet,app_sem_0453,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-diet/1380,unchanged,app_kw_0469,diet,diet,no_expanded_semantic_change,low,app_sem_exp_0393,translation_review,diet,no_additional_merge,low,diet,fallback_untranslated_or_international,ok,app_sem3c_0291,diet,diet,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
61610,"https://www.archivespp.pl/An-analysis-of-the-sibling-relationship-in-adulthood-Polish-adaptation-of-STQ-Now,61610,0,2.html",2016,18,1,An analysis of the sibling relationship in adulthood. Polish adaptation of STQ-Now,5,STQ-Now,stq-now,stq-now,stq-now,app_sem_1474,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-STQ-Now/63899,lowercase,app_kw_1526,stq-now,stq-now,no_expanded_semantic_change,low,app_sem_exp_1327,translation_review,stq-now,no_additional_merge,low,stq-now,fallback_untranslated_or_international,ok,app_sem3c_1039,stq-now,stq_now,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
63511,"https://www.archivespp.pl/Brain-biopsy-in-the-diagnosis-of-Creutzfeldt-Jakob-disease-with-a-history-of-prodromal-psychiatric-symptoms-and-catatonic-behavior,63511,0,2.html",2016,18,2,Brain biopsy in the diagnosis of Creutzfeldt-Jakob disease with a history of prodromal psychiatric symptoms and catatonic behavior,1,Creutzfeldt-Jakob disease,creutzfeldt-jakob disease,creutzfeldt-jakob disease,creutzfeldt-jakob choroba,app_sem_0386,no_semantic_change,token_partial_review,medium,translation_review,https://www.archivespp.pl/Keyword-Creutzfeldt-Jakob+disease/308,lowercase,app_kw_0400,creutzfeldt-jakob disease,creutzfeldt-jakob choroba,no_expanded_semantic_change,medium,app_sem_exp_0332,translation_review,creutzfeldt-jakob disease,no_additional_merge,medium,creutzfeldt-jakob disease,fallback_untranslated_or_international,ok,app_sem3c_0235,creutzfeldt-jakob disease,creutzfeldt_jakob_disease,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
63647,"https://www.archivespp.pl/Analysis-of-the-EAT-26-in-a-non-clinical-sample,63647,0,2.html",2016,18,2,Analysis of the EAT-26 in a non-clinical sample,1,EAT-26,eat-26,eat-26,EAT-26,app_sem_0504,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-EAT-26/76597,lowercase,app_kw_0521,eat-26,EAT-26,no_expanded_semantic_change,high,app_sem_exp_0436,ok,eat-26,no_additional_merge,high,eat-26,fallback_untranslated_or_international,ok,app_sem3c_0333,eat-26,eat_26,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
63754,"https://www.archivespp.pl/When-electroconvulsive-therapy-fails-cognitive-behavioral-therapy-in-treatment-resistant-bipolar-depression-A-case-report,63754,0,2.html",2016,18,2,When electroconvulsive therapy fails: cognitive– behavioral therapy in treatment-resistant bipolar depression. A case report,4,ECT,ect,ect,ect,app_sem_0519,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-ECT/60555,lowercase,app_kw_0537,ect,ect,no_expanded_semantic_change,low,app_sem_exp_0446,translation_review,ect,no_additional_merge,low,ect,fallback_untranslated_or_international,ok,app_sem3c_0341,ect,ect,unchanged,low,strong_audit_residual_translation_or_scope,exclude,manual expert decision: exclude all strong-audit concepts from stage 3d
