keyword_concept_polish_analysis,n_records,n_articles,n_previous_3c_concepts,example_raw_keywords,example_previous_concepts
depresja i zaburzenia depresyjne,68,63,3,Attitude Scale | CAQ -Clinical Analysis Questionnaire | Cognitive Error Rating Scale | Conners Scale | Experiencing Scale | Figure Rating Scale | KON-2006 Neurotic Personality Questionnaire | Maslach Burnout Inventory | Mood Disorder Questionnaire | Olfactory Obsessions Questionnaire | Personality Belief Questionnaire | The Offer Self-Image Questionnaire for Adolescents,nastrój zaburzenie | ocena kliniczna i psychometria | zaburzenie afektywne dwubiegunowe
lęk i zaburzenia lękowe,65,61,8,Anxiety | Health anxiety to Covid-19 | Panic Disorder | Short Health Anxiety Inventory | Youth Anxiety Measure for DSM-5 | affect phobia model | agoraphobia | agoraphobia with panic attacks | anxiety | anxiety disorder | anxiety disorders | anxiety paradoxical effects,affect phobia model | agoraphobia | lęk i zaburzenia lękowe | lęk nocny | panika | phobic zaburzenie | społeczny phobia | zaburzenie paniczne
metodologia badań i projekt badawczy,57,51,43,1-year follow-up | Core Conflictual Relationship Theme Method | Dimensional models | Follow-up | Growth Resources Model | Hypnoanalysis | animal model | bifactor model | bioelectrical impedance analysis | case study | clinical trial | coping methods,1-year follow-up | analiza integralności | animal model | badania | badanie epidemiologiczne | badanie jakościowe | badanie lekarskie | badanie obserwacyjne follow-up | bifactor model | bioelectrical impedance analysis | coping metody | core conflictual relationship theme metoda
"emocje, afekt i regulacja emocji",56,49,34,Emotional Disposition | Empathy_ | Facial emotion | Negative affects | Positive affects | affective | affective disorder | affective disorders | anger control | anger expression | anhedonia change | anhedonia intensity,afekty negatywne | afekty pozytywne | affective | affective zaburzenie | anhedonia change | anhedonia intensity | dream emocje | ekspresja złości | emocja recognition | emocja regulation | emocje | emotional development
zaburzenia neurorozwojowe i autyzm,48,40,4,: Attention deficit hyperactivity disorder | ADHD | Autism Spectrum Disorders | Cognitive Impairment in AUD | Cognitive function | adult attention deficit hyperactivity disorder | autism | autism spectrum | autism spectrum disorders | autism_ | cognition | cognitive deficits,developmental dyslexia | funkcjonowanie poznawcze | hipoteza neurorozwojowa | zaburzenie ze spektrum autyzmu
COVID-19 i pandemia,30,24,1,COVID-19 | COVID-19 pandemic | Covid-19 | SARS-COV-2 | SARS-CoV-2 | SARS-Cov-2 | coronavirus | covid-19 | pandemic | pandemics,COVID-19
psychologia kliniczna i koncepcje psychologiczne,29,27,17,Psychological Assistance | Psychological Immunity | autonomy | clinical psychology | creativity | flexibility | impulsivity | personal autonomy | psychological Flow | psychological counselors | psychological disorders | psychological help,autonomia | autonomia osobista | elastyczność | impulsywność | kliniczny psychology | kreatywność | poczucie koherencji | psychofizjologia | psychologiczny assistance | psychologiczny counselors | psychologiczny flow | psychologiczny help
samobójczość i autoagresja,28,15,4,NSSI | Suicide ideation | attempted suicide | autoaggresion | deliberate self-harm | non suicidal self-injury | self-harm | self-harming | self-mutilation | suicidal behaviour | suicidal thoughts | suicide,autoaggresion | samobójczość | samouszkodzenia i autoagresja | self-harming
psychoanaliza i podejście psychodynamiczne,26,23,8,CCRT | Davanloo | Freud | Psychoanalytic training | Psychodynamic therapy | defence mechanisms | defense mechanisms | mentalization | object relations | psychoanalysis | psychoanalytic instinct theory | psychodynamic therapists,CCRT | Davanloo | freud | mechanizm obronny | mentalizacja | psychoanaliza i podejście psychodynamiczne | psychodynamics | relacje z obiektem
"historia, pamięć i trauma zbiorowa",23,22,15,Archive | Holocaust | Multiple Sclerosis | Warsaw Ghetto Uprising | day-care ward | experience of values | history of Polish psychiatry | history of psychiatry | holocaust | locked psychiatric ward | multiple sclerosis (MS) | personal values,Holokaust | archive | day-care ward | experience of wartości | historia of polish psychiatry | historia psychiatrii | locked psychiatryczny ward | oddział psychiatryczny | stwardnienie rozsiane | stwardnienie rozsiane (SM) | war | warsaw ghetto uprising
jakość życia i dobrostan,23,22,3,Health related Quality of Life | Oral Health Related Quality of Life | Quality of Life | Quality of Life (QoL) | health -related quality of life | life satisfaction | marital satisfaction | psychological well-being | psychophysical wellbeing | quality of life | sense of life satisfaction | shape dissatisfaction,jakość życia i dobrostan | satysfakcja małżeńska | shape dissatisfaction
farmakoterapia i leki psychotropowe,22,22,16,Chronic Pain | Jerzy W. Aleksandrowicz | O-demethylvenlafaxine | alexithymia | aripiprazole | chronic disease | chronic fatigue | chronic low backache | chronic mentally ill persons | chronic pain | chronic renal failure | drug,Jerzy W. Aleksandrowicz | O-demetylowenlafaksyna | aleksytymia | aripiprazole | ból przewlekły | drug | farmakokinetyka | indywidualne bariery przyjmowania leków | komisja lekarska | przewlekły choroba | przewlekły fatigue | przewlekły low backache
"dzieci, adolescenci i rodzina",20,18,15,Primary Schools | St. Petersburg School of Clinical Psychology | childbearing age women | childbirth | childhood adversity | childlessness | co-dependent mothers | grandparents | infant | infant observation | parental attitudes | parenthood,bezdzietność | childbearing age kobiety | childbirth | co-dependent mothers | dzieciństwo adversity | grandparents | niemowlę | obserwacja niemowlęcia | parental postawa | parentyfikacja | rodzicielstwo | school achievements
funkcjonowanie poznawcze i neuropsychologia,20,18,15,Cognitive Dysmetria | Cognitive Processing Therapy | cognitive | cognitive appraisal | cognitive approach | cognitive biases | cognitive control | cognitive errors | cognitive flexibility | cognitive inhibition | cognitive restraint | cognitive restructuring,błędy poznawcze | poznawczy | poznawczy appraisal | poznawczy approach | poznawczy biases | poznawczy control | poznawczy dysmetria | poznawczy flexibility | poznawczy inhibition | poznawczy processing terapia | poznawczy restraint | poznawczy restructuring
stres i radzenie sobie,20,20,10,adaptation | coping | coping pathophysiology | coping patterns | coping styles | early maladaptive schemas | emotion-focused coping | psychological hardiness | religious coping | resilience,adaptacja | coping pathophysiology | coping wzorce | emocja-focused coping | psychologiczny hardiness | radzenie sobie | religious coping | rezyliencja | styl radzenia sobie | wczesne schematy dezadaptacyjne
terapia poznawczo-behawioralna i terapie trzeciej fali,19,16,7,CBT | Contact Centre | Mindfulness | acceptance and commitment therapy | cognitive behavioral therapy | cognitive behaviour therapy | cognitive behavioural therapy | cognitive- behavioral therapy | cognitive-behavioral therapy | contact with the patient | dialectical behavior therapyDBT | existential cognitive-behavioral therapy,acceptance and commitment terapia | contact centre | contact with the pacjent | dialectical zachowanie therapydbt | existential poznawczy-behavioral terapia | terapia poznawczo-behawioralna | uważność
klasyfikacje diagnostyczne i systemy nozologiczne,18,12,14,DSM | DSM-5 | DSM5 | ICD | ICD-11 | Misdiagnosis | classification | classification trees | classifications in psychiatry | diagnostic approach | diagnostic procedures | diagnostic tips,ICD-11 | błędna diagnoza | diagnostic approach | diagnostic procedures | diagnostic tips | dsm | dsm-5 | dsm5 | icd | klasyfikacja | klasyfikacja trees | klasyfikacje w psychiatrii
"praca, edukacja i funkcjonowanie zawodowe",18,17,12,Health care workers | compliance | education | health care workers (hcws) | health workers | healthcare professionals | interdisciplinary cooperation | nurses | professionals | psychiatric nurses | remote working | working hours,edukacja | healthcare professionals | pielęgniarki | profesjonaliści | psychiatryczny pielęgniarki | remote working | working hours | współpraca interdyscyplinarna | współpraca w leczeniu | zdrowie care workers | zdrowie care workers (hcws) | zdrowie workers
"ocena kliniczna, psychometria i narzędzia pomiarowe",17,14,14,ASRQ | Attitude Measurement | CIDI | CPRS | Factor Analysis | Psychometric Evaluation | Psychometric Value | confirmatory factor analysis | exploratory factor analysis | psychological measurement | psychometric properties | psychometric scales,CIDI | CPRS | asrq | confirmatory czynnik analysis | czynnik analysis | exploratory czynnik analysis | postawa measurement | psychologiczny measurement | psychometric evaluation | psychometric scales | psychometric value | rating scales
psychiatria i zdrowie psychiczne,17,16,9,American Psychiatric Association | Psychiatry | dynamic psychiatry | east European psychiatrists | person-oriented psychiatry | psychiatric clinical care | psychiatric disability | psychiatrist | psychiatry | psychopathological dimensions,american psychiatryczny association | dynamic psychiatry | east european psychiatrists | psychiatria | psychiatria zorientowana na osobę | psychiatrist | psychiatryczny disability | psychiatryczny kliniczny care | psychopathological dimensions
"ryzyko, czynniki ochronne i predyktory",17,17,13,clinical factors | clinical high risk | common factors | demographic factors | determinants of health | factor analyses | predictors | psychological predictors | risk | risk behaviours | risk factor | risk factors,common czynnik | czynnik analyses | czynnik ryzyka | demographic czynnik | determinants of zdrowie | kliniczny factor | kliniczny high risk | predyktory | psychologiczny predictors | ryzyko | ryzyko behaviors | ryzyko managment
"postawy, stigma i przekonania",14,14,7,Metacognitive beliefs | attitude | attitudes | dysfunctional attitude | dysfunctional attitudes | dysfunctional beliefs | knowledge | stigmatization,dysfunctional beliefs | dysfunctional postawa | knowledge | metacognitive beliefs | postawa | postawy | stigmatization
technologie cyfrowe i internet,14,13,11,Instagram | Internet | Online | Online Help | computer | computer-assisted image processing | mobile phone | online | online e-diaries | online therapy | problematic Internet use | thendency to computer games,Instagram | computer | computer-assisted obraz processing | e-dzienniczki online | internet | online | online terapia | pomoc online | problematic internet używanie | telefon komórkowy | thendency to computer games
"wyniki leczenia, skuteczność i rokowanie",14,14,6,Recovery from Psychiatric Disability | cost effectiveness | effectiveness | effectivness | efficacy profile | recovery | recovery from psychiatric disability | symptom improvement,cost skuteczność | objaw improvement | skuteczność | skuteczność profile | zdrowienie | zdrowienie z niepełnosprawności psychiatrycznej
zaburzenie obsesyjno-kompulsyjne i pokrewne,14,11,5,OCD | OCRDs | Obsessive-compulsive disorder | affirming compulsions | compulsive sexual behavior disorders | compulsory treatment/compulsory order | emotional injury OCD | obsessive compulsive disorder | obsessive-compulsive disorder | obsessive-compulsive disorder (OCD) | olfactory obsessions,OCRD | affirming compulsions | compulsory leczenie / compulsory order | węchowy obsesje | zaburzenie obsesyjno-kompulsyjne
choroby sercowo-naczyniowe,13,12,8,Myocardial Infarctions | Myocardial infarction | broken heart | cardiac patients | cardiac syndrome X | heart transplantation | hypertension | hypertension-mediated organ damage | stroke,broken heart | cardiac pacjenci | cardiac zespół x | heart transplantation | hypertension-mediated organ damage | nadciśnienie | udar | zawał mięśnia sercowego
starzenie się i osoby starsze,13,12,1,Alzheimer's disease | Elderly | dementia | dementia of the Alzheimer type | older workers | the elderly,starzenie się i osoby starsze
dorośli i etapy życia,12,12,6,adulthood | adults | bisexual men | early adulthood | men | putamen | young adults,bisexual mężczyźni | dorosłość i osoby dorosłe | mężczyźni | putamen | wczesna dorosłość | young adults
zaburzenia snu,12,9,1,REM sleep | REM sleep behaviour disorder | nightmare sufferers | parasomnia | sleep apnea | sleep disorder | sleep disorders | sleep disturbance | sleep disturbances | sleep paralysis | sleep quality,sen i zaburzenia snu
"agresja, przemoc i zachowania antyspołeczne",11,11,4,criminal insanity | domestic violence | forensic psychiatry | intimate partner violence | penitentiary unit | prison | violence,domestic przemoc | intimate partner przemoc | kontekst sądowo-penitencjarny | przemoc
epidemiologia i rozpowszechnienie,11,11,6,change in consultation frequency | epidemic | frequency of comsumption of products | heart rate | prevalence | strategies of mapping,change in consultation frequency | częstość akcji serca | epidemia | frequency of comsumption of products | rozpowszechnienie | strategies of mapping
"filozofia, fenomenologia i antropologia",11,9,7,Phlosophy | clinical philosophy | metaphor | metaphors | phenomenology | philosophical therapy | philosophy | philosophy of life,fenomenologia | filozofia | kliniczny philosophy | metafora | metafory | philosophical terapia | philosophy of życie
organizacja opieki psychiatrycznej,11,10,11,Psychiatric Outpatients | community psychiatry | day hospital | home care services | hospitalisations | incapacity for service | oral care | palliative care | psychiatric care | rehospitalisation | service users,day hospital | home care services | hospitalisations | incapacity for service | opieka paliatywna | opieka stomatologiczna | psychiatria środowiskowa | psychiatryczny care | psychiatryczny outpatients | rehospitalisation | service users
"migracja, mniejszości i kontekst międzykulturowy",10,10,7,India | Iran | Nigeria | cultural differences | cultural social factors | culture | voluntary and forced migrants,Indie | Iran | Nigeria | cultural differences | cultural społeczny czynnik | culture | voluntary and forced migrants
"kobiety, ciąża i zdrowie okołoporodowe",9,9,5,breastfeeding | breastfeeding self-efficacy | females without mental disturbances | woman | women,breastfeeding | breastfeeding poczucie własnej skuteczności | females without psychiczny disturbance | kobiety | woman
objawy i nasilenie objawów,9,9,5,Psychological symptoms | deficit | psycho-pathological symptoms | psychological symptoms | symptom dynamics | symptomatic dimensions,deficyt | dynamika objawów | psycho-patologiczny objaw | psychologiczny objaw | symptomatic dimensions
"terapia rodzinna, systemowa i grupowa",9,9,3,couple therapy | group therapy | psychoeduation | psychoeducation,couple terapia | group terapia | psychoedukacja
"instytucje, redakcja i komunikacja naukowa",8,5,7,Authors index | Editorial Editorial 1 | For Authors | Submit your paper | author's memories | editors | paper,artykuł | author's memories | authors index | editorial editorial 1 | for authors | redaktorzy | submit your artykuł
"religia, duchowość i egzystencja",7,6,6,meaning in life | meaning systems | religion | religiousness | spirituality | the centrality of religiosity,duchowość | religijność | religion | sens życia | systemy znaczeń | the centrality of religiosity
"etyka, prawo i polityka zdrowotna",6,5,6,Ethical Issues | Privacy policy | code of ethics | ethical aspects | ethical dilemmas | ethics,code of ethics | ethical aspects | ethical dilemmas | ethical issues | ethics | polityka prywatności
profilaktyka i promocja zdrowia,6,6,4,health behavior | health behaviour | prevention | prevention and control | preventive operations,profilaktyczny operations | profilaktyka | profilaktyka and control | zdrowie behavior
"rodzina, rodzeństwo i bliscy",6,6,2,first-degree relatives | siblings,krewni pierwszego stopnia | rodzeństwo
działania niepożądane i bezpieczeństwo leczenia,5,5,3,adverse effect | adverse events | tardive dyskinesia,adverse effect | dyskineza późna | zdarzenia niepożądane
edukacja medyczna i szkolenie,5,3,3,curriculum | e-learning | learning,curriculum | e-learning | uczenie się
psychoterapia i proces terapeutyczny,5,4,3,counter-transference | transference | transference-countertransference relationship,przeciwprzeniesienie | transference | transference-countertransference relationship
niepełnosprawność,4,4,1,disability | invalidity,niepełnosprawność
pierwszy epizod i stany wysokiego ryzyka,4,4,2,UHR | first-episode | uhr,UHR | pierwszy epizod
przestrzeganie zaleceń i współpraca w leczeniu,4,4,3,Protocol compliance | adherence | nonadherence,nieprzestrzeganie zaleceń | przestrzeganie protokołu | przestrzeganie zaleceń
hipnoza i techniki sugestii,3,2,2,analgesic suggestion | hypnosis,analgesic suggestion | hypnosis
poradnictwo i konsultacja psychologiczna,3,2,2,counseling | effective counselor,effective counselor | poradnictwo
seksualność i orientacja seksualna,3,3,1,homosexuality,homoseksualność
technika terapeuty,3,3,1,therapist technique,technika terapeuty
terapia,3,3,1,therapy,terapia
zaburzenia dysocjacyjne i somatoformiczne,3,3,3,dissociation | somatoform | somatoform disorder,dissociation | somatoform | somatoform zaburzenie
aktywność fizyczna,2,2,1,physical activity,aktywność fizyczna
cierpienie,2,2,1,suffering,cierpienie
dramatologia,2,2,1,dramatology,dramatologia
egosyntoniczność,2,2,1,egosyntonicity,egosyntoniczność
formułowanie przypadku,2,2,1,formulation,formułowanie przypadku
functional zaburzenie,2,2,1,functional disorders,functional zaburzenie
funkcjonariusze policji,2,2,1,police officers,funkcjonariusze policji
gastroenterologia i mikrobiota,2,2,1,gut microbiota,mikrobiota jelitowa
grupa Balinta,2,2,1,Balint group | Balint groups,grupa Balinta
intensywny,2,2,1,Intensive,intensywny
konflikt,2,2,1,conflict,konflikt
krótkoterminowy,2,2,1,Short-term,krótkoterminowy
metylofenidat,2,2,1,Methylphenidate,metylofenidat
opór,2,2,1,resistance,opór
powódź,2,2,1,flood,powódź
psychodermatologia,2,2,1,psychodermatology,psychodermatologia
socjopatia,2,2,1,sociopathy,socjopatia
styl humoru,2,2,1,humour style | humour styles,styl humoru
zaburzenie afektywne dwubiegunowe,2,2,2,Hypomania Check List-32 | trichotillomania,hypomania check list-32 | trichotillomania
acceptance,1,1,1,acceptance,acceptance
activity,1,1,1,activity,activity
aerobic ćwiczenia,1,1,1,aerobic exercise,aerobic ćwiczenia
allience,1,1,1,Allience,allience
alter ego,1,1,1,alter ego,alter ego
amnesia,1,1,1,Amnesia,amnesia
anesthesia,1,1,1,Anesthesia,anesthesia
anomia,1,1,1,anomia,anomia
antioxidants,1,1,1,antioxidants,antioxidants
apoliprotein e,1,1,1,apoliprotein E,apoliprotein e
appearance orientation,1,1,1,appearance orientation,appearance orientation
applicants,1,1,1,Applicants,applicants
archetype,1,1,1,archetype,archetype
argentine tango,1,1,1,Argentine tango,argentine tango
arnold chiari malformation,1,1,1,Arnold chiari malformation,arnold chiari malformation
arrival,1,1,1,arrival,arrival
arterial stiffness,1,1,1,arterial stiffness,arterial stiffness
assertiveness,1,1,1,assertiveness,assertiveness
association,1,1,1,association,association
athletic ideal,1,1,1,athletic ideal,athletic ideal
audit,1,1,1,audit,audit
autocreation,1,1,1,autocreation,autocreation
automatic action,1,1,1,automatic action,automatic action
automatic thought,1,1,1,automatic thought,automatic thought
autonomous motivation,1,1,1,autonomous motivation,autonomous motivation
behaviorism,1,1,1,behaviorism,behaviorism
bentus,1,1,1,Bentus,bentus
bert hellinger,1,1,1,Bert Hellinger,bert hellinger
białko prionowe,1,1,1,prion protein,białko prionowe
bierność,1,1,1,passivity,bierność
binging,1,1,1,binging,binging
bioactive compounds,1,1,1,bioactive compounds,bioactive compounds
bioethics,1,1,1,bioethics,bioethics
biographical narration,1,1,1,biographical narration,biographical narration
biography,1,1,1,biography,biography
bion's theory,1,1,1,Bion's theory,bion's theory
birding,1,1,1,birding,birding
bisexuality,1,1,1,bisexuality,bisexuality
bleeding,1,1,1,bleeding,bleeding
blindness,1,1,1,blindness,blindness
blood,1,1,1,blood,blood
bowen's theory,1,1,1,Bowen’s theory,bowen's theory
break up,1,1,1,Break up,break up
breast reduction surgery,1,1,1,Breast reduction surgery,breast reduction surgery
bulling,1,1,1,bulling,bulling
buprenorphine,1,1,1,buprenorphine,buprenorphine
burden,1,1,1,burden,burden
capacity,1,1,1,capacity,capacity
caregiver,1,1,1,caregiver,caregiver
caregivers,1,1,1,caregivers,caregivers
catatonia,1,1,1,catatonia,catatonia
caudate nucleus,1,1,1,caudate nucleus,caudate nucleus
cechy fenotypowe,1,1,1,phenotypic features,cechy fenotypowe
cechy instynktowe,1,1,1,instinctive traits,cechy instynktowe
cechy patologiczne,1,1,1,Pathological traits,cechy patologiczne
cerebellar,1,1,1,cerebellar,cerebellar
cerebellum,1,1,1,cerebellum,cerebellum
cerebral and cerebellar atrophy,1,1,1,cerebral and cerebellar atrophy,cerebral and cerebellar atrophy
cftmea,1,1,1,CFTMEA,cftmea
change,1,1,1,change,change
chronically mentally ill,1,1,1,chronically mentally ill,chronically mentally ill
citalopram,1,1,1,citalopram,citalopram
client challenges,1,1,1,client challenges,client challenges
climate change,1,1,1,climate change,climate change
cluster a,1,1,1,Cluster A,cluster a
cluster b,1,1,1,cluster B,cluster b
codependency,1,1,1,codependency,codependency
community,1,1,1,community,community
community care,1,1,1,community care,community care
compassion,1,1,1,compassion,compassion
compassion for others,1,1,1,compassion for others,compassion for others
competence,1,1,1,Competence,competence
concentration,1,1,1,concentration,concentration
conditional release,1,1,1,conditional release,conditional release
conduct zaburzenie,1,1,1,Conduct Disorder,conduct zaburzenie
consent capacity,1,1,1,consent capacity,consent capacity
containment measures,1,1,1,containment measures,containment measures
control,1,1,1,control,control
conversational artificial intelligence,1,1,1,conversational artificial intelligence,conversational artificial intelligence
corpus callosum,1,1,1,corpus callosum,corpus callosum
couples terapia,1,1,1,couples therapy,couples terapia
course,1,1,1,course,course
creative thinking,1,1,1,creative thinking,creative thinking
crohn's disease,1,1,1,Crohn’s Disease,crohn's disease
cyberchondria,1,1,1,Cyberchondria,cyberchondria
cyberpsychology,1,1,1,cyberpsychology,cyberpsychology
cyclothymic,1,1,1,cyclothymic,cyclothymic
cytokines,1,1,1,cytokines,cytokines
dat and comt polimorfizm,1,1,1,DAT and COMT polymorphism,dat and comt polimorfizm
death,1,1,1,death,death
death instynkt,1,1,1,death instinct,death instynkt
decision algorithm,1,1,1,decision algorithm,decision algorithm
defect,1,1,1,defect,defect
defense styles,1,1,1,defense styles,defense styles
deinstitutionalization,1,1,1,deinstitutionalization,deinstitutionalization
delirium,1,1,1,delirium,delirium
depot formulation,1,1,1,depot formulation,depot formulation
dermatosis,1,1,1,dermatosis,dermatosis
desnos,1,1,1,DESNOS,desnos
detection,1,1,1,detection,detection
detoxification,1,1,1,detoxification,detoxification
development,1,1,1,development,development
dialog motywujący,1,1,1,motivational interviewing,dialog motywujący
dietary supplements,1,1,1,dietary supplements,dietary supplements
dignity,1,1,1,dignity,dignity
drama,1,1,1,drama,drama
drawings,1,1,1,drawings,drawings
dreaming,1,1,1,dreaming,dreaming
drop out,1,1,1,drop out,drop out
dryness of mouth,1,1,1,dryness of mouth,dryness of mouth
dyscalculia,1,1,1,dyscalculia,dyscalculia
dysorthography,1,1,1,dysorthography,dysorthography
dysphoria,1,1,1,dysphoria,dysphoria
early retirement,1,1,1,early retirement,early retirement
eartquake victims,1,1,1,eartquake victims,eartquake victims
east azerbaijian,1,1,1,East Azerbaijian,east azerbaijian
eating,1,1,1,eating,eating
eating behaviors,1,1,1,eating behaviours,eating behaviors
eating habits,1,1,1,eating habits,eating habits
eating styles,1,1,1,eating styles,eating styles
eclecticism,1,1,1,eclecticism,eclecticism
egocentric,1,1,1,egocentric,egocentric
egypt,1,1,1,Egypt,egypt
ejakulat,1,1,1,jizz,ejakulat
electrodermal activity,1,1,1,electrodermal activity,electrodermal activity
emergencies,1,1,1,emergencies,emergencies
emergency medicine residents,1,1,1,Emergency Medicine residents,emergency medicine residents
engagement,1,1,1,engagement,engagement
ericksonian parallel process,1,1,1,Ericksonian parallel process,ericksonian parallel process
ericksonian supervision,1,1,1,Ericksonian supervision,ericksonian supervision
etap przedkliniczny,1,1,1,preclinical stage,etap przedkliniczny
evidence,1,1,1,evidence,evidence
evolution,1,1,1,evolution,evolution
exhaustion,1,1,1,exhaustion,exhaustion
experience,1,1,1,experience,experience
exposure terapia,1,1,1,exposure therapy,exposure terapia
externalizing behaviors,1,1,1,externalizing behaviors,externalizing behaviors
extreme sports,1,1,1,extreme sports,extreme sports
eye movement desensitization and reprocessing,1,1,1,Eye Movement Desensitization and Reprocessing,eye movement desensitization and reprocessing
faecal impaction,1,1,1,faecal impaction,faecal impaction
faecaloma,1,1,1,faecaloma,faecaloma
fanaticism,1,1,1,fanaticism,fanaticism
fenobarbital,1,1,1,phenobarbital,fenobarbital
fidelity,1,1,1,fidelity,fidelity
firefighters,1,1,1,firefighters,firefighters
first person account,1,1,1,first person account,first person account
fitness,1,1,1,fitness,fitness
fizyczny appearance,1,1,1,physical appearance,fizyczny appearance
fizyczny zdrowie,1,1,1,physical health,fizyczny zdrowie
food restriction,1,1,1,food restriction,food restriction
forcible feeding,1,1,1,forcible feeding,forcible feeding
foster care,1,1,1,foster care,foster care
free association,1,1,1,free association,free association
fuzzy promethee,1,1,1,fuzzy PROMETHEE,fuzzy promethee
