analysis_period_order,analysis_period,keyword_concept_polish_analysis,n_keyword_records,n_articles,example_raw_keywords
1,2005-2009,epidemiologia i rozpowszechnienie,3,3,change in consultation frequency | prevalence | strategies of mapping
1,2005-2009,"etyka, prawo i polityka zdrowotna",3,3,Ethical Issues | Privacy policy | ethical dilemmas
1,2005-2009,"filozofia, fenomenologia i antropologia",3,3,metaphor | philosophy | philosophy of life
1,2005-2009,jakość życia i dobrostan,3,3,quality of life | subjective quality of life
1,2005-2009,"praca, edukacja i funkcjonowanie zawodowe",3,3,compliance
1,2005-2009,cierpienie,2,2,suffering
1,2005-2009,funkcjonowanie poznawcze i neuropsychologia,2,2,cognitive appraisal | cognitive approach
1,2005-2009,klasyfikacje diagnostyczne i systemy nozologiczne,2,2,diagnostic procedures | nosology
1,2005-2009,"migracja, mniejszości i kontekst międzykulturowy",2,2,cultural social factors | culture
1,2005-2009,pierwszy epizod i stany wysokiego ryzyka,2,2,first-episode
1,2005-2009,"postawy, stigma i przekonania",2,2,attitude | knowledge
1,2005-2009,powódź,2,2,flood
1,2005-2009,psychiatria i zdrowie psychiczne,2,2,east European psychiatrists | psychopathological dimensions
1,2005-2009,"rodzina, rodzeństwo i bliscy",2,2,first-degree relatives
1,2005-2009,stres i radzenie sobie,2,2,coping | coping styles
1,2005-2009,terapia,2,2,therapy
1,2005-2009,"instytucje, redakcja i komunikacja naukowa",3,1,Authors index | For Authors | Submit your paper
1,2005-2009,zaburzenia snu,3,1,REM sleep behaviour disorder | parasomnia | sleep apnea
1,2005-2009,hipnoza i techniki sugestii,2,1,analgesic suggestion | hypnosis
1,2005-2009,activity,1,1,activity
1,2005-2009,"agresja, przemoc i zachowania antyspołeczne",1,1,domestic violence
1,2005-2009,apoliprotein e,1,1,apoliprotein E
1,2005-2009,arrival,1,1,arrival
1,2005-2009,association,1,1,association
1,2005-2009,athletic ideal,1,1,athletic ideal
1,2005-2009,behaviorism,1,1,behaviorism
1,2005-2009,bentus,1,1,Bentus
1,2005-2009,bierność,1,1,passivity
1,2005-2009,capacity,1,1,capacity
1,2005-2009,cechy fenotypowe,1,1,phenotypic features
1,2005-2009,cechy instynktowe,1,1,instinctive traits
1,2005-2009,cerebral and cerebellar atrophy,1,1,cerebral and cerebellar atrophy
1,2005-2009,change,1,1,change
1,2005-2009,choroby sercowo-naczyniowe,1,1,cardiac syndrome X
1,2005-2009,chronically mentally ill,1,1,chronically mentally ill
1,2005-2009,community care,1,1,community care
1,2005-2009,competence,1,1,Competence
1,2005-2009,control,1,1,control
1,2005-2009,course,1,1,course
1,2005-2009,dat and comt polimorfizm,1,1,DAT and COMT polymorphism
1,2005-2009,death instynkt,1,1,death instinct
1,2005-2009,desnos,1,1,DESNOS
1,2005-2009,eating,1,1,eating
1,2005-2009,eclecticism,1,1,eclecticism
1,2005-2009,egocentric,1,1,egocentric
1,2005-2009,egosyntoniczność,1,1,egosyntonicity
1,2005-2009,etap przedkliniczny,1,1,preclinical stage
1,2005-2009,farmakoterapia i leki psychotropowe,1,1,chronic mentally ill persons
1,2005-2009,fizyczny zdrowie,1,1,physical health
1,2005-2009,forcible feeding,1,1,forcible feeding
1,2005-2009,gsdsii,1,1,GSDSII
1,2005-2009,guided mastery,1,1,guided mastery
1,2005-2009,helplessness,1,1,helplessness
1,2005-2009,hepatitis c,1,1,hepatitis C
1,2005-2009,human destructiveness,1,1,human destructiveness
1,2005-2009,hunger strike,1,1,hunger strike
1,2005-2009,hyperthyroidism,1,1,hyperthyroidism
1,2005-2009,i agree,1,1,I agree
1,2005-2009,i do not agree,1,1,I do not agree
1,2005-2009,incest,1,1,incest
1,2005-2009,incompetence / incapacity,1,1,incompetence/incapacity
1,2005-2009,indeks słów kluczowych,1,1,Keywords index
1,2005-2009,instynkt,1,1,instinct
1,2005-2009,interferon,1,1,interferon
1,2005-2009,interferon beta,1,1,interferon-beta
1,2005-2009,introjekt,1,1,introject
1,2005-2009,"kobiety, ciąża i zdrowie okołoporodowe",1,1,women
1,2005-2009,konflikt,1,1,conflict
1,2005-2009,kulturystyka nierywalizacyjna,1,1,non-competitive bodybuilding
1,2005-2009,manganese superoxide dismutase,1,1,manganese superoxide dismutase
1,2005-2009,mechanizmy,1,1,mechanisms
1,2005-2009,mikromacierz oligonukleotydowa,1,1,oligonucleotide microarray
1,2005-2009,mixed state,1,1,mixed state
1,2005-2009,music terapia,1,1,music therapy
1,2005-2009,napływ,1,1,influx
1,2005-2009,niepełnosprawność,1,1,disability
1,2005-2009,novel terapia,1,1,novel therapy
1,2005-2009,obraz,1,1,picture
1,2005-2009,opór,1,1,resistance
1,2005-2009,osocze,1,1,plasma
1,2005-2009,patologiczny,1,1,pathological
1,2005-2009,poczucie sprawstwa,1,1,mastery
1,2005-2009,polimorfizm,1,1,polymorphism
1,2005-2009,pornografia,1,1,pornography
1,2005-2009,postmodernizm,1,1,postmodernism
1,2005-2009,pretherapy waiting,1,1,pretherapy waiting
1,2005-2009,przestrzeganie zaleceń i współpraca w leczeniu,1,1,adherence
1,2005-2009,psychologia kliniczna i koncepcje psychologiczne,1,1,creativity
1,2005-2009,rapid cycling,1,1,rapid cycling
1,2005-2009,"religia, duchowość i egzystencja",1,1,religion
1,2005-2009,respiration,1,1,respiration
1,2005-2009,reversibility,1,1,reversibility
1,2005-2009,russia,1,1,Russia
1,2005-2009,salience,1,1,salience
1,2005-2009,send by email,1,1,Send by email
1,2005-2009,socjopatia,1,1,sociopathy
1,2005-2009,sparteine oxidation,1,1,sparteine oxidation
1,2005-2009,spect,1,1,SPECT
1,2005-2009,strata materialna,1,1,material loss
1,2005-2009,taboo,1,1,taboo
1,2005-2009,terapia poznawczo-behawioralna i terapie trzeciej fali,1,1,cognitive-behavioral therapy
1,2005-2009,"terapia rodzinna, systemowa i grupowa",1,1,psychoeducation
1,2005-2009,territoriality,1,1,territoriality
1,2005-2009,topics index,1,1,Topics index
1,2005-2009,unemployment,1,1,unemployment
1,2005-2009,visual imaginery,1,1,visual imaginery
1,2005-2009,waiting list,1,1,waiting list
1,2005-2009,website accessibility,1,1,website accessibility
1,2005-2009,wiek pacjentów,1,1,patients age
1,2005-2009,więcej,1,1,more
1,2005-2009,zaburzenia dysocjacyjne i somatoformiczne,1,1,somatoform disorder
1,2005-2009,zaburzenia seksualne i seksualność kliniczna,1,1,libido
1,2005-2009,zaburzenie afektywne dwubiegunowe,1,1,Hypomania Check List-32
1,2005-2009,Żydzi,1,1,Jews
1,2005-2009,żydowski ruch oporu,1,1,Jewish resistance
2,2010-2014,schizofrenia i zaburzenia psychotyczne,76,59,BPD | Borderline Personality Disorder | Krakow Depression Inventory (KID) | Personality Disorders | Psychosomatic therapy | Schizophrenia | adolescent depression | antipshychotics
2,2010-2014,zaburzenia osobowości i cechy osobowości,41,32,HRT in child trichotillomania | Psychotherapy | The Code of Ethics for Psychotherapists | adolescence | adolescent | adolescent girls | adolescent ward | adolescents
2,2010-2014,zaburzenia odżywiania i obraz ciała,38,25,Body Attitude Test | Body Composition | anorexia | anorexia nervosa | attitudes towards the body and eating | binge eating disorder (BED) | body image | body image disturbance
2,2010-2014,interwencje terapeutyczne i rehabilitacja,28,23,Community mental health services | Intervention studies | Mental Disorders | Mental Health | Psychiatrically-impaired mental health practitioners | Residential Psychiatric Treatment | Staff Supervision | Staff Training
2,2010-2014,choroby somatyczne i współchorobowość medyczna,25,20,Asthma | aspirin-induced asthma | asthma | asthma severity | cardiomyopathy | cardiovascular risk | comorbidity | connective tissue diseases
2,2010-2014,"trauma, PTSD i zaburzenia stresowe",20,18,PTSD | complex posttraumatic states | interpersonal trauma | post-traumatic growth | sexual traumatic events | stress | stress coping mechanisms | trauma
2,2010-2014,depresja i zaburzenia depresyjne,17,16,CAQ -Clinical Analysis Questionnaire | Cognitive Error Rating Scale | Figure Rating Scale | KON-2006 Neurotic Personality Questionnaire | adult assessment | bipolar affective disorder | bipolar disorder | bipolar disorders
2,2010-2014,metodologia badań i projekt badawczy,16,16,Core Conflictual Relationship Theme Method | Hypnoanalysis | bioelectrical impedance analysis | cost-effectiveness analysis | discriminate analysis | epidemiological studies | epidemiological study | follow-up study
2,2010-2014,zaburzenia używania substancji i uzależnienia,17,15,abuse | alcohol dependence | gender | gender difference | obsessive compulsive symptoms and symptoms of psychoactive substance use | sexual disorders | sexual dysfunctions | sexual problems
2,2010-2014,"samoocena, tożsamość i obraz siebie",16,15,adequacy of perception | adoption | aggression | ecological perception | motivation to exercise | self perception | self-aggression | self-discrepancy
2,2010-2014,"neurobiologia, genetyka i biomarkery",20,13,5-HT1A receptors | D2 receptors | NMDA | Neurosis | Neurotrophic Tyrosine Receptor Kinase | Osteogenesis imperfect | SNAP-25 gene | brain-derived
2,2010-2014,funkcjonowanie społeczne i wsparcie społeczne,14,11,Interpersonal Functioning | Interpersonal Relational Patterns | Interpersonal functioning | Polish-Jewish relations | attachment theory | core conflictual relationship theme | interpersonal patterns | nonverbal and verbal communication
2,2010-2014,lęk i zaburzenia lękowe,10,10,Panic Disorder | anxiety | anxiety disorders | night terror | panic disorder
2,2010-2014,zaburzenia neurorozwojowe i autyzm,9,8,ADHD | cognitive function | cognitive functions | executive function | memory | neurocognitive impairement | neurodevelopmental hypothesis | selective attention
2,2010-2014,"historia, pamięć i trauma zbiorowa",8,8,Holocaust | Multiple Sclerosis | history of Polish psychiatry | locked psychiatric ward
2,2010-2014,"emocje, afekt i regulacja emocji",7,7,affective | dream emotions | emotional development | empathy | guilt | mood | self-regulation competences
2,2010-2014,stres i radzenie sobie,7,7,adaptation | coping pathophysiology | coping patterns | early maladaptive schemas | emotion-focused coping | religious coping | resilience
2,2010-2014,psychoanaliza i podejście psychodynamiczne,6,6,CCRT | Psychoanalytic training | defence mechanisms | psychoanalysis | psychodynamics
2,2010-2014,"dzieci, adolescenci i rodzina",6,5,Primary Schools | childbirth | infant | infant observation | parentification | primary school
2,2010-2014,samobójczość i autoagresja,6,5,deliberate self-harm | suicide | suicide attempts
2,2010-2014,"agresja, przemoc i zachowania antyspołeczne",5,5,criminal insanity | penitentiary unit | violence
2,2010-2014,jakość życia i dobrostan,5,5,quality of life | sense of life satisfaction | shape dissatisfaction
2,2010-2014,psychiatria i zdrowie psychiczne,5,5,American Psychiatric Association | person-oriented psychiatry | psychiatric disability | psychiatry
2,2010-2014,funkcjonowanie poznawcze i neuropsychologia,5,4,Cognitive Dysmetria | cognitive | cognitive errors | cognitive rigidity | cognitive triad
2,2010-2014,psychoterapia i proces terapeutyczny,5,4,counter-transference | transference | transference-countertransference relationship
2,2010-2014,"ocena kliniczna, psychometria i narzędzia pomiarowe",4,4,ASRQ | CPRS | psychometric properties | rating scales
2,2010-2014,psychologia kliniczna i koncepcje psychologiczne,4,4,autonomy | flexibility | personal autonomy | psychological traits
2,2010-2014,"wyniki leczenia, skuteczność i rokowanie",4,4,Recovery from Psychiatric Disability | effectiveness | efficacy profile | recovery
2,2010-2014,klasyfikacje diagnostyczne i systemy nozologiczne,7,3,DSM | DSM5 | ICD | classification | classifications in psychiatry | diagnostic approach
2,2010-2014,"filozofia, fenomenologia i antropologia",4,3,Phlosophy | metaphor | phenomenology | philosophy
2,2010-2014,terapia poznawczo-behawioralna i terapie trzeciej fali,4,3,cognitive behavioral therapy | cognitive behaviour therapy | contact with the patient | mindfulness
2,2010-2014,choroby sercowo-naczyniowe,3,3,broken heart | heart transplantation | hypertension
2,2010-2014,"kobiety, ciąża i zdrowie okołoporodowe",3,3,females without mental disturbances | women
2,2010-2014,objawy i nasilenie objawów,3,3,deficit | symptomatic dimensions
2,2010-2014,"postawy, stigma i przekonania",3,3,attitude | dysfunctional attitude | stigmatization
2,2010-2014,"ryzyko, czynniki ochronne i predyktory",3,3,factor analyses | psychological predictors | risk factors
2,2010-2014,"terapia rodzinna, systemowa i grupowa",3,3,couple therapy | psychoeducation
2,2010-2014,zaburzenia snu,3,3,REM sleep | nightmare sufferers | sleep disorders
2,2010-2014,starzenie się i osoby starsze,3,2,Alzheimer's disease | dementia
2,2010-2014,technologie cyfrowe i internet,3,2,Internet | computer | online e-diaries
2,2010-2014,farmakoterapia i leki psychotropowe,2,2,O-demethylvenlafaxine | chronic fatigue
2,2010-2014,organizacja opieki psychiatrycznej,2,2,home care services | palliative care
2,2010-2014,"praca, edukacja i funkcjonowanie zawodowe",2,2,compliance
2,2010-2014,"religia, duchowość i egzystencja",2,2,religiousness
2,2010-2014,"rodzina, rodzeństwo i bliscy",2,2,siblings
2,2010-2014,aktywność fizyczna,1,1,physical activity
2,2010-2014,appearance orientation,1,1,appearance orientation
2,2010-2014,automatic action,1,1,automatic action
2,2010-2014,automatic thought,1,1,automatic thought
2,2010-2014,bert hellinger,1,1,Bert Hellinger
2,2010-2014,bion's theory,1,1,Bion's theory
2,2010-2014,bleeding,1,1,bleeding
2,2010-2014,blood,1,1,blood
2,2010-2014,cerebellar,1,1,cerebellar
2,2010-2014,cerebellum,1,1,cerebellum
2,2010-2014,cftmea,1,1,CFTMEA
2,2010-2014,citalopram,1,1,citalopram
2,2010-2014,compassion,1,1,compassion
2,2010-2014,conditional release,1,1,conditional release
2,2010-2014,couples terapia,1,1,couples therapy
2,2010-2014,defect,1,1,defect
2,2010-2014,deinstitutionalization,1,1,deinstitutionalization
2,2010-2014,dignity,1,1,dignity
2,2010-2014,dorośli i etapy życia,1,1,adults
2,2010-2014,drama,1,1,drama
2,2010-2014,dramatologia,1,1,dramatology
2,2010-2014,dreaming,1,1,dreaming
2,2010-2014,drop out,1,1,drop out
2,2010-2014,eating habits,1,1,eating habits
2,2010-2014,egosyntoniczność,1,1,egosyntonicity
2,2010-2014,epidemiologia i rozpowszechnienie,1,1,frequency of comsumption of products
2,2010-2014,"etyka, prawo i polityka zdrowotna",1,1,ethical aspects
2,2010-2014,fanaticism,1,1,fanaticism
2,2010-2014,fidelity,1,1,fidelity
2,2010-2014,food restriction,1,1,food restriction
2,2010-2014,free association,1,1,free association
2,2010-2014,functional zaburzenie,1,1,functional disorders
2,2010-2014,glutamic acid,1,1,glutamic acid
2,2010-2014,glycine,1,1,glycine
2,2010-2014,grupa Balinta,1,1,Balint groups
2,2010-2014,grupa process,1,1,group process
2,2010-2014,haplotype,1,1,haplotype
2,2010-2014,healthy subjects,1,1,healthy subjects
2,2010-2014,hipnoza i techniki sugestii,1,1,hypnosis
2,2010-2014,hyperprolactinemia,1,1,hyperprolactinemia
2,2010-2014,idealization,1,1,idealization
2,2010-2014,impulsive and restrictive behaviors,1,1,impulsive and restrictive behaviours
2,2010-2014,impulsiveness,1,1,impulsiveness
2,2010-2014,indications to the terapia,1,1,indications to the therapy
2,2010-2014,insulinooporność,1,1,insulin resistance
2,2010-2014,intymność,1,1,intimacy
2,2010-2014,jakość of care,1,1,quality of care
2,2010-2014,kliniczny utility,1,1,clinical utility
2,2010-2014,lesch typology,1,1,Lesch typology
2,2010-2014,leucotomy,1,1,leucotomy
2,2010-2014,major oporność,1,1,major resistance
2,2010-2014,manipulation,1,1,manipulation
2,2010-2014,manuls,1,1,manuls
2,2010-2014,małżeński,1,1,marital
2,2010-2014,mediational perspective,1,1,mediational perspective
2,2010-2014,"migracja, mniejszości i kontekst międzykulturowy",1,1,cultural differences
2,2010-2014,mirror processes,1,1,mirror processes
2,2010-2014,niepełnosprawność,1,1,disability
2,2010-2014,niewydolność nerek,1,1,kidney failure
2,2010-2014,o-życie,1,1,O-LIFE
2,2010-2014,osteologia,1,1,osteology
2,2010-2014,parametry of mobilisation of the unconscious,1,1,parameters of mobilisation of the unconscious
2,2010-2014,patologiczne skubanie skóry,1,1,pathological skin picking
2,2010-2014,polskie mity,1,1,Polish myths
2,2010-2014,polskie mity patriotyczne,1,1,Polish patriotism myths
2,2010-2014,położnictwo,1,1,midwifery
2,2010-2014,primary zdrowie care,1,1,primary health care
2,2010-2014,przedawkowania,1,1,overdoses
2,2010-2014,przestrzeganie zaleceń i współpraca w leczeniu,1,1,Protocol compliance
2,2010-2014,psorasis,1,1,psorasis
2,2010-2014,psychodermatologia,1,1,psychodermatology
2,2010-2014,psychogenic binge easting,1,1,psychogenic binge easting
2,2010-2014,reliable change,1,1,reliable change
2,2010-2014,resiliency,1,1,resiliency
2,2010-2014,rosacea,1,1,rosacea
2,2010-2014,runaway girls,1,1,Runaway Girls
2,2010-2014,saliva,1,1,saliva
2,2010-2014,semantic priming,1,1,semantic priming
2,2010-2014,semantic satiation,1,1,semantic satiation
2,2010-2014,sertraline,1,1,sertraline
2,2010-2014,serum concentration,1,1,serum concentration
2,2010-2014,somatic zaburzenie,1,1,somatic disorders
2,2010-2014,story,1,1,story
2,2010-2014,subjective aspects,1,1,subjective aspects
2,2010-2014,subtypes,1,1,subtypes
2,2010-2014,supervision,1,1,supervision
2,2010-2014,survivor,1,1,survivor
2,2010-2014,survivors,1,1,survivors
2,2010-2014,tako tsubo,1,1,tako tsubo
2,2010-2014,temptation of omnipotence,1,1,temptation of omnipotence
2,2010-2014,terapia,1,1,therapy
2,2010-2014,therapeutic relation,1,1,therapeutic relation
2,2010-2014,transinstitutionalization,1,1,transinstitutionalization
2,2010-2014,uhplc,1,1,UHPLC
2,2010-2014,unconscious primitive murderous rage,1,1,unconscious primitive murderous rage
2,2010-2014,urine,1,1,urine
2,2010-2014,utilization zachowanie,1,1,utilization behavior
2,2010-2014,voice signals,1,1,voice signals
2,2010-2014,weight loss terapia,1,1,weight loss therapy
2,2010-2014,wisconsin card sorting test,1,1,Wisconsin Card Sorting Test
2,2010-2014,zaburzenie afektywne dwubiegunowe,1,1,trichotillomania
2,2010-2014,zachowanie macierzyńskie,1,1,maternal behaviour
2,2010-2014,zachowanie ojcowskie,1,1,paternal behaviour
2,2010-2014,zdrowie care providers,1,1,health care providers
2,2010-2014,zdrowie food,1,1,health food
2,2010-2014,śmiertelność,1,1,mortality
3,2015-2019,schizofrenia i zaburzenia psychotyczne,64,52,Antidepressant | Depressin | Keywords: Acting on delusions | Psychosocial support | Treatment resistant bipolar depression | adolescent depression | alcohol psychosis | antipsychotic
3,2015-2019,zaburzenia osobowości i cechy osobowości,49,40,Big Five | Family Genogram Interview | Family practice | Nuclear Family Functioning Scale | Personality System Interactions - PSI | Psychotherapy | adolescent | adolescents
3,2015-2019,zaburzenia używania substancji i uzależnienia,30,21,Addiction Severity | Alcohol Use Disorder | abuse | addiction to mobile phone | addicts | alcohol abuse | alcohol dependence | alcohol use disorders
3,2015-2019,"trauma, PTSD i zaburzenia stresowe",30,20,Biographic traumata | Economic stresses | Health and family stresses | Love Trauma Syndrome | Sexual Minority Stress Scale (SMSS) | Social stresses | complex post-traumatic states | coping strategies
3,2015-2019,choroby somatyczne i współchorobowość medyczna,21,20,Epilepsy | Psychiatric morbidity | cancer | co-morbidity | diabetes | diabetes mellitus | gestational diabetes | medical (clinical) psychology
3,2015-2019,interwencje terapeutyczne i rehabilitacja,22,19,Mental Disorders | Mental Health | Therapies in burnout | augmentation | burnout | clinical management | endurance training | high-interval intensity training
3,2015-2019,depresja i zaburzenia depresyjne,20,18,Maslach Burnout Inventory | Personality Belief Questionnaire | assessment | bipolar disorder | bipolar mood disorders | differential diagnosis | impact of event scale- revisited | neuropsychological assessment
3,2015-2019,"emocje, afekt i regulacja emocji",19,17,Empathy_ | affective disorder | emotion recognition | emotion regulation | emotional eating | emotional instability | emotional intelligence | emotional processes
3,2015-2019,metodologia badań i projekt badawczy,17,15,case study | clinical trial | epidemiology | exploratory study | follow-up study | integrative model | meta-analysis | non-clinical sample
3,2015-2019,funkcjonowanie społeczne i wsparcie społeczne,14,14,Social Skills_ | interpersonal functioning | marital relations | peer | sibling relationships | social frustration | social functioning | social skills
3,2015-2019,lęk i zaburzenia lękowe,14,12,Short Health Anxiety Inventory | agoraphobia with panic attacks | anxiety | generalized anxiety disorder | health anxiety | illness anxiety disorder | social anxiety | social phobia
3,2015-2019,"samoocena, tożsamość i obraz siebie",14,12,Motivation | adoption | adoption identity | aggression | interpretation | perception | perception of aggression | population norms
3,2015-2019,farmakoterapia i leki psychotropowe,12,12,Jerzy W. Aleksandrowicz | alexithymia | aripiprazole | chronic low backache | chronic pain | chronic renal failure | drug | electroconvulsive therapy
3,2015-2019,zaburzenia odżywiania i obraz ciała,17,11,Body image concern | anorexia nervosa | body attitudes | body dissatisfaction | body image | body image perception | disordered body image | eating attitudes
3,2015-2019,zaburzenia neurorozwojowe i autyzm,14,11,ADHD | Autism Spectrum Disorders | Cognitive Impairment in AUD | adult attention deficit hyperactivity disorder | autism_ | cognition | cognitive functioning | cognitive functions
3,2015-2019,"neurobiologia, genetyka i biomarkery",12,9,EEG-biofeedback | Gene mutation | Neurotransmission | agenesis of carpos callosum | cortisol | gut-brain axis | neuropsychological tests | neurotic conflict
3,2015-2019,psychoanaliza i podejście psychodynamiczne,12,9,Davanloo | Freud | Psychodynamic therapy | defense mechanisms | mentalization | psychoanalysis | psychodynamic therapists
3,2015-2019,choroby sercowo-naczyniowe,9,8,Myocardial Infarctions | Myocardial infarction | cardiac patients | hypertension | hypertension-mediated organ damage | stroke
3,2015-2019,"dzieci, adolescenci i rodzina",8,8,St. Petersburg School of Clinical Psychology | childhood adversity | childlessness | grandparents | students
3,2015-2019,terapia poznawczo-behawioralna i terapie trzeciej fali,8,7,CBT | Mindfulness | acceptance and commitment therapy | cognitive behavioral therapy | cognitive behavioural therapy | existential cognitive-behavioral therapy
3,2015-2019,funkcjonowanie poznawcze i neuropsychologia,7,7,cognitive | cognitive control | cognitive errors | cognitive restraint | cognitive restructuring | theory of mind
3,2015-2019,jakość życia i dobrostan,7,7,Oral Health Related Quality of Life | psychological well-being | psychophysical wellbeing | quality of life | well-being
3,2015-2019,psychologia kliniczna i koncepcje psychologiczne,7,7,autonomy | clinical psychology | creativity | flexibility | psychology | psychophysiology | sense of coherence
3,2015-2019,psychiatria i zdrowie psychiczne,7,6,dynamic psychiatry | psychiatric clinical care | psychiatrist | psychiatry
3,2015-2019,samobójczość i autoagresja,13,5,NSSI | Suicide ideation | attempted suicide | autoaggresion | self-harm | self-harming | self-mutilation | suicidal thoughts
3,2015-2019,klasyfikacje diagnostyczne i systemy nozologiczne,7,5,DSM-5 | ICD-11 | classification | classification trees | classifications in psychiatry | diagnostic tips
3,2015-2019,zaburzenie obsesyjno-kompulsyjne i pokrewne,6,5,OCD | OCRDs | obsessive compulsive disorder | obsessive-compulsive disorder | obsessive-compulsive disorder (OCD)
3,2015-2019,dorośli i etapy życia,5,5,adulthood | early adulthood | men
3,2015-2019,"ryzyko, czynniki ochronne i predyktory",5,5,common factors | demographic factors | risk | risk factors
3,2015-2019,stres i radzenie sobie,5,5,adaptation | coping | coping styles | resilience
3,2015-2019,"historia, pamięć i trauma zbiorowa",4,4,history of psychiatry | multiple sclerosis (MS) | values
3,2015-2019,"migracja, mniejszości i kontekst międzykulturowy",4,4,India | Iran | culture
3,2015-2019,"filozofia, fenomenologia i antropologia",4,3,clinical philosophy | metaphors | phenomenology | philosophical therapy
3,2015-2019,"instytucje, redakcja i komunikacja naukowa",4,3,author's memories | editors | paper
3,2015-2019,epidemiologia i rozpowszechnienie,3,3,prevalence
3,2015-2019,"postawy, stigma i przekonania",3,3,attitude | dysfunctional beliefs
3,2015-2019,"praca, edukacja i funkcjonowanie zawodowe",3,3,education | nurses
3,2015-2019,technika terapeuty,3,3,therapist technique
3,2015-2019,technologie cyfrowe i internet,3,3,Online | mobile phone | problematic Internet use
3,2015-2019,"terapia rodzinna, systemowa i grupowa",3,3,group therapy | psychoeduation | psychoeducation
3,2015-2019,edukacja medyczna i szkolenie,4,2,curriculum | e-learning | learning
