semantic_family,semantic_family_label,family_group,rank_within_family,term_norm,n_articles,pct_all_articles,n_term_hit_rows,marker_strength,marker_strength_reason,semantic_confidence,mapping_rule,review_flag
attachment_development_infant,Attachment / development / infant,Developmental / attachment,25,attachment anxiety,12,0.0987,12,strong,high_confidence_initial_mapping,high,attachment_terms,manual_review_multiple_family_matches
attachment_development_infant,Attachment / development / infant,Developmental / attachment,26,child psychotherapists,9,0.074,9,medium,medium_confidence_initial_mapping,medium,child_adolescent_terms,optional_review_medium_confidence
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,1,sexual,988,8.1223,988,strong,high_confidence_initial_mapping,high,sexuality_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,2,body,898,7.3824,898,weak,flagged_by_3c_QA_refinement_queue,high,body_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,3,sexuality,587,4.8257,587,strong,high_confidence_initial_mapping,high,sexuality_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,4,female,523,4.2996,523,strong,high_confidence_initial_mapping,high,gender_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,5,gender,452,3.7159,452,strong,high_confidence_initial_mapping,high,gender_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,6,gender identity,77,0.633,77,strong,high_confidence_initial_mapping,high,gender_terms,manual_review_multiple_family_matches
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,7,sexual abuse,71,0.5837,71,strong,high_confidence_initial_mapping,high,sexuality_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,8,infantile sexuality,68,0.559,68,strong,high_confidence_initial_mapping,high,sexuality_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,9,female sexuality,64,0.5261,64,strong,high_confidence_initial_mapping,high,sexuality_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,10,body image,60,0.4933,60,strong,high_confidence_initial_mapping,high,body_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,11,sexual intercourse,42,0.3453,42,strong,high_confidence_initial_mapping,high,sexuality_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,12,opposite sex,31,0.2549,31,strong,high_confidence_initial_mapping,high,sexuality_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,13,sexual life,31,0.2549,31,strong,high_confidence_initial_mapping,high,sexuality_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,14,childhood sexual,30,0.2466,30,strong,high_confidence_initial_mapping,high,sexuality_terms,manual_review_multiple_family_matches
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,15,sexual boundary,28,0.2302,28,strong,high_confidence_initial_mapping,high,sexuality_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,16,somatic symptoms,28,0.2302,28,strong,high_confidence_initial_mapping,high,body_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,17,sexual act,22,0.1809,22,strong,high_confidence_initial_mapping,high,sexuality_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,18,female sexual,18,0.148,18,strong,high_confidence_initial_mapping,high,sexuality_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,19,female psychology,17,0.1398,17,strong,high_confidence_initial_mapping,high,gender_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,20,sex differences,11,0.0904,11,strong,high_confidence_initial_mapping,high,sexuality_terms,
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,21,male female,3,0.0247,3,strong,high_confidence_initial_mapping,high,gender_terms,
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,1,social,1191,9.7912,1191,weak,flagged_by_3c_QA_refinement_queue,medium,culture_social_terms,optional_review_medium_confidence
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,2,culture,568,4.6695,568,weak,flagged_by_3c_QA_refinement_queue,medium,culture_social_terms,optional_review_medium_confidence
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,3,cultural,540,4.4393,540,weak,flagged_by_3c_QA_refinement_queue,medium,culture_social_terms,optional_review_medium_confidence
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,4,political,405,3.3295,405,weak,flagged_by_3c_QA_refinement_queue,medium,culture_social_terms,optional_review_medium_confidence
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,5,war,354,2.9102,354,weak,flagged_by_3c_QA_refinement_queue,medium,social_historical_trauma_overlap,optional_review_medium_confidence
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,6,violence,264,2.1703,264,medium,medium_confidence_initial_mapping,medium,social_historical_trauma_overlap,optional_review_medium_confidence
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,7,responsibility,203,1.6689,203,weak,flagged_by_3c_QA_refinement_queue,medium,ethics_terms,optional_review_medium_confidence
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,8,race,186,1.5291,186,weak,flagged_by_3c_QA_refinement_queue,high,race_ethnicity_terms,
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,9,racial,132,1.0852,132,strong,high_confidence_initial_mapping,high,race_ethnicity_terms,
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,10,world war,115,0.9454,115,medium,medium_confidence_initial_mapping,medium,social_historical_trauma_overlap,optional_review_medium_confidence
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,11,racism,101,0.8303,101,strong,high_confidence_initial_mapping,high,race_ethnicity_terms,
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,12,social psychology,31,0.2549,31,medium,medium_confidence_initial_mapping,medium,culture_social_terms,optional_review_medium_confidence
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,13,social cognition,25,0.2055,25,medium,medium_confidence_initial_mapping,medium,culture_social_terms,optional_review_medium_confidence
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,14,systemic racism,13,0.1069,13,strong,high_confidence_initial_mapping,high,race_ethnicity_terms,
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,1,unconscious,2037,16.7461,2037,weak,flagged_by_3c_QA_refinement_queue,high,unconscious_terms,
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,2,dream,917,7.5386,917,strong,high_confidence_initial_mapping,high,dream_terms,
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,3,wish,618,5.0806,618,weak,flagged_by_3c_QA_refinement_queue,medium,wish_terms,optional_review_medium_confidence
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,4,fantasy,596,4.8997,596,strong,high_confidence_initial_mapping,high,fantasy_phantasy_terms,
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,5,dreams,591,4.8586,591,strong,high_confidence_initial_mapping,high,dream_terms,
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,6,fantasies,576,4.7353,576,strong,high_confidence_initial_mapping,high,fantasy_phantasy_terms,
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,7,wishes,404,3.3213,404,medium,medium_confidence_initial_mapping,medium,wish_terms,optional_review_medium_confidence
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,8,psychic reality,150,1.2331,150,strong,protected_strong_phrase_marker,high,psychic_reality,
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,9,unconscious fantasy,95,0.781,95,strong,high_confidence_initial_mapping,high,unconscious_terms,
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,10,unconscious fantasies,93,0.7646,93,strong,high_confidence_initial_mapping,high,unconscious_terms,
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,11,unconscious phantasy,54,0.4439,54,strong,high_confidence_initial_mapping,high,unconscious_terms,
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,12,unconscious phantasies,44,0.3617,44,strong,high_confidence_initial_mapping,high,unconscious_terms,
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,13,conscious unconscious,1,0.0082,1,strong,high_confidence_initial_mapping,high,unconscious_terms,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,1,conflict,1367,11.2381,1367,strong,high_confidence_initial_mapping,high,conflict_terms,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,2,drive,967,7.9497,967,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,3,conflicts,664,5.4587,664,strong,high_confidence_initial_mapping,high,conflict_terms,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,4,defence,624,5.1299,624,strong,high_confidence_initial_mapping,high,defense_repression_resistance,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,5,resistance,611,5.023,611,strong,high_confidence_initial_mapping,high,defense_repression_resistance,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,6,oedipal,548,4.5051,548,strong,high_confidence_initial_mapping,high,oedipal_complex_terms,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,7,defense,497,4.0858,497,strong,high_confidence_initial_mapping,high,defense_repression_resistance,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,8,aggression,379,3.1158,379,medium,medium_confidence_initial_mapping,medium,aggression_terms,optional_review_medium_confidence
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,9,instinctual,354,2.9102,354,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,10,drives,347,2.8527,347,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,11,libidinal,315,2.5896,315,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,12,aggressive,312,2.5649,312,medium,medium_confidence_initial_mapping,medium,aggression_terms,optional_review_medium_confidence
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,13,libido,262,2.1539,262,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,14,oedipus complex,246,2.0224,246,strong,high_confidence_initial_mapping,high,oedipal_complex_terms,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,15,defenses,215,1.7675,215,strong,high_confidence_initial_mapping,high,defense_repression_resistance,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,16,death instinct,100,0.8221,100,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,17,defence against,93,0.7646,93,strong,high_confidence_initial_mapping,high,defense_repression_resistance,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,18,defence mechanisms,90,0.7399,90,strong,high_confidence_initial_mapping,high,defense_repression_resistance,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,19,castration anxiety,86,0.707,86,strong,high_confidence_initial_mapping,high,oedipal_complex_terms,manual_review_multiple_family_matches
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,20,incest,72,0.5919,72,strong,high_confidence_initial_mapping,high,oedipal_complex_terms,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,21,defense against,66,0.5426,66,strong,high_confidence_initial_mapping,high,defense_repression_resistance,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,22,death drive,65,0.5344,65,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,23,castration complex,64,0.5261,64,strong,high_confidence_initial_mapping,high,oedipal_complex_terms,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,24,defense mechanisms,64,0.5261,64,strong,high_confidence_initial_mapping,high,defense_repression_resistance,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,25,instinctual drives,62,0.5097,62,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,26,intrapsychic conflict,56,0.4604,56,strong,high_confidence_initial_mapping,high,conflict_terms,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,27,defences against,48,0.3946,48,strong,high_confidence_initial_mapping,high,defense_repression_resistance,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,28,aggressive impulses,42,0.3453,42,medium,medium_confidence_initial_mapping,medium,aggression_terms,optional_review_medium_confidence
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,29,oedipal phase,42,0.3453,42,strong,high_confidence_initial_mapping,high,oedipal_complex_terms,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,30,defenses against,41,0.3371,41,strong,high_confidence_initial_mapping,high,defense_repression_resistance,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,31,riverside drive,39,0.3206,39,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,32,instinctual drive,37,0.3042,37,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,33,aggressive drives,34,0.2795,34,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,34,defence mechanism,31,0.2549,31,strong,high_confidence_initial_mapping,high,defense_repression_resistance,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,35,drive beverly,30,0.2466,30,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,36,instinctual impulses,21,0.1726,21,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,37,transference resistance,20,0.1644,20,strong,high_confidence_initial_mapping,high,defense_repression_resistance,manual_review_multiple_family_matches
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,38,oedipus situation,19,0.1562,19,strong,high_confidence_initial_mapping,high,oedipal_complex_terms,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,39,drive ann,17,0.1398,17,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,40,libidinal aggressive,1,0.0082,1,strong,high_confidence_initial_mapping,high,drive_libido_instinct,
ego_self_narcissism,Ego / self / narcissism,Self / structure,1,self,2612,21.4732,2612,weak,flagged_by_3c_QA_refinement_queue,medium,self_terms_polysemous,optional_review_medium_confidence
ego_self_narcissism,Ego / self / narcissism,Self / structure,2,ego,1721,14.1483,1721,weak,flagged_by_3c_QA_refinement_queue,high,structural_ego_terms,
ego_self_narcissism,Ego / self / narcissism,Self / structure,3,narcissistic,689,5.6643,689,strong,protected_strong_phrase_marker,high,narcissism_terms,
ego_self_narcissism,Ego / self / narcissism,Self / structure,4,identity,627,5.1546,627,weak,flagged_by_3c_QA_refinement_queue,medium,identity_subjectivity_terms,optional_review_medium_confidence
ego_self_narcissism,Ego / self / narcissism,Self / structure,5,superego,440,3.6172,440,strong,high_confidence_initial_mapping,high,structural_ego_terms,
ego_self_narcissism,Ego / self / narcissism,Self / structure,6,narcissism,371,3.05,371,strong,protected_strong_phrase_marker,high,narcissism_terms,
ego_self_narcissism,Ego / self / narcissism,Self / structure,7,subjectivity,369,3.0335,369,weak,flagged_by_3c_QA_refinement_queue,medium,identity_subjectivity_terms,optional_review_medium_confidence
ego_self_narcissism,Ego / self / narcissism,Self / structure,8,shame,235,1.9319,235,medium,medium_confidence_initial_mapping,medium,self_affect_overlap,manual_review_multiple_family_matches
ego_self_narcissism,Ego / self / narcissism,Self / structure,9,self psychology,167,1.3729,167,medium,medium_confidence_initial_mapping,medium,self_terms_polysemous,manual_review_multiple_family_matches
ego_self_narcissism,Ego / self / narcissism,Self / structure,10,ego psychology,156,1.2825,156,strong,high_confidence_initial_mapping,high,structural_ego_terms,manual_review_multiple_family_matches
ego_self_narcissism,Ego / self / narcissism,Self / structure,11,ego ideal,111,0.9125,111,strong,high_confidence_initial_mapping,high,structural_ego_terms,
ego_self_narcissism,Ego / self / narcissism,Self / structure,12,ego functions,105,0.8632,105,strong,high_confidence_initial_mapping,high,structural_ego_terms,
ego_self_narcissism,Ego / self / narcissism,Self / structure,13,self-esteem,100,0.8221,100,medium,medium_confidence_initial_mapping,medium,self_terms_polysemous,optional_review_medium_confidence
ego_self_narcissism,Ego / self / narcissism,Self / structure,14,narcissistic personality,62,0.5097,62,strong,high_confidence_initial_mapping,high,narcissism_terms,
ego_self_narcissism,Ego / self / narcissism,Self / structure,15,ego function,47,0.3864,47,strong,high_confidence_initial_mapping,high,structural_ego_terms,
ego_self_narcissism,Ego / self / narcissism,Self / structure,16,self-report,44,0.3617,44,medium,medium_confidence_initial_mapping,medium,self_terms_polysemous,optional_review_medium_confidence
ego_self_narcissism,Ego / self / narcissism,Self / structure,17,early ego,38,0.3124,38,strong,high_confidence_initial_mapping,high,structural_ego_terms,manual_review_multiple_family_matches
ego_self_narcissism,Ego / self / narcissism,Self / structure,18,self psychological,36,0.296,36,medium,medium_confidence_initial_mapping,medium,self_terms_polysemous,optional_review_medium_confidence
ego_self_narcissism,Ego / self / narcissism,Self / structure,19,analyst's subjectivity,34,0.2795,34,medium,medium_confidence_initial_mapping,medium,identity_subjectivity_terms,optional_review_medium_confidence
ego_self_narcissism,Ego / self / narcissism,Self / structure,20,narcissistic pathology,17,0.1398,17,strong,high_confidence_initial_mapping,high,narcissism_terms,
ego_self_narcissism,Ego / self / narcissism,Self / structure,21,ego superego,11,0.0904,11,strong,high_confidence_initial_mapping,high,structural_ego_terms,
ego_self_narcissism,Ego / self / narcissism,Self / structure,22,part ego,1,0.0082,1,strong,high_confidence_initial_mapping,high,structural_ego_terms,
empirical_research_measurement,Empirical research / measurement,Research / method,1,evidence,653,5.3683,653,weak,flagged_by_3c_QA_refinement_queue,medium,empirical_terms,optional_review_medium_confidence
empirical_research_measurement,Empirical research / measurement,Research / method,2,outcome,518,4.2585,518,strong,high_confidence_initial_mapping,high,outcome_research_terms,
empirical_research_measurement,Empirical research / measurement,Research / method,3,measure,382,3.1404,382,strong,high_confidence_initial_mapping,high,measurement_terms,
empirical_research_measurement,Empirical research / measurement,Research / method,4,assessment,300,2.4663,300,strong,high_confidence_initial_mapping,high,measurement_terms,
empirical_research_measurement,Empirical research / measurement,Research / method,5,measures,217,1.784,217,strong,high_confidence_initial_mapping,high,measurement_terms,
empirical_research_measurement,Empirical research / measurement,Research / method,6,scale,205,1.6853,205,strong,high_confidence_initial_mapping,high,measurement_terms,
empirical_research_measurement,Empirical research / measurement,Research / method,7,outcomes,149,1.2249,149,strong,high_confidence_initial_mapping,high,outcome_research_terms,
empirical_research_measurement,Empirical research / measurement,Research / method,8,effectiveness,145,1.192,145,strong,high_confidence_initial_mapping,high,outcome_research_terms,
empirical_research_measurement,Empirical research / measurement,Research / method,9,evidence-based,68,0.559,68,medium,medium_confidence_initial_mapping,medium,empirical_terms,optional_review_medium_confidence
empirical_research_measurement,Empirical research / measurement,Research / method,10,pilot study,23,0.1891,23,medium,medium_confidence_initial_mapping,medium,empirical_terms,optional_review_medium_confidence
empirical_research_measurement,Empirical research / measurement,Research / method,11,psycho-analytic study,23,0.1891,23,medium,medium_confidence_initial_mapping,medium,empirical_terms,optional_review_medium_confidence
empirical_research_measurement,Empirical research / measurement,Research / method,12,empirical investigation,21,0.1726,21,medium,medium_confidence_initial_mapping,medium,empirical_terms,optional_review_medium_confidence
empirical_research_measurement,Empirical research / measurement,Research / method,13,statistical manual,20,0.1644,20,medium,medium_confidence_initial_mapping,medium,methods_terms,optional_review_medium_confidence
empirical_research_measurement,Empirical research / measurement,Research / method,14,evidence base,17,0.1398,17,medium,medium_confidence_initial_mapping,medium,empirical_terms,optional_review_medium_confidence
empirical_research_measurement,Empirical research / measurement,Research / method,15,personality assessment,15,0.1233,15,strong,high_confidence_initial_mapping,high,measurement_terms,
history_theory_schools,History / theory / schools,History / theory,1,freud,3099,25.4768,3099,name_marker,theoretical_name_marker,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,2,freud's,1718,14.1236,1718,name_marker,theoretical_name_marker,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,3,freudian,428,3.5186,428,name_marker,theoretical_name_marker,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,4,sigmund freud,235,1.9319,235,strong,high_confidence_initial_mapping,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,5,anna freud,210,1.7264,210,strong,high_confidence_initial_mapping,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,6,kohut,176,1.4469,176,name_marker,theoretical_name_marker,high,school_author_terms,
history_theory_schools,History / theory / schools,History / theory,7,freud himself,82,0.6741,82,strong,high_confidence_initial_mapping,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,8,freud's writings,69,0.5672,69,strong,high_confidence_initial_mapping,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,9,heinz kohut,49,0.4028,49,strong,high_confidence_initial_mapping,high,school_author_terms,
history_theory_schools,History / theory / schools,History / theory,10,freud's thinking,42,0.3453,42,strong,high_confidence_initial_mapping,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,11,michael balint,34,0.2795,34,strong,high_confidence_initial_mapping,high,school_author_terms,
history_theory_schools,History / theory / schools,History / theory,12,freud sigmund,31,0.2549,31,strong,high_confidence_initial_mapping,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,13,balint michael,20,0.1644,20,strong,high_confidence_initial_mapping,high,school_author_terms,
history_theory_schools,History / theory / schools,History / theory,14,freud pointed,17,0.1398,17,strong,high_confidence_initial_mapping,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,15,freud stated,14,0.1151,14,strong,high_confidence_initial_mapping,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,16,freud vienna,14,0.1151,14,strong,high_confidence_initial_mapping,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,17,untranslated freud,11,0.0904,11,strong,high_confidence_initial_mapping,high,freud_school_terms,
history_theory_schools,History / theory / schools,History / theory,18,ferenczi budapest,9,0.074,9,strong,high_confidence_initial_mapping,high,school_author_terms,
history_theory_schools,History / theory / schools,History / theory,19,kernberg kohut,1,0.0082,1,strong,high_confidence_initial_mapping,high,school_author_terms,
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,1,bion,394,3.2391,394,name_marker,theoretical_name_marker,high,bion_containment_terms,
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,2,melanie klein,234,1.9237,234,strong,high_confidence_initial_mapping,high,kleinian_name_terms,
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,3,bion's,220,1.8086,220,strong,high_confidence_initial_mapping,high,bion_containment_terms,
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,4,containment,121,0.9947,121,strong,high_confidence_initial_mapping,high,bion_containment_terms,
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,5,melanie klein's,67,0.5508,67,strong,high_confidence_initial_mapping,high,kleinian_name_terms,
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,6,klein melanie,20,0.1644,20,strong,high_confidence_initial_mapping,high,kleinian_name_terms,
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,1,meaning,1268,10.4242,1268,weak,flagged_by_3c_QA_refinement_queue,medium,representation_meaning_terms,optional_review_medium_confidence
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,2,language,767,6.3055,767,strong,high_confidence_initial_mapping,high,language_terms,
