article_id,journal_key,year_for_analysis,period,title_clean,family_drive_conflict_defense,terms_drive_conflict_defense,family_dream_fantasy_unconscious,terms_dream_fantasy_unconscious,family_ego_self_narcissism,terms_ego_self_narcissism,family_object_relations,terms_object_relations,family_kleinian_bionian,terms_kleinian_bionian,family_winnicottian_environment_holding,terms_winnicottian_environment_holding,family_attachment_development_infant,terms_attachment_development_infant,family_transference_countertransference,terms_transference_countertransference,family_technique_interpretation_process,terms_technique_interpretation_process,family_relational_intersubjective_field,terms_relational_intersubjective_field,family_trauma_dissociation_affect_regulation,terms_trauma_dissociation_affect_regulation,family_psychosis_borderline_primitive_states,terms_psychosis_borderline_primitive_states,family_body_sexuality_gender,terms_body_sexuality_gender,family_language_narrative_symbolization,terms_language_narrative_symbolization,family_culture_race_social_ethics,terms_culture_race_social_ethics,family_empirical_research_measurement,terms_empirical_research_measurement,family_history_theory_schools,terms_history_theory_schools,n_semantic_families_hit,n_semantic_terms_hit
IJP.001.0256A,ijpa,1920,1920-1945,A Linguistic Factor in English Characterology,0,,0,,1,self,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,english language | language,1,social,0,,0,,3,4
IJP.001.0414A,ijpa,1920,1920-1945,A Note on Hazlitt,0,,1,dream | dreams | unconscious,0,,0,,0,,0,,1,early,0,,0,,0,,0,,0,,0,,0,,1,social,0,,1,freud | freud's | freudian,4,8
IJP.001.0231A,ijpa,1920,1920-1945,The Reversal of the Libido-Sign in Delusions of Persecution,1,libido,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,female,0,,0,,0,,1,freud,3,3
IJP.001.0235A,ijpa,1920,1920-1945,On the Origin of the Feeling of Persecution,0,,1,dream | dreams | wish,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,freud | freud's,2,5
IJP.001.0024A,ijpa,1920,1920-1945,On the Character and Married Life of Henry VIII,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,cultural | political,0,,0,,1,2
IJP.001.0240A,ijpa,1920,1920-1945,A Case of War Shock Resulting from Sex-Inversion,0,,0,,0,,0,,0,,0,,0,,0,,1,technique,0,,0,,0,,0,,1,words,1,war,0,,0,,3,3
IJP.001.0150A,ijpa,1920,1920-1945,A Study of Primary Somatic Factors in Compulsive and Obsessive Neuroses,1,defense,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,evidence,0,,2,2
IJP.002.0150A,ijpa,1921,1920-1945,Internationaler Psychoanalytischer Verlag,0,,1,wish,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,freud | freud's,2,3
IJP.002.0206A,ijpa,1921,1920-1945,A Note on the Symbolic Use of Figures,0,,0,,0,,0,,0,,0,,1,children,0,,0,,0,,1,dissociation,0,,0,,0,,0,,0,,0,,2,2
IJP.002.0416A,ijpa,1921,1920-1945,A Birth of the Hero Myth from Kashmir,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,story,0,,0,,0,,1,1
IJP.002.0420A,ijpa,1921,1920-1945,Persons in Dreams Disguised as Themselves,0,,1,dream | dreams,0,,0,,0,,0,,1,infancy,0,,1,interpretation,0,,0,,0,,0,,0,,0,,0,,0,,3,4
IJP.002.0202A,ijpa,1921,1920-1945,A New Point in the Symbolism of Flute Playing,0,,1,dream | dreams | unconscious,0,,0,,0,,0,,1,early,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,4
IJP.002.0250A,ijpa,1921,1920-1945,"Correction to Annual Report of 1920 (Vol. I, P. 370).",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
IJP.002.0430A,ijpa,1921,1920-1945,Example of Displacement of Original Affect Upon Play,1,aggressive,0,,0,,0,,0,,1,mother | play,1,child | family,0,,0,,0,,1,affect | feelings,0,,0,,1,story,0,,0,,0,,5,8
IJP.002.0432A,ijpa,1921,1920-1945,Two Confinement Dreams of a Pregnant Woman,0,,1,dream | dreams,0,,0,,0,,0,,1,children,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,3
IJP.002.0427A,ijpa,1921,1920-1945,Some Remarks on a Dream,0,,1,dream | wish,0,,0,,0,,0,,1,childhood | early | early childhood | very early,0,,0,,0,,1,anxiety,0,,0,,0,,0,,0,,0,,3,7
IJP.002.0080A,ijpa,1921,1920-1945,The Science of Religion,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,social,1,outcome,1,freud | freud's,3,4
IJP.002.0204A,ijpa,1921,1920-1945,Word-Play in Symptom-Formation,0,,1,wish,0,,0,,0,,1,play,0,,0,,0,,0,,0,,0,,1,sexual | sexual intercourse,1,words,0,,0,,0,,4,5
IJP.002.0101A,ijpa,1921,1920-1945,Mythology,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
IJP.002.0339A,ijpa,1921,1920-1945,The Significance of Psychoanalysis in the History of Science,0,,1,dream | dreams,1,ego,0,,0,,0,,1,childhood | infancy,0,,1,technique,0,,0,,0,,0,,1,meaning,0,,0,,1,freud | sigmund freud,6,9
IJP.002.0207A,ijpa,1921,1920-1945,Normal Psychology,0,,1,dream | dreams,1,ego | self,1,object,0,,0,,0,,0,,1,interpretation,0,,0,,0,,0,,0,,0,,0,,1,freud,5,7
IJP.002.0435A,ijpa,1921,1920-1945,Sexual Perversions,0,,0,,0,,1,external,0,,0,,1,childhood,0,,0,,0,,0,,0,,1,sexual,0,,0,,0,,0,,3,3
IJP.002.0094A,ijpa,1921,1920-1945,Aesthetics and Psychology of the Artist,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,race,0,,0,,1,1
IJP.002.0424A,ijpa,1921,1920-1945,"An Unanalysed Case Anal Erotism, Occupation and Illness",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,story | words,0,,0,,0,,1,2
IJP.002.0179A,ijpa,1921,1920-1945,The Castration Complex,1,castration complex,1,unconscious,0,,1,external,0,,0,,0,,0,,0,,0,,0,,0,,1,sexual,0,,0,,0,,0,,4,4
IJP.002.0001A,ijpa,1921,1920-1945,Psycho-Analytical Observations on Tic,0,,0,,0,,0,,0,,0,,0,,0,,1,technical,0,,0,,0,,0,,0,,0,,0,,1,ferenczi budapest,2,2
IJP.002.0225A,ijpa,1921,1920-1945,Mysticism and Occultism,1,conflict | incest,0,,0,,0,,0,,0,,0,,0,,1,interpretation,0,,0,,0,,0,,0,,0,,0,,0,,2,3
IJP.002.0106A,ijpa,1921,1920-1945,Dream Interpretation,0,,1,dream | dreams,0,,0,,0,,0,,0,,0,,1,interpretation,0,,0,,0,,0,,0,,0,,0,,1,freud | freud's,3,5
IJP.002.0073A,ijpa,1921,1920-1945,The Unconscious,0,,1,unconscious,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,freud,2,2
IJP.002.0149A,ijpa,1921,1920-1945,The International Psycho-Analytical Press,0,,1,dream | dreams,0,,0,,0,,0,,1,family,0,,0,,0,,0,,0,,0,,0,,1,war,1,psycho-analytic study,1,freud | freud's,5,7
IJP.002.0157A,ijpa,1921,1920-1945,Primitive Man and Environment,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,primitive,0,,0,,1,culture | social,0,,0,,2,3
IJP.002.0054A,ijpa,1921,1920-1945,A Psycho-Analytic Study of the Christian Creed,0,,1,unconscious | wishes,1,ego | ego ideal | narcissistic | self,0,,0,,1,mother,1,child,0,,0,,0,,0,,1,primitive,0,,1,words,0,,1,psycho-analytic study,0,,7,11
IJP.002.0287A,ijpa,1921,1920-1945,On the Technique of Child-Analysis,0,,0,,0,,1,object,0,,0,,1,child,0,,1,technical | technique,1,relationship,0,,0,,0,,1,words,1,responsibility | social,0,,1,freud,7,9
IJP.002.0361A,ijpa,1921,1920-1945,Psycho-Analysis and Psychiatry,1,libido,1,unconscious,1,ego,0,,0,,0,,0,,1,transference,0,,0,,0,,0,,1,body,0,,1,war,1,outcome,1,freud | freud's,8,9
IJP.002.0255A,ijpa,1921,1920-1945,A Man's Unconscious Phantasy of Pregnancy in the Guise of Traumatic Hysteria-A Clinical Contribution to Anal Erotism,1,resistance,1,unconscious | unconscious phantasy,1,ego,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,freud,4,5
IJP.002.0031A,ijpa,1921,1920-1945,A Short Study of the Life and Character of Mohammed,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,social,1,evidence,1,freud | freud himself,3,4
IJP.002.0306A,ijpa,1921,1920-1945,"The Anal-Erotic Factor in the Religion, Philosophy and Character of the Hindus",0,,0,,0,,0,,0,,1,play,0,,0,,0,,0,,0,,0,,1,body,0,,1,race,1,evidence,0,,4,4
IJP.002.0354A,ijpa,1921,1920-1945,Anal-Erotic Character Traits in Shylock,0,,1,wishes,0,,0,,0,,0,,0,,0,,1,interpretation | interpretations,0,,0,,0,,0,,0,,1,race,0,,0,,3,4
IJP.003.0329A,ijpa,1922,1920-1945,Three Dreams,0,,1,dream | dreams | wish,0,,0,,0,,0,,1,child,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,4
IJP.003.0045A,ijpa,1922,1920-1945,A Symbolism of Appendicitis,0,,0,,0,,0,,0,,0,,1,child,0,,0,,0,,0,,0,,1,female,0,,0,,0,,0,,2,2
IJP.003.0050A,ijpa,1922,1920-1945,A Spermatozoa Phantasy of an Epileptic,0,,1,dream | dreams | wish | wishes,0,,0,,0,,1,mother,0,,0,,1,interpretation,0,,0,,0,,1,body,1,representations,0,,1,evidence,0,,6,9
IJP.003.0139A,ijpa,1922,1920-1945,From the Analysis of a Patient with Cramp of the Spinal Accessory,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,emotional,0,,0,,0,,0,,0,,0,,1,1
IJP.003.0187A,ijpa,1922,1920-1945,A Child's Birth-Myth Story,0,,0,,0,,0,,0,,1,mother,1,child | childhood | children | early | early childhood,0,,0,,0,,0,,0,,0,,1,story | words,0,,0,,0,,3,8
IJP.003.0154A,ijpa,1922,1920-1945,Analysis of a Dream of Doubt and Conflict,1,conflict,1,dream | dreams,0,,0,,0,,0,,1,child,0,,0,,0,,0,,0,,0,,1,meaning,0,,0,,0,,4,5
IJP.003.0332A,ijpa,1922,1920-1945,A Grammatical Error,0,,1,unconscious,0,,0,,0,,0,,1,children,0,,0,,0,,0,,0,,1,body,1,language,0,,0,,0,,4,4
IJP.003.0481A,ijpa,1922,1920-1945,A Note on the Tongue,0,,1,dream | dreams | wish,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,body | female | sexual,0,,0,,0,,0,,2,6
IJP.003.0047A,ijpa,1922,1920-1945,The Unconscious Root of Aesthetic Taste,0,,1,unconscious,1,self,0,,0,,1,mother,0,,0,,0,,0,,0,,0,,0,,1,meaning,0,,0,,0,,4,4
IJP.003.0475A,ijpa,1922,1920-1945,Some Remarks on Tobacco,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,body,0,,0,,0,,0,,1,1
IJP.003.0163A,ijpa,1922,1920-1945,The Symbolism of the Bridge,0,,1,dream | dreams | unconscious | unconscious phantasy,0,,1,object,0,,1,play,0,,0,,1,interpretation | interpretations,0,,0,,0,,0,,1,meaning,0,,0,,1,ferenczi budapest,6,10
IJP.003.0283A,ijpa,1922,1920-1945,Dreams and Telepathy,0,,1,dream | dreams,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,freud | freud sigmund | freud vienna | sigmund freud,2,6
IJP.003.0030A,ijpa,1922,1920-1945,Pleasure in Sleep and Disturbed Capacity for Sleep-A Contribution to the Study of the Oral Phase of the Development of the Libido,1,libido,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1
IJP.003.0043A,ijpa,1922,1920-1945,A Few 'Don'ts' for Beginners in the Technique of Psycho-Analysis,1,resistance,0,,1,self,0,,0,,0,,1,early | early stages,1,transference,1,technique,0,,0,,0,,0,,0,,0,,0,,0,,5,6
IJP.003.0001A,ijpa,1922,1920-1945,Manifestations of the Female Castration Complex,1,castration complex,1,dream | dreams | unconscious | wish,0,,0,,0,,0,,1,childhood,0,,0,,0,,0,,0,,1,female,0,,0,,0,,0,,4,7
IJP.003.0169A,ijpa,1922,1920-1945,Plato: A Fore-Runner of Psycho-Analysis,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,body,0,,0,,0,,1,freud | freud's,2,3
IJP.003.0306A,ijpa,1922,1920-1945,Analysis of an Obsessional Neurosis in a Child,0,,0,,0,,1,object,0,,1,mother,1,child | loss,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,4
IJP.003.0327A,ijpa,1922,1920-1945,Notes on Dr. Abraham's Article on the Female Castration Complex,1,castration complex,1,unconscious | wish,0,,0,,0,,0,,1,child,0,,0,,0,,0,,0,,1,female,0,,0,,1,evidence,0,,5,6
IJP.003.0445A,ijpa,1922,1920-1945,Prenatal Psychisms and Mystical Pantheism,0,,0,,0,,0,,0,,0,,0,,0,,1,technique,0,,1,emotional,0,,0,,0,,0,,0,,0,,2,2
IJP.003.0409A,ijpa,1922,1920-1945,A Contribution to the Study of Artistic Preference,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,feelings,0,,0,,0,,0,,0,,0,,1,1
IJP.003.0189A,ijpa,1922,1920-1945,Ethnology and Folk-Psychology,1,oedipus complex,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,freud | freud's,2,3
IJP.003.0320A,ijpa,1922,1920-1945,The Significance of Stepping Over,0,,0,,1,identity,0,,0,,0,,1,child,0,,0,,0,,1,trauma,0,,0,,0,,1,social,0,,0,,4,4
IJP.003.0467A,ijpa,1922,1920-1945,Rescue and Murder of the Father in Neurotic Phantasies,0,,1,dream | dreams | unconscious | wish,0,,0,,0,,1,mother,1,child,0,,0,,0,,1,feelings,0,,0,,1,meaning,0,,0,,1,freud | freud pointed | freud's,6,11
IJP.003.0046A,ijpa,1922,1920-1945,A Simple Lapsus Linguae,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
IJP.003.0430A,ijpa,1922,1920-1945,Tobacco and the Individual,0,,1,wish,0,,0,,0,,1,mother,1,child,0,,0,,0,,0,,0,,0,,0,,1,race,0,,0,,4,4
IJP.004.0321A,ijpa,1923,1920-1945,A Literary Portrayal of Ambivalency,1,oedipus complex,0,,1,self,0,,0,,1,mother,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,3
IJP.004.0480A,ijpa,1923,1920-1945,Minor Contributions,0,,1,dream,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,female,1,story,0,,0,,0,,3,3
IJP.004.0111A,ijpa,1923,1920-1945,A Case of Affective Inhibition of an Intellectual Process,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,affective,0,,0,,0,,0,,0,,0,,1,1
IJP.004.0479A,ijpa,1923,1920-1945,An Octogenarian's Blunder,0,,1,unconscious | wish,0,,0,,0,,0,,0,,0,,0,,0,,1,feelings,0,,0,,1,words,0,,0,,0,,3,4
IJP.004.0123A,ijpa,1923,1920-1945,An Interesting Analytical Hour,0,,1,dream | dreams,0,,1,external | object,0,,0,,0,,0,,1,termination,0,,0,,0,,0,,0,,0,,0,,0,,3,5
IJP.004.0326A,ijpa,1923,1920-1945,A Modern Prometheus,0,,1,unconscious,1,self,0,,0,,0,,1,early,0,,0,,0,,0,,1,primitive,1,female | sexual | sexual act,0,,1,political | social,0,,0,,6,9
IJP.004.0323A,ijpa,1923,1920-1945,Some Notes on Smoking,0,,1,wish,0,,0,,0,,0,,1,childhood,0,,0,,1,mutual,0,,0,,0,,1,meaning,0,,0,,0,,4,4
IJP.004.0120A,ijpa,1923,1920-1945,Anxiety and Birth,0,,0,,0,,0,,0,,0,,1,early,0,,0,,0,,1,anxiety,0,,1,body,1,language,0,,0,,1,freud | freud's,5,6
IJP.004.0133A,ijpa,1923,1920-1945,Slips of the Tongue in the Norse Sagas,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,body,1,words,0,,0,,0,,2,2
IJP.004.0121A,ijpa,1923,1920-1945,A Slip of the Tongue,0,,0,,0,,0,,0,,1,mother,0,,0,,0,,0,,1,feelings,0,,1,female,0,,0,,0,,0,,3,3
IJP.004.0313A,ijpa,1923,1920-1945,The Spider as a Dream Symbol,0,,1,dream | dreams,0,,0,,0,,1,mother,1,child | children,0,,0,,0,,0,,0,,0,,1,meaning,0,,0,,1,freud,5,7
IJP.004.0128A,ijpa,1923,1920-1945,L'Automobile-Symbole De La Puissance Mâle,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
IJP.004.0482A,ijpa,1923,1920-1945,Psycho-Analysis and Superstition,0,,0,,0,,0,,0,,0,,1,family,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1
IJP.004.0118A,ijpa,1923,1920-1945,Urethral Erotism and Obsessional Neurosis-Preliminary Communication,0,,1,dream | dreams,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,female,0,,0,,0,,0,,2,3
IJP.004.0293A,ijpa,1923,1920-1945,The Nature of Auto-Suggestion,0,,1,wishes,1,ego | narcissistic | self,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,words,0,,0,,0,,3,5
IJP.004.0400A,ijpa,1923,1920-1945,Contributions to the Theory of the Anal Character,1,libido,0,,0,,0,,0,,0,,1,early,0,,0,,0,,0,,0,,1,body,0,,0,,0,,1,freud,4,4
IJP.004.0089A,ijpa,1923,1920-1945,The Relation of Beating-Phantasies to a Day-Dream,1,conflict | oedipus complex,1,dream | dreams,0,,0,,0,,0,,1,child,0,,1,termination,0,,0,,0,,1,female,0,,0,,0,,1,anna freud | freud | freud vienna | freud's,6,11
IJP.004.0129A,ijpa,1923,1920-1945,Rêve Et Vision Des Étoiles Filantes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
IJP.004.0475A,ijpa,1923,1920-1945,Social Considerations in Some Analyses,0,,0,,0,,0,,0,,1,mother,1,childhood | family | family romance,1,transference,0,,0,,0,,0,,0,,1,language,1,social,0,,1,ferenczi budapest | freudian,6,9
IJP.004.0484A,ijpa,1923,1920-1945,The Significance of an Alteration of Name,0,,0,,0,,0,,0,,0,,1,child | childhood,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,2
IJP.004.0419A,ijpa,1923,1920-1945,The Development of a Child,0,,0,,0,,0,,1,klein melanie | melanie klein,0,,1,child | children,0,,0,,0,,0,,0,,1,sexual,0,,0,,0,,0,,3,5
IJP.004.0318A,ijpa,1923,1920-1945,Physics in Dream Symbolism,0,,1,dream,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1
IJP.004.0270A,ijpa,1923,1920-1945,Perversion and Neurosis,1,libidinal | libido | oedipus complex | resistance,1,unconscious,1,ego | ego ideal | self,1,object,0,,0,,1,child,0,,0,,0,,0,,0,,1,sexual | sexual act,0,,0,,0,,1,freud,7,13
IJP.004.0001A,ijpa,1923,1920-1945,"Certain Neurotic Mechanisms in Jealousy, Paranoia and Homosexuality",0,,1,unconscious,1,ego | narcissistic | self,1,object,0,,1,play,1,child | family | loss,0,,0,,0,,1,affective | feelings,0,,0,,0,,0,,0,,1,freud | freud sigmund | freud vienna | sigmund freud,7,15
IJP.004.0043A,ijpa,1923,1920-1945,The Tempest,0,,1,dream | dreams | wishes,1,ego | identity,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,words,0,,0,,0,,3,6
IJP.004.0011A,ijpa,1923,1920-1945,The Castration Complex in the Formation of Character,1,castration complex | instinctual | resistance,1,unconscious,1,ego,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,5
IJP.004.0103A,ijpa,1923,1920-1945,The Role of an Exceptional Organ in a Neurosis,0,,0,,0,,0,,0,,0,,1,childhood | early,0,,1,interpretation,0,,0,,0,,1,sexual | sexual intercourse,0,,0,,0,,0,,3,5
IJP.005.0200A,ijpa,1924,1920-1945,A Compounded Slip of the Tongue,0,,1,unconscious,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1
IJP.005.0343A,ijpa,1924,1920-1945,A Contribution to the Psychology of Child-Sexuality,1,resistance,1,dream | dreams,0,,0,,0,,0,,1,child | children | family,0,,0,,1,relationship,0,,0,,1,sexual | sexuality,0,,0,,1,scale,0,,6,10
