period,journal_key,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
1970-1989,ijpa,915,2,runninghead,1,915,915,100.0,915
1970-1989,ijpa,915,3,one,1,661,383,41.858,915
1970-1989,ijpa,915,4,clinical,1,659,335,36.612,915
1970-1989,ijpa,915,5,object,1,652,238,26.011,915
1970-1989,ijpa,915,6,theory,1,645,234,25.574,915
1970-1989,ijpa,915,7,psychoanalysis,1,640,266,29.071,915
1970-1989,ijpa,915,8,freud,1,619,247,26.995,915
1970-1989,ijpa,915,9,development,1,598,300,32.787,915
1970-1989,ijpa,915,10,analysis,1,595,274,29.945,915
1970-1989,ijpa,915,11,patient,1,587,269,29.399,915
1970-1989,ijpa,915,12,summary,1,579,559,61.093,915
1970-1989,ijpa,915,13,ego,1,566,228,24.918,915
1970-1989,ijpa,915,14,between,1,559,328,35.847,915
1970-1989,ijpa,915,15,analyst,1,537,217,23.716,915
1970-1989,ijpa,915,16,transference,1,528,182,19.891,915
1970-1989,ijpa,915,17,process,1,487,229,25.027,915
1970-1989,ijpa,915,18,other,1,486,325,35.519,915
1970-1989,ijpa,915,19,new,1,466,309,33.77,915
1970-1989,ijpa,915,20,two,1,399,262,28.634,915
1970-1989,ijpa,915,21,patients,1,395,203,22.186,915
1970-1989,ijpa,915,22,freud's,1,393,192,20.984,915
1970-1989,ijpa,915,23,work,1,392,238,26.011,915
1970-1989,ijpa,915,24,about,1,391,240,26.23,915
1970-1989,ijpa,915,25,also,1,383,284,31.038,915
1970-1989,ijpa,915,26,all,1,382,269,29.399,915
1970-1989,ijpa,915,27,only,1,378,269,29.399,915
1970-1989,ijpa,915,28,first,1,359,232,25.355,915
1970-1989,ijpa,915,29,self,1,351,147,16.066,915
1970-1989,ijpa,915,30,experience,1,345,217,23.716,915
1970-1989,ijpa,915,31,life,1,344,214,23.388,915
1970-1989,ijpa,915,32,time,1,344,201,21.967,915
1970-1989,ijpa,915,33,analytic,1,337,177,19.344,915
1970-1989,ijpa,915,34,identification,1,332,124,13.552,915
1970-1989,ijpa,915,35,relationship,1,323,192,20.984,915
1970-1989,ijpa,915,36,child,1,321,128,13.989,915
1970-1989,ijpa,915,37,unconscious,1,321,165,18.033,915
1970-1989,ijpa,915,38,early,1,316,179,19.563,915
1970-1989,ijpa,915,39,treatment,1,314,156,17.049,915
1970-1989,ijpa,915,40,both,1,304,238,26.011,915
1970-1989,ijpa,915,41,narcissistic,1,297,122,13.333,915
1970-1989,ijpa,915,42,out,1,283,207,22.623,915
1970-1989,ijpa,915,43,psychic,1,273,137,14.973,915
1970-1989,ijpa,915,44,aspects,1,265,180,19.672,915
1970-1989,ijpa,915,45,own,1,264,191,20.874,915
1970-1989,ijpa,915,46,anxiety,1,260,101,11.038,915
1970-1989,ijpa,915,47,mental,1,258,146,15.956,915
1970-1989,ijpa,915,48,many,1,251,176,19.235,915
1970-1989,ijpa,915,49,well,1,233,193,21.093,915
1970-1989,ijpa,915,50,dream,1,232,56,6.12,915
1970-1989,ijpa,915,51,mother,1,232,114,12.459,915
1970-1989,ijpa,915,52,london,1,229,181,19.781,915
1970-1989,ijpa,915,53,different,1,228,156,17.049,915
1970-1989,ijpa,915,54,aggression,1,227,58,6.339,915
1970-1989,ijpa,915,55,theoretical,1,222,144,15.738,915
1970-1989,ijpa,915,56,years,1,218,154,16.831,915
1970-1989,ijpa,915,57,street,1,217,214,23.388,915
1970-1989,ijpa,915,58,understanding,1,217,161,17.596,915
1970-1989,ijpa,915,59,patient's,1,216,128,13.989,915
1970-1989,ijpa,915,60,therapeutic,1,206,113,12.35,915
1970-1989,ijpa,915,61,nature,1,206,148,16.175,915
1970-1989,ijpa,915,62,situation,1,205,122,13.333,915
1970-1989,ijpa,915,63,objects,1,205,114,12.459,915
1970-1989,ijpa,915,64,reality,1,202,111,12.131,915
1970-1989,ijpa,915,65,important,1,200,154,16.831,915
1970-1989,ijpa,915,66,very,1,197,158,17.268,915
1970-1989,ijpa,915,67,certain,1,196,143,15.628,915
1970-1989,ijpa,915,68,any,1,195,143,15.628,915
1970-1989,ijpa,915,69,sexual,1,195,89,9.727,915
1970-1989,ijpa,915,70,must,1,194,134,14.645,915
1970-1989,ijpa,915,71,problems,1,194,126,13.77,915
1970-1989,ijpa,915,72,york,1,191,156,17.049,915
1970-1989,ijpa,915,73,developmental,1,190,111,12.131,915
1970-1989,ijpa,915,74,function,1,189,120,13.115,915
1970-1989,ijpa,915,75,form,1,184,126,13.77,915
1990-2009,ijpa,1396,1,psychoanalytic,1,1496,621,44.484,1396
1990-2009,ijpa,1396,2,runninghead,1,1396,1396,100.0,1396
1990-2009,ijpa,1396,3,psychoanalysis,1,1320,529,37.894,1396
1990-2009,ijpa,1396,4,clinical,1,1219,607,43.481,1396
1990-2009,ijpa,1396,5,between,1,910,544,38.968,1396
1990-2009,ijpa,1396,6,analyst,1,904,416,29.799,1396
1990-2009,ijpa,1396,7,patient,1,837,421,30.158,1396
1990-2009,ijpa,1396,8,theory,1,784,345,24.713,1396
1990-2009,ijpa,1396,9,analytic,1,772,382,27.364,1396
1990-2009,ijpa,1396,10,analysis,1,764,394,28.223,1396
1990-2009,ijpa,1396,11,process,1,661,360,25.788,1396
1990-2009,ijpa,1396,12,work,1,655,415,29.728,1396
1990-2009,ijpa,1396,13,psychic,1,647,267,19.126,1396
1990-2009,ijpa,1396,14,experience,1,613,342,24.499,1396
1990-2009,ijpa,1396,15,transference,1,603,268,19.198,1396
1990-2009,ijpa,1396,16,freud,1,597,288,20.63,1396
1990-2009,ijpa,1396,17,one,1,595,394,28.223,1396
1990-2009,ijpa,1396,18,about,1,583,371,26.576,1396
1990-2009,ijpa,1396,19,freud's,1,571,255,18.266,1396
1990-2009,ijpa,1396,20,unconscious,1,569,301,21.562,1396
1990-2009,ijpa,1396,21,other,1,539,387,27.722,1396
1990-2009,ijpa,1396,22,also,1,520,407,29.155,1396
1990-2009,ijpa,1396,23,two,1,518,367,26.289,1396
1990-2009,ijpa,1396,24,relationship,1,495,302,21.633,1396
1990-2009,ijpa,1396,25,patients,1,493,241,17.264,1396
1990-2009,ijpa,1396,26,new,1,491,334,23.926,1396
1990-2009,ijpa,1396,27,reality,1,486,177,12.679,1396
1990-2009,ijpa,1396,28,both,1,479,387,27.722,1396
1990-2009,ijpa,1396,29,development,1,435,287,20.559,1396
1990-2009,ijpa,1396,30,object,1,432,221,15.831,1396
1990-2009,ijpa,1396,31,interpretation,1,403,176,12.607,1396
1990-2009,ijpa,1396,32,patient's,1,403,250,17.908,1396
1990-2009,ijpa,1396,33,treatment,1,401,238,17.049,1396
1990-2009,ijpa,1396,34,analyst's,1,395,214,15.33,1396
1990-2009,ijpa,1396,35,time,1,393,247,17.693,1396
1990-2009,ijpa,1396,36,different,1,380,264,18.911,1396
1990-2009,ijpa,1396,37,change,1,373,141,10.1,1396
1990-2009,ijpa,1396,38,first,1,372,282,20.201,1396
1990-2009,ijpa,1396,39,own,1,361,280,20.057,1396
1990-2009,ijpa,1396,40,countertransference,1,347,162,11.605,1396
1990-2009,ijpa,1396,41,theoretical,1,344,235,16.834,1396
1990-2009,ijpa,1396,42,life,1,341,252,18.052,1396
1990-2009,ijpa,1396,43,understanding,1,339,254,18.195,1396
1990-2009,ijpa,1396,44,all,1,320,245,17.55,1396
1990-2009,ijpa,1396,45,mental,1,317,181,12.966,1396
1990-2009,ijpa,1396,46,material,1,317,224,16.046,1396
1990-2009,ijpa,1396,47,mind,1,316,185,13.252,1396
1990-2009,ijpa,1396,48,out,1,310,228,16.332,1396
1990-2009,ijpa,1396,49,aspects,1,303,225,16.117,1396
1990-2009,ijpa,1396,50,only,1,302,250,17.908,1396
1990-2009,ijpa,1396,51,well,1,282,243,17.407,1396
1990-2009,ijpa,1396,52,world,1,280,187,13.395,1396
1990-2009,ijpa,1396,53,trauma,1,271,90,6.447,1396
1990-2009,ijpa,1396,54,analysts,1,268,159,11.39,1396
1990-2009,ijpa,1396,55,training,1,266,94,6.734,1396
1990-2009,ijpa,1396,56,research,1,262,124,8.883,1396
1990-2009,ijpa,1396,57,history,1,261,163,11.676,1396
1990-2009,ijpa,1396,58,final,1,260,248,17.765,1396
1990-2009,ijpa,1396,59,early,1,259,173,12.393,1396
1990-2009,ijpa,1396,60,particular,1,258,220,15.759,1396
1990-2009,ijpa,1396,61,therapeutic,1,257,150,10.745,1396
1990-2009,ijpa,1396,62,thinking,1,252,166,11.891,1396
1990-2009,ijpa,1396,63,years,1,250,173,12.393,1396
1990-2009,ijpa,1396,64,ideas,1,250,193,13.825,1396
1990-2009,ijpa,1396,65,version,1,250,242,17.335,1396
1990-2009,ijpa,1396,66,three,1,247,186,13.324,1396
1990-2009,ijpa,1396,67,child,1,247,131,9.384,1396
1990-2009,ijpa,1396,68,accepted,1,247,242,17.335,1396
1990-2009,ijpa,1396,69,com,1,247,213,15.258,1396
1990-2009,ijpa,1396,70,internal,1,246,162,11.605,1396
1990-2009,ijpa,1396,71,situation,1,246,165,11.819,1396
1990-2009,ijpa,1396,72,model,1,243,136,9.742,1396
1990-2009,ijpa,1396,73,london,1,243,213,15.258,1396
1990-2009,ijpa,1396,74,thought,1,240,157,11.246,1396
1990-2009,ijpa,1396,75,meaning,1,231,164,11.748,1396
2010-2025,ijpa,1221,1,psychoanalytic,1,1452,590,48.321,1221
2010-2025,ijpa,1221,2,psychoanalysis,1,1252,492,40.295,1221
2010-2025,ijpa,1221,3,runninghead,1,1221,1221,100.0,1221
2010-2025,ijpa,1221,4,freud,1,980,317,25.962,1221
2010-2025,ijpa,1221,5,clinical,1,929,483,39.558,1221
2010-2025,ijpa,1221,6,work,1,910,462,37.838,1221
2010-2025,ijpa,1221,7,der,1,855,110,9.009,1221
2010-2025,ijpa,1221,8,between,1,801,476,38.984,1221
2010-2025,ijpa,1221,9,analytic,1,747,335,27.437,1221
2010-2025,ijpa,1221,10,del,1,736,113,9.255,1221
2010-2025,ijpa,1221,11,die,1,723,115,9.419,1221
2010-2025,ijpa,1221,12,about,1,698,413,33.825,1221
2010-2025,ijpa,1221,13,des,1,675,117,9.582,1221
2010-2025,ijpa,1221,14,analyst,1,671,313,25.635,1221
2010-2025,ijpa,1221,15,und,1,664,110,9.009,1221
2010-2025,ijpa,1221,16,analysis,1,656,301,24.652,1221
2010-2025,ijpa,1221,17,que,1,637,102,8.354,1221
2010-2025,ijpa,1221,18,theory,1,611,297,24.324,1221
2010-2025,ijpa,1221,19,com,1,595,565,46.274,1221
2010-2025,ijpa,1221,20,one,1,588,403,33.006,1221
2010-2025,ijpa,1221,21,patient,1,578,282,23.096,1221
2010-2025,ijpa,1221,22,unconscious,1,560,262,21.458,1221
2010-2025,ijpa,1221,23,process,1,534,341,27.928,1221
2010-2025,ijpa,1221,24,also,1,532,393,32.187,1221
2010-2025,ijpa,1221,25,freud's,1,532,250,20.475,1221
2010-2025,ijpa,1221,26,other,1,490,355,29.075,1221
2010-2025,ijpa,1221,27,psychic,1,470,267,21.867,1221
2010-2025,ijpa,1221,28,time,1,467,247,20.229,1221
2010-2025,ijpa,1221,29,two,1,465,337,27.6,1221
2010-2025,ijpa,1221,30,una,1,457,103,8.436,1221
2010-2025,ijpa,1221,31,experience,1,448,284,23.26,1221
2010-2025,ijpa,1221,32,che,1,445,104,8.518,1221
2010-2025,ijpa,1221,33,both,1,429,323,26.454,1221
2010-2025,ijpa,1221,34,object,1,423,210,17.199,1221
2010-2025,ijpa,1221,35,new,1,413,270,22.113,1221
2010-2025,ijpa,1221,36,first,1,406,285,23.342,1221
2010-2025,ijpa,1221,37,accepted,1,394,388,31.777,1221
2010-2025,ijpa,1221,38,different,1,393,273,22.359,1221
2010-2025,ijpa,1221,39,life,1,382,252,20.639,1221
2010-2025,ijpa,1221,40,patients,1,363,203,16.626,1221
2010-2025,ijpa,1221,41,understanding,1,362,241,19.738,1221
2010-2025,ijpa,1221,42,thinking,1,359,201,16.462,1221
2010-2025,ijpa,1221,43,all,1,357,252,20.639,1221
2010-2025,ijpa,1221,44,les,1,351,100,8.19,1221
2010-2025,ijpa,1221,45,gmail,1,349,344,28.174,1221
2010-2025,ijpa,1221,46,development,1,347,228,18.673,1221
2010-2025,ijpa,1221,47,world,1,343,227,18.591,1221
2010-2025,ijpa,1221,48,only,1,335,251,20.557,1221
2010-2025,ijpa,1221,49,transference,1,324,155,12.695,1221
2010-2025,ijpa,1221,50,relationship,1,318,217,17.772,1221
2010-2025,ijpa,1221,51,usa,1,317,230,18.837,1221
2010-2025,ijpa,1221,52,well,1,315,250,20.475,1221
2010-2025,ijpa,1221,53,practice,1,313,173,14.169,1221
2010-2025,ijpa,1221,54,mind,1,309,183,14.988,1221
2010-2025,ijpa,1221,55,los,1,306,110,9.009,1221
2010-2025,ijpa,1221,56,london,1,298,203,16.626,1221
2010-2025,ijpa,1221,57,contact,1,296,254,20.803,1221
2010-2025,ijpa,1221,58,treatment,1,292,184,15.07,1221
2010-2025,ijpa,1221,59,con,1,284,85,6.962,1221
2010-2025,ijpa,1221,60,own,1,278,206,16.871,1221
2010-2025,ijpa,1221,61,body,1,275,113,9.255,1221
2010-2025,ijpa,1221,62,trauma,1,275,91,7.453,1221
2010-2025,ijpa,1221,63,reality,1,270,148,12.121,1221
2010-2025,ijpa,1221,64,out,1,268,214,17.527,1221
2010-2025,ijpa,1221,65,von,1,267,96,7.862,1221
2010-2025,ijpa,1221,66,after,1,264,200,16.38,1221
2010-2025,ijpa,1221,67,publication,1,262,247,20.229,1221
2010-2025,ijpa,1221,68,years,1,261,187,15.315,1221
2010-2025,ijpa,1221,69,come,1,259,151,12.367,1221
2010-2025,ijpa,1221,70,della,1,255,92,7.535,1221
2010-2025,ijpa,1221,71,theoretical,1,253,191,15.643,1221
2010-2025,ijpa,1221,72,working,1,249,148,12.121,1221
2010-2025,ijpa,1221,73,ego,1,248,89,7.289,1221
2010-2025,ijpa,1221,74,material,1,247,151,12.367,1221
2010-2025,ijpa,1221,75,death,1,246,121,9.91,1221
1946-1969,japa,538,1,psychoanalytic,1,759,278,51.673,538
1946-1969,japa,538,2,ego,1,691,189,35.13,538
1946-1969,japa,538,3,runninghead,1,538,538,100.0,538
1946-1969,japa,538,4,new,1,405,227,42.193,538
1946-1969,japa,538,5,one,1,401,228,42.379,538
1946-1969,japa,538,6,freud,1,375,161,29.926,538
1946-1969,japa,538,7,psychoanalysis,1,373,157,29.182,538
1946-1969,japa,538,8,analysis,1,349,140,26.022,538
1946-1969,japa,538,9,development,1,327,161,29.926,538
1946-1969,japa,538,10,other,1,294,187,34.758,538
1946-1969,japa,538,11,between,1,290,166,30.855,538
1946-1969,japa,538,12,object,1,285,115,21.375,538
1946-1969,japa,538,13,york,1,284,173,32.156,538
1946-1969,japa,538,14,theory,1,282,114,21.19,538
1946-1969,japa,538,15,process,1,280,124,23.048,538
1946-1969,japa,538,16,summary,1,266,261,48.513,538
1946-1969,japa,538,17,patient,1,264,118,21.933,538
1946-1969,japa,538,18,dream,1,250,59,10.967,538
1946-1969,japa,538,19,early,1,228,129,23.978,538
1946-1969,japa,538,20,all,1,221,158,29.368,538
1946-1969,japa,538,21,only,1,216,153,28.439,538
1946-1969,japa,538,22,dreams,1,215,60,11.152,538
1946-1969,japa,538,23,association,1,214,148,27.509,538
1946-1969,japa,538,24,clinical,1,213,139,25.836,538
1946-1969,japa,538,25,freud's,1,212,93,17.286,538
1946-1969,japa,538,26,out,1,197,107,19.888,538
1946-1969,japa,538,27,also,1,188,145,26.952,538
1946-1969,japa,538,28,transference,1,187,76,14.126,538
1946-1969,japa,538,29,body,1,185,60,11.152,538
1946-1969,japa,538,30,first,1,184,120,22.305,538
1946-1969,japa,538,31,relationship,1,183,106,19.703,538
1946-1969,japa,538,32,patients,1,181,98,18.216,538
1946-1969,japa,538,33,child,1,180,74,13.755,538
1946-1969,japa,538,34,anxiety,1,175,61,11.338,538
1946-1969,japa,538,35,two,1,173,126,23.42,538
1946-1969,japa,538,36,american,1,169,130,24.164,538
1946-1969,japa,538,37,mother,1,169,66,12.268,538
1946-1969,japa,538,38,analytic,1,166,100,18.587,538
1946-1969,japa,538,39,both,1,165,119,22.119,538
1946-1969,japa,538,40,work,1,162,107,19.888,538
1946-1969,japa,538,41,many,1,161,115,21.375,538
1946-1969,japa,538,42,unconscious,1,158,90,16.729,538
1946-1969,japa,538,43,experience,1,158,90,16.729,538
1946-1969,japa,538,44,research,1,155,80,14.87,538
1946-1969,japa,538,45,years,1,152,91,16.914,538
1946-1969,japa,538,46,about,1,152,103,19.145,538
1946-1969,japa,538,47,certain,1,152,116,21.561,538
1946-1969,japa,538,48,time,1,151,109,20.26,538
1946-1969,japa,538,49,experiences,1,150,50,9.294,538
1946-1969,japa,538,50,technique,1,150,59,10.967,538
1946-1969,japa,538,51,life,1,150,104,19.331,538
1946-1969,japa,538,52,submitted,1,144,141,26.208,538
1946-1969,japa,538,53,well,1,143,122,22.677,538
1946-1969,japa,538,54,analyst,1,143,70,13.011,538
1946-1969,japa,538,55,material,1,141,105,19.517,538
1946-1969,japa,538,56,treatment,1,139,84,15.613,538
1946-1969,japa,538,57,made,1,137,114,21.19,538
1946-1969,japa,538,58,function,1,134,76,14.126,538
1946-1969,japa,538,59,state,1,133,75,13.941,538
1946-1969,japa,538,60,problems,1,132,86,15.985,538
1946-1969,japa,538,61,robert,1,128,36,6.691,538
1946-1969,japa,538,62,self,1,126,48,8.922,538
1946-1969,japa,538,63,own,1,125,92,17.1,538
1946-1969,japa,538,64,female,1,125,33,6.134,538
1946-1969,japa,538,65,nature,1,124,91,16.914,538
1946-1969,japa,538,66,processes,1,124,68,12.639,538
1946-1969,japa,538,67,sexual,1,123,49,9.108,538
1946-1969,japa,538,68,psychology,1,123,62,11.524,538
1946-1969,japa,538,69,aspects,1,122,82,15.242,538
1946-1969,japa,538,70,form,1,121,96,17.844,538
1946-1969,japa,538,71,however,1,121,107,19.888,538
1946-1969,japa,538,72,psychic,1,121,72,13.383,538
1946-1969,japa,538,73,even,1,120,97,18.03,538
1946-1969,japa,538,74,defense,1,120,63,11.71,538
1946-1969,japa,538,75,human,1,119,67,12.454,538
1970-1989,japa,681,1,psychoanalytic,1,960,336,49.339,681
1970-1989,japa,681,2,new,1,706,360,52.863,681
1970-1989,japa,681,3,runninghead,1,681,681,100.0,681
1970-1989,japa,681,4,psychoanalysis,1,602,216,31.718,681
